Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.76,0.76,0.77,0.76,0.8068,0.00%,,N
29-Sep-2020,0.77,0.76,0.77,0.76,0.5577000000000001,1.32%,,N
30-Sep-2020,0.795,0.775,0.8,0.77,1.9,3.25%,,N
01-Oct-2020,0.78,0.795,0.795,0.78,1.14,-1.89%,,N
02-Oct-2020,0.77,0.78,0.785,0.765,0.8933,-1.28%,,N
05-Oct-2020,0.775,0.775,0.775,0.765,0.428,0.65%,,N
06-Oct-2020,0.765,0.77,0.78,0.765,1.16,-1.29%,,N
07-Oct-2020,0.77,0.77,0.775,0.765,0.9719,0.65%,,N
08-Oct-2020,0.76,0.77,0.775,0.76,0.6313,-1.30%,,N
09-Oct-2020,0.765,0.76,0.765,0.76,1.63,0.66%,1.0119,N
12-Oct-2020,0.755,0.765,0.765,0.745,3.19,-1.31%,1.2502199999999999,N
13-Oct-2020,0.755,0.75,0.76,0.74,2.1,0.00%,1.4044499999999998,N
14-Oct-2020,0.735,0.75,0.755,0.735,1.42,-2.65%,1.3564499999999997,N
15-Oct-2020,0.74,0.735,0.74,0.73,0.5445,0.68%,1.2968999999999995,N
16-Oct-2020,0.71,0.74,0.74,0.71,3.24,-4.05%,1.5315699999999997,N
19-Oct-2020,0.71,0.715,0.715,0.7,3.31,0.00%,1.8197699999999994,N
20-Oct-2020,0.705,0.705,0.71,0.7,2.6,-0.70%,1.9637699999999996,N
21-Oct-2020,0.71,0.705,0.715,0.705,1.56,0.71%,2.022579999999999,N
22-Oct-2020,0.75,0.71,0.75,0.705,11.25,5.63%,3.0844499999999995,N
23-Oct-2020,0.72,0.75,0.75,0.715,1.14,-4.00%,3.0354499999999995,N
26-Oct-2020,0.7,0.715,0.72,0.7,1.46,-2.78%,2.8624499999999995,N
27-Oct-2020,0.71,0.7,0.715,0.7,0.8824,1.43%,2.7406899999999994,N
28-Oct-2020,0.7,0.71,0.71,0.69,1.24,-1.41%,2.722689999999999,N
30-Oct-2020,0.69,0.7,0.7,0.685,1.04,-1.43%,2.772239999999999,N
02-Nov-2020,0.68,0.69,0.69,0.68,0.5712999999999999,-1.45%,2.505369999999999,N
03-Nov-2020,0.68,0.68,0.68,0.675,0.6685,0.00%,2.2412199999999993,N
04-Nov-2020,0.685,0.68,0.685,0.67,1.26,0.74%,2.1072199999999994,N
05-Nov-2020,0.7,0.685,0.705,0.685,0.8358,2.19%,2.0347999999999997,N
06-Nov-2020,0.7,0.7,0.71,0.69,0.3562,0.00%,0.9454199999999997,N
09-Nov-2020,0.695,0.695,0.7,0.685,0.8244,-0.71%,0.9138599999999997,N
10-Nov-2020,0.78,0.71,0.79,0.71,10.35,12.23%,1.8028599999999997,Y
11-Nov-2020,0.76,0.78,0.785,0.75,1.66,-2.56%,1.8806199999999997,N
12-Nov-2020,0.78,0.76,0.78,0.745,2.74,2.63%,2.03062,N
13-Nov-2020,0.78,0.78,0.795,0.77,2.11,0.00%,2.13762,N
16-Nov-2020,0.81,0.785,0.815,0.775,8.22,3.85%,2.9024900000000002,N
17-Nov-2020,0.825,0.82,0.84,0.815,13.6,1.85%,4.19564,N
18-Nov-2020,0.815,0.825,0.825,0.8,2.83,-1.21%,4.35264,N
19-Nov-2020,0.79,0.81,0.81,0.79,3.21,-3.07%,4.59006,N
20-Nov-2020,0.785,0.79,0.8,0.785,1.92,-0.63%,4.746440000000001,N
23-Nov-2020,0.79,0.79,0.795,0.785,0.9187,0.64%,4.755870000000001,N
24-Nov-2020,0.765,0.79,0.795,0.755,2.51,-3.77%,3.9718700000000005,N
25-Nov-2020,0.76,0.765,0.775,0.76,0.7561,-0.65%,3.8814800000000007,N
26-Nov-2020,0.855,0.81,0.87,0.785,16.28,12.50%,5.235480000000001,N
