Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.4,1.43,1.43,1.39,0.1815,0.00%,,N
29-Sep-2020,1.4,1.4,1.41,1.4,0.1928,0.00%,,N
30-Sep-2020,1.4,1.41,1.41,1.4,0.177,0.00%,,N
01-Oct-2020,1.42,1.41,1.42,1.4,0.0872,1.43%,,N
02-Oct-2020,1.41,1.42,1.42,1.4,0.1504,-0.70%,,N
05-Oct-2020,1.42,1.41,1.42,1.4,0.087,0.71%,,N
06-Oct-2020,1.41,1.42,1.42,1.4,0.0601,-0.70%,,N
07-Oct-2020,1.4,1.41,1.41,1.4,0.1934,-0.71%,,N
08-Oct-2020,1.4,1.41,1.41,1.4,0.1368,0.00%,,N
09-Oct-2020,1.41,1.41,1.41,1.4,0.1272,0.71%,0.13933999999999996,N
12-Oct-2020,1.4,1.41,1.41,1.4,0.2398,-0.71%,0.14516999999999997,N
13-Oct-2020,1.4,1.4,1.4,1.39,0.2541,0.00%,0.15129999999999996,N
14-Oct-2020,1.39,1.4,1.4,1.39,0.0878,-0.71%,0.14237999999999998,N
15-Oct-2020,1.41,1.39,1.41,1.39,0.0973,1.44%,0.14338999999999996,N
16-Oct-2020,1.39,1.41,1.41,1.39,0.1867,-1.42%,0.14701999999999998,N
19-Oct-2020,1.41,1.39,1.41,1.39,0.0612,1.44%,0.14443999999999996,N
20-Oct-2020,1.39,1.41,1.41,1.39,0.0909,-1.42%,0.14751999999999996,N
21-Oct-2020,1.39,1.39,1.4,1.38,0.2225,0.00%,0.15042999999999995,N
22-Oct-2020,1.39,1.39,1.4,1.39,0.05,0.00%,0.14174999999999996,N
23-Oct-2020,1.38,1.4,1.4,1.38,0.1725,-0.72%,0.14627999999999994,N
26-Oct-2020,1.38,1.38,1.39,1.38,0.1243,0.00%,0.13472999999999996,N
27-Oct-2020,1.38,1.38,1.39,1.37,0.0847,0.00%,0.11778999999999995,N
28-Oct-2020,1.38,1.39,1.39,1.37,0.0746,0.00%,0.11646999999999993,N
30-Oct-2020,1.37,1.38,1.38,1.36,0.28300000000000003,-0.72%,0.13503999999999994,N
02-Nov-2020,1.35,1.37,1.37,1.35,0.2511,-1.46%,0.1414799999999999,N
03-Nov-2020,1.35,1.35,1.37,1.35,0.3751,0.00%,0.1728699999999999,N
04-Nov-2020,1.37,1.36,1.39,1.35,0.1944,1.48%,0.1832199999999999,N
05-Nov-2020,1.39,1.38,1.4,1.38,0.3281,1.46%,0.1937799999999999,N
06-Nov-2020,1.4,1.4,1.42,1.39,0.2238,0.72%,0.21115999999999993,N
09-Nov-2020,1.39,1.42,1.42,1.38,0.0992,-0.71%,0.20382999999999996,N
10-Nov-2020,1.46,1.41,1.47,1.41,1.13,5.04%,0.30439999999999995,N
11-Nov-2020,1.46,1.47,1.47,1.42,0.3002,0.00%,0.32595,N
12-Nov-2020,1.49,1.43,1.5,1.43,0.4776,2.05%,0.36624999999999996,N
13-Nov-2020,1.49,1.48,1.51,1.46,0.4243,0.00%,0.38037999999999994,N
16-Nov-2020,1.6,1.51,1.62,1.51,2.12,7.38%,0.5672699999999999,N
17-Nov-2020,1.63,1.63,1.69,1.62,2.14,1.87%,0.74376,N
18-Nov-2020,1.61,1.63,1.64,1.57,0.6995,-1.23%,0.79427,N
19-Nov-2020,1.59,1.61,1.61,1.56,0.5868,-1.24%,0.8201400000000001,N
20-Nov-2020,1.59,1.59,1.61,1.55,0.4606,0.00%,0.84382,N
23-Nov-2020,1.59,1.59,1.61,1.58,0.2458,0.00%,0.8584799999999999,N
24-Nov-2020,1.58,1.61,1.61,1.57,0.2196,0.00%,0.7674399999999999,N
25-Nov-2020,1.57,1.6,1.6,1.57,0.4916,-0.63%,0.7865799999999998,N
26-Nov-2020,1.6,1.57,1.6,1.56,0.16,1.91%,0.7548199999999998,N
