Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.71,1.7,1.71,1.7,0.0159,0.00%,,N
29-Sep-2020,1.71,1.71,1.71,1.71,0.012,0.00%,,N
30-Sep-2020,1.7,1.71,1.71,1.7,0.0403,-0.58%,,N
01-Oct-2020,1.71,1.72,1.72,1.71,0.0045,0.59%,,N
02-Oct-2020,1.71,1.7,1.71,1.7,0.0147,0.00%,,N
05-Oct-2020,1.71,1.71,1.71,1.71,0.0023,0.00%,,N
06-Oct-2020,1.72,1.71,1.72,1.7,0.0299,0.58%,,N
07-Oct-2020,1.71,1.71,1.71,1.71,0.012,-0.58%,,N
09-Oct-2020,1.75,1.71,1.75,1.71,0.07529999999999999,2.34%,,N
12-Oct-2020,1.73,1.74,1.74,1.73,0.006900000000000001,-1.14%,0.021380000000000003,N
13-Oct-2020,1.73,1.73,1.73,1.73,0.006,0.00%,0.020390000000000002,N
14-Oct-2020,1.75,1.73,1.75,1.73,0.0295,1.16%,0.02214,N
15-Oct-2020,1.79,1.76,1.8,1.76,0.0645,2.29%,0.024560000000000005,N
16-Oct-2020,1.82,1.79,1.82,1.79,0.0296,1.68%,0.027070000000000004,N
19-Oct-2020,1.9,1.82,1.92,1.81,0.069,4.40%,0.03250000000000001,N
20-Oct-2020,1.85,1.9,1.94,1.82,0.0335,-2.63%,0.03562,N
21-Oct-2020,1.85,1.85,1.85,1.84,0.0173,0.00%,0.03436,N
22-Oct-2020,1.83,1.83,1.83,1.83,0.02,-1.08%,0.035160000000000004,N
23-Oct-2020,1.8,1.82,1.83,1.8,0.0378,-1.64%,0.03141000000000001,N
27-Oct-2020,1.8,1.8,1.83,1.8,0.0262,0.00%,0.03334,N
30-Oct-2020,1.78,1.78,1.78,1.78,0.0202,-1.11%,0.03476,N
02-Nov-2020,1.72,1.72,1.72,1.72,0.0018,-3.37%,0.031990000000000005,N
04-Nov-2020,1.73,1.72,1.73,1.72,0.005,0.58%,0.026040000000000008,N
05-Nov-2020,1.76,1.73,1.76,1.73,0.0261,1.73%,0.025690000000000008,N
09-Nov-2020,1.77,1.73,1.79,1.7,0.0423,0.57%,0.023020000000000006,N
10-Nov-2020,1.81,1.78,1.81,1.78,0.004,2.26%,0.020070000000000008,N
11-Nov-2020,1.81,1.76,1.81,1.71,0.0202,0.00%,0.020360000000000007,N
12-Nov-2020,1.84,1.81,1.84,1.76,0.061,1.66%,0.024460000000000006,N
13-Nov-2020,1.85,1.84,1.87,1.84,0.0663,0.54%,0.027310000000000008,N
16-Nov-2020,1.91,1.86,1.91,1.86,0.0948,3.24%,0.034170000000000006,N
17-Nov-2020,1.95,1.89,1.95,1.85,0.1094,2.09%,0.04309,N
18-Nov-2020,1.94,1.94,1.94,1.94,0.021,-0.51%,0.04501000000000001,N
19-Nov-2020,1.91,1.94,1.94,1.91,0.0096,-1.55%,0.045470000000000003,N
20-Nov-2020,2.08,1.98,2.08,1.98,0.2216,8.90%,0.06502,N
23-Nov-2020,2.08,2.0,2.1,2.0,0.0681,0.00%,0.0676,N
24-Nov-2020,2.08,2.07,2.08,2.07,0.0398,0.00%,0.07118,N
25-Nov-2020,2.08,2.06,2.08,2.06,0.0199,0.48%,0.07115,N
