Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.625,0.62,0.625,0.62,0.0324,0.81%,,N
29-Sep-2020,0.625,0.625,0.625,0.625,0.0123,0.00%,,N
30-Sep-2020,0.625,0.625,0.63,0.625,0.1051,0.00%,,N
01-Oct-2020,0.625,0.63,0.63,0.62,0.021,0.00%,,N
02-Oct-2020,0.63,0.62,0.63,0.62,0.0664,0.80%,,N
05-Oct-2020,0.63,0.62,0.63,0.62,0.0316,0.00%,,N
06-Oct-2020,0.625,0.63,0.63,0.625,0.0211,-0.79%,,N
07-Oct-2020,0.625,0.62,0.625,0.62,0.027000000000000003,0.00%,,N
08-Oct-2020,0.625,0.625,0.625,0.625,0.0256,0.00%,,N
09-Oct-2020,0.625,0.625,0.63,0.625,0.0783,0.00%,0.04208,N
12-Oct-2020,0.625,0.62,0.625,0.62,0.0308,0.00%,0.04192,N
13-Oct-2020,0.62,0.62,0.625,0.62,0.0405,-0.80%,0.04474,N
14-Oct-2020,0.62,0.625,0.625,0.62,0.0316,0.00%,0.03739,N
15-Oct-2020,0.625,0.625,0.63,0.62,0.0523,0.81%,0.04052,N
16-Oct-2020,0.62,0.62,0.63,0.62,0.0215,-0.80%,0.03603,N
19-Oct-2020,0.615,0.625,0.625,0.615,0.1173,-0.81%,0.0446,N
20-Oct-2020,0.625,0.625,0.625,0.62,0.038200000000000005,1.63%,0.046310000000000004,N
21-Oct-2020,0.63,0.625,0.63,0.625,0.0212,0.80%,0.04573,N
22-Oct-2020,0.63,0.625,0.63,0.62,0.0386,0.00%,0.04703,N
23-Oct-2020,0.62,0.63,0.63,0.62,0.1114,-1.59%,0.050339999999999996,N
26-Oct-2020,0.615,0.62,0.62,0.615,0.0438,-0.81%,0.051639999999999985,N
27-Oct-2020,0.63,0.615,0.63,0.615,0.032100000000000004,2.44%,0.05079999999999999,N
28-Oct-2020,0.62,0.625,0.625,0.62,0.0209,-1.59%,0.04972999999999999,N
30-Oct-2020,0.62,0.62,0.625,0.615,0.0787,0.00%,0.05236999999999999,N
02-Nov-2020,0.615,0.62,0.62,0.615,0.0493,-0.81%,0.05515,N
03-Nov-2020,0.615,0.62,0.62,0.615,0.0689,0.00%,0.05031,N
04-Nov-2020,0.62,0.62,0.62,0.62,0.03,0.81%,0.04949,N
05-Nov-2020,0.62,0.62,0.62,0.615,0.1025,0.00%,0.057620000000000005,N
06-Nov-2020,0.62,0.615,0.62,0.615,0.06609999999999999,0.00%,0.060370000000000014,N
09-Nov-2020,0.615,0.62,0.62,0.61,0.07440000000000001,-0.81%,0.05667000000000002,N
10-Nov-2020,0.615,0.615,0.63,0.605,0.3587,0.00%,0.08816000000000003,N
11-Nov-2020,0.615,0.615,0.615,0.61,0.1291,0.00%,0.09786000000000003,N
12-Nov-2020,0.62,0.62,0.62,0.61,0.0906,0.81%,0.10483000000000005,N
13-Nov-2020,0.62,0.62,0.62,0.615,0.1333,0.00%,0.11029000000000004,N
16-Nov-2020,0.63,0.62,0.63,0.62,0.20199999999999999,1.61%,0.12556000000000006,N
17-Nov-2020,0.63,0.63,0.63,0.62,0.507,0.00%,0.16937000000000005,N
18-Nov-2020,0.625,0.63,0.63,0.625,0.1361,-0.79%,0.17998000000000006,N
19-Nov-2020,0.63,0.63,0.63,0.625,0.2291,0.80%,0.19264000000000006,N
20-Nov-2020,0.625,0.63,0.63,0.625,0.0966,-0.79%,0.19569000000000006,N
23-Nov-2020,0.63,0.63,0.63,0.625,0.4476,0.80%,0.23301000000000008,N
24-Nov-2020,0.62,0.63,0.63,0.615,0.4084,-0.80%,0.23798000000000002,N
25-Nov-2020,0.615,0.63,0.63,0.61,0.8265,-0.81%,0.30772000000000005,N
26-Nov-2020,0.625,0.615,0.63,0.615,0.0185,1.63%,0.30051000000000005,N
