Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.645,0.67,0.67,0.64,6.58,-3.73%,,N
29-Sep-2020,0.625,0.65,0.66,0.615,4.91,-3.10%,,N
30-Sep-2020,0.615,0.625,0.63,0.575,8.14,-1.60%,,N
01-Oct-2020,0.595,0.61,0.62,0.585,2.67,-3.25%,,N
02-Oct-2020,0.585,0.6,0.61,0.58,1.81,-1.68%,,N
05-Oct-2020,0.64,0.59,0.64,0.59,6.18,9.40%,,N
06-Oct-2020,0.61,0.65,0.66,0.6,4.78,-4.69%,,N
07-Oct-2020,0.59,0.61,0.615,0.59,3.71,-3.28%,,N
08-Oct-2020,0.595,0.595,0.6,0.59,1.3,0.85%,,N
09-Oct-2020,0.585,0.595,0.595,0.575,3.14,-1.68%,4.322,N
12-Oct-2020,0.57,0.585,0.585,0.57,2.85,-2.56%,3.9490000000000003,N
13-Oct-2020,0.57,0.565,0.58,0.56,1.51,0.00%,3.6090000000000004,N
14-Oct-2020,0.57,0.57,0.57,0.555,1.91,0.00%,2.9859999999999998,N
15-Oct-2020,0.625,0.57,0.635,0.555,10.46,9.65%,3.7649999999999997,N
16-Oct-2020,0.615,0.63,0.63,0.61,3.49,-1.60%,3.933,N
19-Oct-2020,0.64,0.615,0.65,0.6,8.67,4.07%,4.182,N
20-Oct-2020,0.64,0.645,0.66,0.625,4.3,0.00%,4.1339999999999995,N
21-Oct-2020,0.63,0.645,0.645,0.615,2.3,-1.56%,3.9929999999999994,N
22-Oct-2020,0.645,0.63,0.67,0.615,5.4,2.38%,4.403,N
23-Oct-2020,0.635,0.65,0.655,0.63,1.83,-1.55%,4.271999999999999,N
26-Oct-2020,0.61,0.63,0.63,0.595,1.14,-3.94%,4.100999999999999,N
27-Oct-2020,0.625,0.6,0.645,0.595,2.16,2.46%,4.165999999999999,N
28-Oct-2020,0.605,0.625,0.625,0.6,0.5184,-3.20%,4.026839999999999,N
30-Oct-2020,0.58,0.6,0.605,0.575,1.49,-4.13%,3.1298399999999993,N
02-Nov-2020,0.58,0.575,0.58,0.555,0.7737999999999999,0.00%,2.8582199999999993,N
03-Nov-2020,0.575,0.58,0.58,0.56,0.2751,-0.86%,2.0187299999999992,N
04-Nov-2020,0.59,0.57,0.61,0.57,1.85,2.61%,1.7737299999999994,N
05-Nov-2020,0.6,0.595,0.615,0.595,1.08,1.69%,1.6517299999999995,N
06-Nov-2020,0.6,0.6,0.605,0.595,0.31930000000000003,0.00%,1.1436599999999992,N
09-Nov-2020,0.585,0.6,0.605,0.58,0.7717,-2.50%,1.0378299999999994,N
10-Nov-2020,0.58,0.585,0.595,0.58,0.6514,-0.85%,0.9889699999999995,N
11-Nov-2020,0.585,0.58,0.6,0.58,0.4436000000000001,0.86%,0.8173299999999994,N
12-Nov-2020,0.62,0.585,0.63,0.585,3.87,5.98%,1.1524899999999996,N
13-Nov-2020,0.625,0.625,0.64,0.61,1.84,0.81%,1.1874899999999995,N
16-Nov-2020,0.625,0.635,0.635,0.6,1.98,0.00%,1.3081099999999997,N
17-Nov-2020,0.625,0.625,0.635,0.605,3.1,0.00%,1.5905999999999998,N
18-Nov-2020,0.64,0.625,0.645,0.615,3.45,2.40%,1.7505999999999997,N
19-Nov-2020,0.635,0.635,0.66,0.635,4.48,-0.78%,2.0906,N
20-Nov-2020,0.65,0.635,0.66,0.635,4.72,2.36%,2.5306699999999998,N
23-Nov-2020,0.68,0.65,0.71,0.65,20.88,4.62%,4.5415,N
24-Nov-2020,0.655,0.665,0.675,0.645,4.66,-3.68%,4.94236,N
25-Nov-2020,0.675,0.66,0.69,0.65,4.0,3.05%,5.298,N
26-Nov-2020,0.675,0.68,0.685,0.665,3.6,0.00%,5.271,N
