Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
"Nov 26, 2020",0.675,0.635,0.7,0.62,0.6332000000000001,0.75%,,N
"Nov 25, 2020",0.67,0.7,0.79,0.62,0.45299999999999996,-9.46%,,N
"Nov 24, 2020",0.74,0.81,0.985,0.685,3.24,-6.33%,,N
"Nov 23, 2020",0.79,0.505,0.79,0.49,1.3,61.22%,,N
"Nov 20, 2020",0.49,0.45,0.505,0.45,0.2075,22.50%,,N
"Nov 19, 2020",0.4,0.4,0.4,0.4,0.0599,0.00%,,N
"Nov 18, 2020",0.4,0.4,0.4,0.4,0.0318,0.00%,,N
"Nov 17, 2020",0.4,0.4,0.4,0.4,0.0983,0.00%,,N
"Nov 16, 2020",0.4,0.4,0.4,0.4,0.001,0.00%,,N
"Oct 30, 2020",0.4,0.4,0.4,0.4,0.01,0.00%,0.60347,N
"Oct 28, 2020",0.4,0.4,0.4,0.4,0.01,-2.44%,0.5411499999999998,N
"Oct 26, 2020",0.41,0.405,0.41,0.405,0.14300000000000002,1.23%,0.5101499999999998,N
