Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.565,0.56,0.57,0.56,0.2717,0.00%,,N
29-Sep-2020,0.565,0.565,0.57,0.565,0.1967,0.00%,,N
30-Sep-2020,0.595,0.595,0.6,0.58,0.2895,5.31%,,N
01-Oct-2020,0.68,0.6,0.68,0.585,0.9769,14.29%,,N
02-Oct-2020,0.66,0.69,0.69,0.65,1.14,-2.94%,,N
05-Oct-2020,0.675,0.665,0.745,0.66,2.41,2.27%,,N
06-Oct-2020,0.64,0.7,0.72,0.64,1.37,-5.19%,,N
07-Oct-2020,0.655,0.655,0.67,0.65,0.2681,2.34%,,N
08-Oct-2020,0.68,0.645,0.71,0.645,0.8714,3.82%,,N
09-Oct-2020,0.685,0.69,0.69,0.66,0.3848,0.74%,0.81791,N
12-Oct-2020,0.85,0.715,0.98,0.715,55.81,24.09%,6.37174,Y
13-Oct-2020,0.88,0.875,0.93,0.83,22.71,3.53%,8.62307,N
14-Oct-2020,0.87,0.88,0.915,0.85,7.63,-1.14%,9.357119999999998,N
15-Oct-2020,0.865,0.87,0.9,0.85,7.45,-0.57%,10.00443,N
16-Oct-2020,0.835,0.875,0.895,0.825,5.1,-3.47%,10.400429999999998,N
19-Oct-2020,0.785,0.835,0.84,0.775,5.12,-5.99%,10.671429999999999,N
20-Oct-2020,0.76,0.785,0.785,0.755,3.25,-3.18%,10.85943,N
21-Oct-2020,0.8,0.78,0.845,0.775,8.35,5.26%,11.667619999999998,N
22-Oct-2020,0.76,0.82,0.82,0.75,2.39,-5.00%,11.819479999999999,N
23-Oct-2020,0.73,0.76,0.785,0.73,1.77,-3.95%,11.957999999999998,N
26-Oct-2020,0.675,0.73,0.74,0.67,2.08,-7.53%,6.584999999999998,N
27-Oct-2020,0.7,0.68,0.7,0.665,1.27,3.70%,4.440999999999997,N
28-Oct-2020,0.67,0.705,0.705,0.67,0.851,-4.29%,3.763099999999997,N
30-Oct-2020,0.64,0.66,0.665,0.635,1.28,-4.48%,3.1460999999999975,N
02-Nov-2020,0.635,0.64,0.64,0.615,0.664,-0.78%,2.702499999999997,N
03-Nov-2020,0.685,0.655,0.685,0.635,0.9343,7.87%,2.283929999999997,N
04-Nov-2020,0.67,0.69,0.7,0.66,1.02,-2.19%,2.060929999999997,N
05-Nov-2020,0.695,0.675,0.71,0.675,0.5432,3.73%,1.2802499999999968,N
06-Nov-2020,0.685,0.69,0.69,0.68,0.5848,-1.44%,1.0997299999999968,N
09-Nov-2020,0.75,0.685,0.76,0.685,4.76,9.49%,1.3987299999999967,N
10-Nov-2020,0.73,0.755,0.76,0.725,1.26,-2.67%,1.3167299999999966,N
11-Nov-2020,0.73,0.735,0.755,0.725,1.26,0.00%,1.3157299999999967,N
12-Nov-2020,0.735,0.74,0.745,0.725,0.9965,0.68%,1.3302799999999966,N
13-Nov-2020,0.725,0.735,0.735,0.72,0.6287999999999999,-1.36%,1.2651599999999967,N
16-Nov-2020,0.705,0.72,0.73,0.7,1.12,-2.76%,1.3107599999999968,N
17-Nov-2020,0.74,0.71,0.745,0.705,1.86,4.96%,1.4033299999999966,N
18-Nov-2020,0.745,0.75,0.76,0.73,1.35,0.68%,1.4363299999999968,N
19-Nov-2020,0.725,0.74,0.74,0.725,0.4911,-2.68%,1.4311199999999966,N
20-Nov-2020,0.725,0.725,0.74,0.715,0.7908,0.00%,1.4517199999999966,N
23-Nov-2020,0.725,0.72,0.755,0.72,0.9602,0.00%,1.0717399999999966,N
24-Nov-2020,0.71,0.73,0.73,0.705,0.6858,-2.07%,1.0143199999999966,N
25-Nov-2020,0.71,0.71,0.725,0.71,0.3597,0.00%,0.9242899999999967,N
26-Nov-2020,0.72,0.71,0.735,0.705,0.5038,1.41%,0.8750199999999968,N
