Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.795,0.805,0.805,0.79,1.29,-0.62%,,N
29-Sep-2020,0.795,0.795,0.8,0.79,2.81,0.00%,,N
30-Sep-2020,0.77,0.785,0.785,0.77,2.15,-3.14%,,N
01-Oct-2020,0.765,0.77,0.795,0.765,1.12,-0.65%,,N
02-Oct-2020,0.78,0.78,0.78,0.765,1.16,1.96%,,N
05-Oct-2020,0.77,0.78,0.78,0.77,1.04,-1.28%,,N
06-Oct-2020,0.765,0.77,0.775,0.765,0.7787999999999999,-0.65%,,N
07-Oct-2020,0.755,0.765,0.77,0.755,1.35,-1.31%,,N
08-Oct-2020,0.77,0.76,0.775,0.76,0.7729,1.99%,,N
09-Oct-2020,0.77,0.77,0.77,0.765,0.4432,0.00%,1.29149,N
12-Oct-2020,0.77,0.77,0.775,0.765,1.0,0.00%,1.2624900000000001,N
13-Oct-2020,0.76,0.77,0.77,0.76,1.18,-1.30%,1.0994899999999999,N
14-Oct-2020,0.755,0.765,0.765,0.745,4.16,-0.66%,1.30049,N
15-Oct-2020,0.735,0.75,0.755,0.735,4.19,-2.65%,1.6074899999999999,N
16-Oct-2020,0.76,0.735,0.76,0.735,1.57,3.40%,1.64849,N
19-Oct-2020,0.77,0.76,0.77,0.755,1.91,1.32%,1.73549,N
20-Oct-2020,0.75,0.77,0.77,0.75,1.93,-2.60%,1.85061,N
21-Oct-2020,0.76,0.755,0.76,0.75,1.96,1.33%,1.91161,N
22-Oct-2020,0.73,0.76,0.76,0.73,3.81,-3.95%,2.2153199999999997,N
23-Oct-2020,0.735,0.735,0.75,0.735,1.69,0.68%,2.34,N
26-Oct-2020,0.725,0.735,0.74,0.725,2.11,-1.36%,2.4509999999999996,N
27-Oct-2020,0.725,0.725,0.735,0.725,3.19,0.00%,2.652,N
28-Oct-2020,0.74,0.73,0.75,0.725,0.9672,2.07%,2.3327199999999997,N
30-Oct-2020,0.73,0.73,0.74,0.725,1.35,-1.35%,2.04872,N
02-Nov-2020,0.72,0.73,0.73,0.71,2.63,-1.37%,2.1547199999999997,N
03-Nov-2020,0.74,0.725,0.74,0.725,0.2815,2.78%,1.9918699999999998,N
04-Nov-2020,0.735,0.74,0.745,0.73,0.555,-0.68%,1.8543699999999999,N
05-Nov-2020,0.735,0.735,0.75,0.73,1.37,0.00%,1.7953699999999997,N
06-Nov-2020,0.745,0.74,0.75,0.74,0.6249,1.36%,1.4768599999999998,N
09-Nov-2020,0.74,0.745,0.75,0.74,0.8885,-0.67%,1.39671,N
10-Nov-2020,0.765,0.755,0.775,0.75,2.23,3.38%,1.40871,N
11-Nov-2020,0.78,0.77,0.78,0.76,3.13,1.96%,1.40271,N
12-Nov-2020,0.79,0.78,0.8,0.775,3.61,1.28%,1.6669900000000002,N
13-Nov-2020,0.8,0.79,0.8,0.78,2.28,1.27%,1.7599900000000002,N
16-Nov-2020,0.81,0.8,0.815,0.795,3.11,1.25%,1.8079900000000002,N
17-Nov-2020,0.8,0.81,0.815,0.795,3.32,-1.23%,2.11184,N
18-Nov-2020,0.8,0.8,0.81,0.79,2.03,0.00%,2.2593400000000003,N
19-Nov-2020,0.785,0.8,0.805,0.78,3.27,-1.87%,2.4493400000000003,N
20-Nov-2020,0.785,0.79,0.8,0.785,1.54,0.00%,2.54085,N
23-Nov-2020,0.795,0.795,0.805,0.785,1.57,1.27%,2.609,N
24-Nov-2020,0.805,0.8,0.81,0.795,1.89,1.26%,2.575,N
25-Nov-2020,0.81,0.81,0.815,0.8,2.62,1.25%,2.524,N
26-Nov-2020,0.815,0.81,0.815,0.805,1.22,0.62%,2.285,N
