Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.38,1.4,1.4,1.38,0.12819999999999998,-1.43%,,N
29-Sep-2020,1.38,1.38,1.38,1.37,1.16,0.00%,,N
30-Sep-2020,1.38,1.39,1.4,1.37,0.1988,0.00%,,N
01-Oct-2020,1.37,1.39,1.39,1.37,0.3144,-0.72%,,N
02-Oct-2020,1.35,1.37,1.37,1.34,0.7192999999999999,-1.46%,,N
05-Oct-2020,1.33,1.35,1.38,1.33,1.02,-1.48%,,N
06-Oct-2020,1.3,1.33,1.33,1.3,1.78,-2.26%,,N
07-Oct-2020,1.29,1.3,1.32,1.29,1.09,-0.77%,,N
08-Oct-2020,1.29,1.29,1.3,1.29,0.31660000000000005,0.00%,,N
09-Oct-2020,1.3,1.3,1.32,1.29,1.07,0.78%,0.77973,N
12-Oct-2020,1.3,1.31,1.32,1.3,0.3177,0.00%,0.7986800000000001,N
13-Oct-2020,1.28,1.3,1.31,1.28,1.57,-1.54%,0.8396800000000001,N
14-Oct-2020,1.28,1.29,1.3,1.27,2.13,0.00%,1.0328000000000002,N
15-Oct-2020,1.28,1.29,1.29,1.27,0.9131,0.00%,1.09267,N
16-Oct-2020,1.25,1.28,1.28,1.21,6.91,-2.34%,1.71174,N
19-Oct-2020,1.2,1.25,1.25,1.19,4.47,-4.00%,2.05674,N
20-Oct-2020,1.17,1.19,1.2,1.16,3.13,-2.50%,2.19174,N
21-Oct-2020,1.15,1.17,1.18,1.14,3.72,-1.71%,2.4547399999999997,N
22-Oct-2020,1.14,1.15,1.2,1.12,12.38,-0.87%,3.6610799999999997,N
23-Oct-2020,1.16,1.16,1.17,1.14,4.05,1.75%,3.9590799999999993,N
26-Oct-2020,1.15,1.18,1.19,1.15,4.13,-0.86%,4.34031,N
27-Oct-2020,1.16,1.17,1.17,1.15,2.75,0.87%,4.458309999999999,N
28-Oct-2020,1.16,1.16,1.16,1.15,1.49,0.00%,4.394309999999999,N
30-Oct-2020,1.16,1.16,1.16,1.13,1.71,0.00%,4.473999999999999,N
02-Nov-2020,1.13,1.14,1.15,1.13,0.9648,-2.59%,3.8794799999999996,N
03-Nov-2020,1.14,1.14,1.15,1.13,1.56,0.88%,3.5884799999999997,N
04-Nov-2020,1.16,1.14,1.18,1.14,1.24,1.75%,3.3994799999999996,N
05-Nov-2020,1.22,1.17,1.24,1.16,2.53,5.17%,3.28048,N
06-Nov-2020,1.25,1.24,1.25,1.22,2.09,2.46%,2.25148,N
09-Nov-2020,1.2,1.24,1.24,1.19,2.02,-4.00%,2.04848,N
10-Nov-2020,1.23,1.21,1.25,1.2,7.1,2.50%,2.3454800000000002,N
11-Nov-2020,1.2,1.23,1.24,1.19,2.96,-2.44%,2.36648,N
12-Nov-2020,1.23,1.2,1.24,1.2,1.26,2.50%,2.3434800000000005,N
13-Nov-2020,1.26,1.23,1.28,1.22,4.14,2.44%,2.586480000000001,N
16-Nov-2020,1.33,1.27,1.34,1.26,3.46,5.56%,2.8360000000000007,N
17-Nov-2020,1.35,1.34,1.37,1.34,2.6,1.50%,2.940000000000001,N
18-Nov-2020,1.32,1.35,1.35,1.31,1.49,-2.22%,2.9650000000000007,N
19-Nov-2020,1.32,1.32,1.33,1.3,1.13,0.00%,2.8250000000000006,N
20-Nov-2020,1.35,1.33,1.35,1.32,1.99,2.27%,2.8150000000000004,N
23-Nov-2020,1.35,1.36,1.36,1.33,1.15,0.00%,2.7280000000000006,N
24-Nov-2020,1.34,1.35,1.35,1.32,1.49,-1.47%,2.1670000000000003,N
25-Nov-2020,1.34,1.34,1.35,1.33,0.9774,-0.74%,1.96874,N
26-Nov-2020,1.35,1.33,1.35,1.33,0.7943,0.75%,1.92217,N
