Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
16-Oct-2020,0.49,0.49,0.5,0.485,4.91,1.03%,,N
19-Oct-2020,0.49,0.49,0.495,0.48,2.59,0.00%,,N
20-Oct-2020,0.485,0.485,0.495,0.475,3.45,-1.02%,,N
21-Oct-2020,0.485,0.485,0.495,0.475,5.08,0.00%,,N
22-Oct-2020,0.485,0.48,0.485,0.475,2.07,0.00%,,N
23-Oct-2020,0.47,0.49,0.495,0.47,5.16,-3.09%,,N
26-Oct-2020,0.475,0.475,0.49,0.465,4.22,1.06%,,N
27-Oct-2020,0.485,0.485,0.495,0.48,5.88,2.11%,,N
28-Oct-2020,0.48,0.495,0.495,0.48,3.33,-1.03%,,N
30-Oct-2020,0.47,0.48,0.48,0.455,4.39,-2.08%,4.108,N
02-Nov-2020,0.465,0.465,0.465,0.45,3.01,-1.06%,3.9179999999999993,N
03-Nov-2020,0.48,0.47,0.485,0.465,3.01,3.23%,3.9599999999999995,N
04-Nov-2020,0.48,0.485,0.495,0.48,4.63,0.00%,4.077999999999999,N
05-Nov-2020,0.525,0.49,0.525,0.49,20.79,9.37%,5.648999999999999,N
06-Nov-2020,0.51,0.535,0.54,0.5,7.7,-2.86%,6.212,N
09-Nov-2020,0.52,0.515,0.525,0.51,5.43,1.96%,6.239,N
10-Nov-2020,0.54,0.525,0.555,0.52,14.86,3.85%,7.303,N
11-Nov-2020,0.55,0.545,0.555,0.54,9.64,1.85%,7.679,N
12-Nov-2020,0.55,0.555,0.555,0.54,8.89,0.00%,8.235000000000001,N
13-Nov-2020,0.575,0.55,0.58,0.545,15.88,4.55%,9.384,N
16-Nov-2020,0.585,0.585,0.605,0.58,16.77,1.74%,10.76,N
17-Nov-2020,0.585,0.585,0.6,0.56,10.16,0.00%,11.474999999999998,N
18-Nov-2020,0.575,0.585,0.59,0.57,4.85,-1.71%,11.496999999999998,N
19-Nov-2020,0.595,0.585,0.61,0.58,12.12,3.48%,10.629999999999999,N
20-Nov-2020,0.595,0.6,0.6,0.585,6.96,0.00%,10.555999999999997,N
23-Nov-2020,0.585,0.595,0.595,0.575,7.0,-1.68%,10.712999999999997,N
24-Nov-2020,0.545,0.585,0.585,0.54,15.84,-6.84%,10.810999999999996,N
25-Nov-2020,0.56,0.545,0.565,0.545,5.26,2.75%,10.372999999999998,N
26-Nov-2020,0.55,0.56,0.56,0.545,4.3,-1.79%,9.913999999999998,N
