Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.815,0.83,0.83,0.815,0.45799999999999996,-0.61%,,N
29-Sep-2020,0.815,0.82,0.825,0.815,0.2921,0.00%,,N
30-Sep-2020,0.82,0.815,0.825,0.815,0.0231,0.61%,,N
01-Oct-2020,0.82,0.82,0.82,0.82,0.0116,0.00%,,N
02-Oct-2020,0.82,0.805,0.82,0.805,0.1764,0.00%,,N
05-Oct-2020,0.825,0.815,0.825,0.815,0.2034,0.61%,,N
06-Oct-2020,0.805,0.825,0.825,0.805,0.1228,-2.42%,,N
07-Oct-2020,0.815,0.81,0.82,0.805,0.08259999999999999,1.24%,,N
08-Oct-2020,0.815,0.815,0.82,0.81,0.15130000000000002,0.00%,,N
09-Oct-2020,0.815,0.815,0.85,0.815,0.5746,0.00%,0.20959,N
12-Oct-2020,0.825,0.815,0.825,0.81,0.0916,1.23%,0.17295,N
13-Oct-2020,0.82,0.81,0.82,0.81,0.08020000000000001,-0.61%,0.15176,N
14-Oct-2020,0.82,0.82,0.82,0.81,0.07640000000000001,0.00%,0.15709,N
15-Oct-2020,0.805,0.81,0.82,0.805,0.0639,-1.83%,0.16232000000000002,N
16-Oct-2020,0.825,0.81,0.825,0.805,0.1751,2.48%,0.16219,N
19-Oct-2020,0.82,0.815,0.82,0.815,0.0426,-0.61%,0.14611000000000002,N
20-Oct-2020,0.82,0.81,0.825,0.81,0.0708,0.00%,0.14091,N
21-Oct-2020,0.825,0.82,0.825,0.815,0.2151,0.61%,0.15416000000000002,N
22-Oct-2020,0.82,0.82,0.825,0.815,0.08199999999999999,-0.61%,0.14723000000000003,N
23-Oct-2020,0.81,0.825,0.825,0.81,0.4211,-1.22%,0.13188000000000002,N
26-Oct-2020,0.81,0.81,0.815,0.81,0.1411,0.00%,0.13683000000000003,N
27-Oct-2020,0.82,0.81,0.82,0.81,0.1608,1.23%,0.14489000000000002,N
28-Oct-2020,0.82,0.81,0.82,0.81,0.5014,0.00%,0.18739000000000003,N
30-Oct-2020,0.815,0.81,0.82,0.805,0.6077,-0.61%,0.24177000000000004,N
02-Nov-2020,0.81,0.81,0.81,0.805,0.348,-0.61%,0.25906,N
03-Nov-2020,0.81,0.81,0.81,0.81,0.025,0.00%,0.2573,N
04-Nov-2020,0.815,0.81,0.815,0.81,0.16119999999999998,0.62%,0.26633999999999997,N
05-Nov-2020,0.82,0.815,0.82,0.815,0.1213,0.61%,0.25695999999999997,N
06-Nov-2020,0.82,0.82,0.83,0.815,0.1391,0.00%,0.26267,N
09-Nov-2020,0.83,0.82,0.835,0.82,0.3836,1.22%,0.25892,N
10-Nov-2020,0.855,0.84,0.86,0.835,0.3674,3.01%,0.28155,N
11-Nov-2020,0.865,0.845,0.88,0.845,0.6119,1.17%,0.32666,N
12-Nov-2020,0.88,0.855,0.885,0.855,0.5556,1.73%,0.33208000000000004,N
13-Nov-2020,0.88,0.88,0.88,0.87,0.4432,0.00%,0.31563,N
16-Nov-2020,0.915,0.88,0.915,0.88,1.05,3.98%,0.38583000000000006,N
17-Nov-2020,0.915,0.925,0.945,0.91,0.9993,0.00%,0.48326,N
18-Nov-2020,0.915,0.92,0.925,0.915,0.3255,0.00%,0.49969,N
19-Nov-2020,0.935,0.93,0.94,0.915,0.37200000000000005,2.19%,0.52476,N
20-Nov-2020,0.965,0.935,0.98,0.93,1.14,3.21%,0.62485,N
23-Nov-2020,0.94,0.975,0.975,0.94,2.14,-2.59%,0.8004900000000001,N
24-Nov-2020,0.92,0.94,0.94,0.92,0.5882000000000001,-2.13%,0.8225700000000001,N
25-Nov-2020,0.935,0.92,0.935,0.92,0.406,1.63%,0.8019800000000001,N
26-Nov-2020,0.95,0.93,0.95,0.93,0.3741,1.60%,0.7838300000000002,N
