Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
05-Oct-2020,1.28,1.28,1.28,1.28,0.006,24.27%,,N
06-Oct-2020,1.3,1.3,1.3,1.3,0.002,1.56%,,N
07-Oct-2020,1.22,1.22,1.22,1.22,0.005,-6.15%,,N
08-Oct-2020,1.25,1.22,1.25,1.22,0.0065,2.46%,,N
09-Oct-2020,1.35,1.25,1.35,1.25,0.0015,8.00%,,N
12-Oct-2020,1.6,1.4,1.6,1.4,0.06559999999999999,18.52%,,N
13-Oct-2020,1.6,1.6,1.6,1.6,0.003,0.00%,,N
14-Oct-2020,1.6,1.6,1.6,1.6,0.005,0.00%,,N
15-Oct-2020,1.6,1.6,1.6,1.6,0.0055,0.00%,,N
16-Oct-2020,1.62,1.7,1.72,1.62,0.0066,1.25%,,
22-Oct-2020,1.62,1.7,1.7,1.62,0.008199999999999999,0.00%,,
23-Oct-2020,1.62,1.62,1.62,1.62,0.0001,0.00%,,
02-Nov-2020,1.59,1.6,1.6,1.59,0.005,-1.85%,,
03-Nov-2020,1.59,1.58,1.65,1.58,0.0074,0.00%,,
05-Nov-2020,1.6,1.59,1.6,1.57,0.0288,0.63%,,
06-Nov-2020,1.7,1.6,1.7,1.6,0.0055,6.25%,,
09-Nov-2020,1.7,1.7,1.84,1.7,0.0281,0.00%,,
11-Nov-2020,1.61,1.7,1.7,1.61,0.0095,-5.29%,,
16-Nov-2020,1.65,1.65,1.65,1.65,-,2.48%,,
25-Nov-2020,1.85,1.75,1.85,1.75,0.0085,12.12%,,
26-Nov-2020,2.0,1.88,2.0,1.88,0.0154,8.11%,,
