Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
02-Oct-2020,0.465,0.465,0.465,0.465,0.0025,0.00%,,N
08-Oct-2020,0.495,0.495,0.495,0.495,0.0316,6.45%,,N
12-Oct-2020,0.495,0.495,0.495,0.495,0.015,0.00%,,N
28-Oct-2020,0.56,0.51,0.6,0.51,0.08199999999999999,13.13%,,N
30-Oct-2020,0.56,0.56,0.56,0.5,0.0482,0.00%,,N
09-Nov-2020,0.555,0.555,0.555,0.555,0.0021000000000000003,-0.89%,,N
10-Nov-2020,0.55,0.55,0.55,0.55,0.0175,-0.90%,,N
11-Nov-2020,0.57,0.56,0.57,0.56,0.002,3.64%,,N
12-Nov-2020,0.575,0.575,0.575,0.575,0.0025,0.88%,,N
16-Nov-2020,0.57,0.55,0.57,0.55,0.006999999999999999,-0.87%,0.021039999999999996,N
17-Nov-2020,0.57,0.54,0.57,0.54,0.008,0.00%,0.021589999999999998,N
19-Nov-2020,0.56,0.56,0.56,0.56,0.003,-1.75%,0.018729999999999997,N
23-Nov-2020,0.57,0.55,0.57,0.55,0.004,1.79%,0.017629999999999996,N
24-Nov-2020,0.57,0.53,0.58,0.53,0.0041,0.00%,0.009839999999999996,N
25-Nov-2020,0.6,0.53,0.6,0.53,0.0026,5.26%,0.0052799999999999965,N
26-Nov-2020,0.53,0.54,0.54,0.53,0.006,-11.67%,0.005669999999999996,N
