Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.54,0.53,0.54,0.53,0.15159999999999998,0.93%,,N
29-Sep-2020,0.55,0.54,0.55,0.535,0.2009,1.85%,,N
30-Sep-2020,0.55,0.555,0.555,0.545,0.2466,0.00%,,N
01-Oct-2020,0.535,0.545,0.545,0.53,0.0509,-2.73%,,N
02-Oct-2020,0.53,0.535,0.54,0.53,0.1054,-0.93%,,N
05-Oct-2020,0.54,0.525,0.54,0.525,0.0905,1.89%,,N
06-Oct-2020,0.53,0.55,0.55,0.53,0.7077,-1.85%,,N
07-Oct-2020,0.55,0.53,0.55,0.53,0.07590000000000001,3.77%,,N
08-Oct-2020,0.545,0.55,0.55,0.54,0.1667,-0.91%,,N
09-Oct-2020,0.55,0.53,0.55,0.53,0.2543,0.92%,0.20505,N
12-Oct-2020,0.615,0.56,0.67,0.56,27.75,11.82%,2.96489,Y
13-Oct-2020,0.63,0.62,0.645,0.605,4.4,2.44%,3.3848000000000007,N
14-Oct-2020,0.62,0.625,0.635,0.615,1.96,-1.59%,3.5561400000000005,N
15-Oct-2020,0.625,0.62,0.645,0.61,3.65,0.81%,3.9160500000000007,N
16-Oct-2020,0.635,0.64,0.655,0.635,4.19,1.60%,4.32451,N
19-Oct-2020,0.65,0.64,0.665,0.64,1.48,2.36%,4.4634599999999995,N
20-Oct-2020,0.625,0.65,0.65,0.625,1.26,-3.85%,4.518689999999999,N
21-Oct-2020,0.635,0.63,0.64,0.615,1.45,1.60%,4.6561,N
22-Oct-2020,0.625,0.64,0.64,0.62,0.4562,-1.57%,4.68505,N
23-Oct-2020,0.615,0.62,0.635,0.61,1.05,-1.60%,4.76462,N
26-Oct-2020,0.59,0.61,0.61,0.575,1.02,-4.07%,2.0916200000000003,N
27-Oct-2020,0.6,0.59,0.605,0.59,0.3412,1.69%,1.6857400000000005,N
28-Oct-2020,0.585,0.6,0.605,0.585,0.6059,-2.50%,1.5503300000000002,N
30-Oct-2020,0.555,0.585,0.585,0.545,1.12,-5.13%,1.2973300000000003,N
02-Nov-2020,0.56,0.54,0.56,0.535,0.3388,0.90%,0.9122100000000003,N
03-Nov-2020,0.56,0.555,0.56,0.54,0.2959,0.00%,0.7938000000000003,N
04-Nov-2020,0.59,0.58,0.59,0.57,0.2038,5.36%,0.6881800000000002,N
05-Nov-2020,0.6,0.595,0.6,0.59,0.4268,1.69%,0.5858600000000002,N
06-Nov-2020,0.61,0.605,0.615,0.6,0.5227999999999999,1.67%,0.5925200000000002,N
09-Nov-2020,0.605,0.62,0.62,0.595,0.29660000000000003,-0.82%,0.5171800000000002,N
10-Nov-2020,0.605,0.6,0.61,0.6,0.5189,0.00%,0.4670700000000002,N
11-Nov-2020,0.615,0.605,0.615,0.605,0.3475,1.65%,0.4677000000000002,N
12-Nov-2020,0.64,0.615,0.645,0.615,2.39,4.07%,0.6461100000000002,N
13-Nov-2020,0.645,0.645,0.65,0.64,1.86,0.78%,0.7201100000000001,N
16-Nov-2020,0.64,0.645,0.66,0.61,1.07,-0.78%,0.7932300000000001,N
17-Nov-2020,0.62,0.64,0.645,0.61,0.2635,-3.12%,0.7899900000000001,N
18-Nov-2020,0.625,0.62,0.635,0.615,0.2096,0.81%,0.79057,N
19-Nov-2020,0.625,0.625,0.635,0.62,0.2542,0.00%,0.77331,N
20-Nov-2020,0.625,0.635,0.635,0.625,0.2854,0.00%,0.74957,N
23-Nov-2020,0.625,0.625,0.625,0.615,0.2746,0.00%,0.74737,N
24-Nov-2020,0.705,0.65,0.74,0.645,21.73,14.63%,2.8684800000000004,Y
25-Nov-2020,0.67,0.715,0.715,0.66,4.86,-4.96%,3.3197300000000007,N
26-Nov-2020,0.685,0.68,0.685,0.655,2.03,2.24%,3.2837300000000007,N
