Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.705,0.695,0.71,0.695,0.309,1.44%,,N
29-Sep-2020,0.72,0.71,0.74,0.705,0.8498,2.13%,,N
30-Sep-2020,0.7,0.73,0.73,0.7,0.4255,-2.78%,,N
01-Oct-2020,0.715,0.71,0.725,0.705,0.4432,2.14%,,N
02-Oct-2020,0.695,0.72,0.72,0.695,0.4768,-2.80%,,N
05-Oct-2020,0.71,0.695,0.71,0.695,0.1662,2.16%,,N
06-Oct-2020,0.7,0.71,0.71,0.695,0.23,-1.41%,,N
07-Oct-2020,0.705,0.705,0.705,0.7,0.0458,0.71%,,N
08-Oct-2020,0.71,0.705,0.715,0.7,0.0736,0.71%,,N
09-Oct-2020,0.705,0.7,0.705,0.69,0.0272,-0.70%,0.3047099999999999,N
13-Oct-2020,0.69,0.7,0.7,0.68,0.2905,-2.13%,0.3028599999999999,N
14-Oct-2020,0.69,0.685,0.69,0.685,0.0526,0.00%,0.2231399999999999,N
15-Oct-2020,0.685,0.685,0.695,0.685,0.07200000000000001,-0.72%,0.1877899999999999,N
16-Oct-2020,0.695,0.68,0.705,0.68,0.0746,1.46%,0.1509299999999999,N
19-Oct-2020,0.695,0.695,0.695,0.685,0.07,0.00%,0.11024999999999992,N
20-Oct-2020,0.69,0.695,0.695,0.69,0.0414,-0.72%,0.09776999999999993,N
21-Oct-2020,0.685,0.69,0.69,0.68,0.2026,-0.72%,0.09502999999999992,N
22-Oct-2020,0.695,0.69,0.7,0.69,0.1405,1.46%,0.10449999999999993,N
23-Oct-2020,0.69,0.7,0.7,0.69,0.1937,-0.72%,0.11650999999999993,N
26-Oct-2020,0.685,0.69,0.69,0.685,0.0505,-0.72%,0.11883999999999995,N
27-Oct-2020,0.685,0.685,0.69,0.68,0.15109999999999998,0.00%,0.10489999999999995,N
28-Oct-2020,0.67,0.69,0.69,0.66,0.1015,-2.19%,0.10978999999999994,N
30-Oct-2020,0.66,0.68,0.68,0.66,0.309,-1.49%,0.13348999999999994,N
02-Nov-2020,0.655,0.66,0.66,0.655,0.106,-0.76%,0.13662999999999995,N
03-Nov-2020,0.685,0.66,0.685,0.66,0.135,4.58%,0.14312999999999992,N
04-Nov-2020,0.695,0.67,0.695,0.67,0.125,1.46%,0.15148999999999993,N
05-Nov-2020,0.695,0.69,0.695,0.68,0.1105,0.00%,0.1422799999999999,N
09-Nov-2020,0.69,0.69,0.695,0.685,0.321,-0.72%,0.16032999999999992,N
10-Nov-2020,0.695,0.69,0.7,0.685,0.245,0.72%,0.1654599999999999,N
11-Nov-2020,0.69,0.7,0.7,0.68,0.2346,-0.72%,0.18386999999999992,N
12-Nov-2020,0.7,0.69,0.7,0.68,0.4931,1.45%,0.2180699999999999,N
13-Nov-2020,0.75,0.695,0.76,0.695,1.5,7.14%,0.3579199999999999,N
16-Nov-2020,0.81,0.76,0.85,0.76,2.87,8.00%,0.6140199999999999,N
17-Nov-2020,0.785,0.825,0.85,0.77,1.03,-3.09%,0.7064199999999999,N
18-Nov-2020,0.84,0.79,0.845,0.79,1.25,7.01%,0.81792,N
19-Nov-2020,0.82,0.855,0.885,0.82,1.18,-2.38%,0.9234199999999999,N
20-Nov-2020,0.82,0.82,0.82,0.8,0.268,0.00%,0.9391700000000001,N
23-Nov-2020,0.81,0.82,0.845,0.81,0.3683,-1.22%,0.9439,N
24-Nov-2020,0.775,0.81,0.815,0.77,0.4858,-4.32%,0.9679800000000001,N
25-Nov-2020,0.79,0.78,0.805,0.78,0.1255,1.94%,0.9570700000000001,N
26-Nov-2020,0.795,0.81,0.815,0.785,0.5791000000000001,0.63%,0.96567,N
