Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.92,1.82,1.93,1.82,0.2883,5.49%,,N
29-Sep-2020,2.03,1.94,2.08,1.93,1.08,5.73%,,N
30-Sep-2020,1.99,2.03,2.03,1.94,0.2999,-1.97%,,N
01-Oct-2020,1.96,1.97,1.98,1.94,0.2131,-1.51%,,N
02-Oct-2020,1.92,1.96,1.98,1.91,0.295,-2.04%,,N
05-Oct-2020,1.92,1.92,1.96,1.92,0.3065,0.00%,,N
06-Oct-2020,1.99,1.94,2.11,1.94,1.93,3.65%,,N
07-Oct-2020,2.03,2.03,2.07,1.98,0.7092,2.01%,,N
08-Oct-2020,2.02,2.08,2.08,1.98,0.4018,-0.49%,,N
09-Oct-2020,2.0,2.0,2.02,2.0,0.2469,-0.99%,0.57707,N
12-Oct-2020,2.01,2.0,2.04,1.98,0.21600000000000005,0.50%,0.5698399999999999,N
13-Oct-2020,2.0,2.01,2.01,1.98,0.2205,-0.50%,0.48389,N
14-Oct-2020,2.06,1.99,2.06,1.99,0.3778,3.00%,0.49167999999999995,N
15-Oct-2020,2.06,2.08,2.13,2.05,1.21,0.00%,0.59137,N
16-Oct-2020,2.04,2.06,2.07,2.04,0.25880000000000003,-0.97%,0.58775,N
19-Oct-2020,2.17,2.04,2.17,2.03,1.02,6.37%,0.6590999999999999,N
20-Oct-2020,2.13,2.19,2.19,2.1,0.8697,-1.84%,0.55307,N
21-Oct-2020,2.08,2.13,2.15,2.05,0.4609,-2.35%,0.5282399999999999,N
22-Oct-2020,2.07,2.08,2.1,2.02,0.3726,-0.48%,0.52532,N
23-Oct-2020,2.05,2.07,2.14,2.02,0.7647,-0.97%,0.5771,N
26-Oct-2020,2.03,2.06,2.09,1.95,0.5691,-0.98%,0.6124099999999999,N
27-Oct-2020,2.04,2.03,2.05,1.99,0.1676,0.49%,0.6071199999999999,N
28-Oct-2020,2.0,2.03,2.03,2.0,0.3296,-1.96%,0.6023,N
30-Oct-2020,1.91,2.0,2.0,1.86,0.6916,-4.50%,0.55046,N
02-Nov-2020,1.87,1.9,1.9,1.81,0.3167,-2.09%,0.55625,N
03-Nov-2020,1.92,1.87,1.94,1.87,0.1305,2.67%,0.4673,N
04-Nov-2020,1.94,1.95,1.97,1.93,0.214,1.04%,0.40173000000000003,N
05-Nov-2020,2.07,1.98,2.07,1.98,0.3702,6.70%,0.39266,N
06-Nov-2020,2.11,2.15,2.22,2.1,2.03,1.93%,0.5584,N
09-Nov-2020,2.14,2.15,2.16,2.11,0.5564,1.42%,0.5375699999999999,N
10-Nov-2020,2.1,2.15,2.15,2.1,0.5452,-1.87%,0.53518,N
11-Nov-2020,2.1,2.1,2.1,2.05,0.4261,0.00%,0.5610299999999999,N
12-Nov-2020,2.29,2.12,2.32,2.12,2.29,9.05%,0.7570699999999999,N
13-Nov-2020,2.25,2.3,2.3,2.22,0.7918,-1.75%,0.7670899999999998,N
