Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
16-Oct-2020,0.51,0.52,0.52,0.51,0.0296,-2.86%,,N
21-Oct-2020,0.5,0.5,0.5,0.5,0.0004,-1.96%,,N
22-Oct-2020,0.535,0.535,0.535,0.535,0.006999999999999999,7.00%,,N
23-Oct-2020,0.51,0.525,0.53,0.51,0.0408,-4.67%,,N
26-Oct-2020,0.495,0.495,0.495,0.495,0.00212,-1.96%,,N
27-Oct-2020,0.495,0.5,0.535,0.495,0.0129,-1.00%,,N
30-Oct-2020,0.49,0.495,0.495,0.49,0.01404,0.00%,,N
05-Nov-2020,0.515,0.53,0.53,0.495,0.03121,5.05%,,N
06-Nov-2020,0.5,0.5,0.5,0.5,0.00707,-2.88%,,N
09-Nov-2020,0.53,0.505,0.53,0.505,0.0031,4.95%,0.014823999999999999,N
10-Nov-2020,0.475,0.525,0.535,0.475,0.06383,-9.43%,0.018246999999999996,N
13-Nov-2020,0.515,0.54,0.54,0.515,0.021,7.29%,0.020306999999999995,N
16-Nov-2020,0.515,0.515,0.515,0.515,0.0028,0.00%,0.019886999999999995,N
17-Nov-2020,0.53,0.515,0.545,0.505,0.2165,2.91%,0.03745699999999999,Y
18-Nov-2020,0.545,0.53,0.545,0.53,0.07474,3.77%,0.04471899999999999,N
19-Nov-2020,0.54,0.54,0.54,0.54,0.00202,-0.91%,0.04363099999999999,N
20-Nov-2020,0.515,0.54,0.54,0.51,0.1915,-5.50%,0.06137699999999998,N
23-Nov-2020,0.525,0.515,0.525,0.515,0.038700000000000005,1.94%,0.06212599999999998,N
24-Nov-2020,0.535,0.53,0.535,0.53,0.0204,1.90%,0.06345899999999997,N
25-Nov-2020,0.51,0.51,0.51,0.51,0.003,-4.67%,0.06344899999999998,N
26-Nov-2020,0.53,0.505,0.53,0.505,0.004,3.92%,0.057465999999999975,N
