Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
"Nov 26, 2020",0.55,0.5,0.575,0.5,0.3269,10.00%,,N
"Nov 25, 2020",0.5,0.5,0.5,0.5,0.035,-0.99%,,N
"Nov 24, 2020",0.505,0.5,0.505,0.5,0.037000000000000005,-0.98%,,N
"Nov 23, 2020",0.51,0.51,0.51,0.51,0.001,2.00%,,N
"Nov 20, 2020",0.5,0.5,0.5,0.5,0.006,-1.96%,,N
"Nov 19, 2020",0.51,0.49,0.51,0.49,0.033,2.00%,,N
"Nov 18, 2020",0.5,0.49,0.51,0.485,0.0509,2.04%,,N
"Nov 17, 2020",0.49,0.49,0.49,0.49,0.0003,0.00%,,N
"Nov 16, 2020",0.49,0.49,0.505,0.49,0.03,0.00%,,N
"Nov 13, 2020",0.49,0.495,0.505,0.49,0.264,1.03%,0.07841000000000001,N
"Nov 11, 2020",0.485,0.485,0.485,0.485,0.003,1.04%,0.04602000000000001,N
"Nov 09, 2020",0.48,0.48,0.48,0.48,0.0161,0.00%,0.044130000000000016,N
"Nov 06, 2020",0.48,0.48,0.48,0.48,0.015,4.35%,0.04193000000000001,N
"Nov 03, 2020",0.46,0.46,0.46,0.46,0.0003,0.00%,0.041860000000000015,N
"Nov 02, 2020",0.46,0.47,0.47,0.46,0.013999999999999999,-4.17%,0.04266000000000002,N
"Oct 30, 2020",0.48,0.48,0.48,0.48,0.01,-3.03%,0.04036000000000002,N
"Oct 27, 2020",0.495,0.47,0.495,0.47,0.003,6.45%,0.03557000000000002,N
