Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.0,1.0,1.01,0.995,2.4,1.52%,,N
29-Sep-2020,1.02,1.01,1.05,1.0,8.47,2.00%,,N
30-Sep-2020,1.0,1.02,1.02,0.995,4.36,-1.96%,,N
01-Oct-2020,1.0,1.01,1.03,0.985,1.98,0.00%,,N
02-Oct-2020,1.0,1.01,1.03,0.99,4.07,0.00%,,N
05-Oct-2020,1.01,1.0,1.02,1.0,2.55,1.00%,,N
06-Oct-2020,1.02,1.02,1.08,0.985,23.46,0.99%,,N
07-Oct-2020,1.03,1.01,1.05,1.01,4.64,0.98%,,N
08-Oct-2020,1.02,1.04,1.05,1.01,3.84,-0.97%,,N
09-Oct-2020,1.01,1.02,1.03,1.0,2.92,-0.98%,5.8690000000000015,N
12-Oct-2020,1.01,1.02,1.04,1.01,3.36,0.00%,5.965000000000002,N
13-Oct-2020,1.01,1.01,1.02,1.0,2.29,0.00%,5.347000000000001,N
14-Oct-2020,1.01,1.02,1.02,1.0,2.63,0.00%,5.174000000000001,N
15-Oct-2020,1.07,1.02,1.08,1.01,16.99,5.94%,6.675000000000002,N
16-Oct-2020,1.04,1.08,1.09,1.03,7.4,-2.80%,7.008000000000001,N
19-Oct-2020,1.05,1.06,1.07,1.04,4.63,0.96%,7.216000000000001,N
20-Oct-2020,1.04,1.05,1.07,1.03,4.7,-0.95%,5.340000000000002,N
21-Oct-2020,1.02,1.04,1.07,1.0,8.21,-1.92%,5.697000000000001,N
22-Oct-2020,1.02,1.02,1.04,1.01,2.61,0.00%,5.574000000000001,N
23-Oct-2020,1.03,1.04,1.09,1.02,22.14,0.98%,7.496,N
26-Oct-2020,1.03,1.04,1.06,1.01,4.89,0.00%,7.649000000000001,N
27-Oct-2020,1.02,1.02,1.04,1.02,2.0,-0.97%,7.62,N
28-Oct-2020,1.0,1.03,1.03,1.0,3.52,-1.96%,7.7090000000000005,N
30-Oct-2020,0.95,1.0,1.0,0.94,10.94,-5.00%,7.104000000000001,N
02-Nov-2020,0.97,0.95,0.99,0.92,4.61,2.11%,6.825,N
03-Nov-2020,0.995,0.975,1.0,0.95,6.24,2.58%,6.986,N
04-Nov-2020,1.04,0.995,1.04,0.99,7.36,4.52%,7.252,N
05-Nov-2020,1.06,1.05,1.07,1.04,6.11,1.92%,7.041999999999999,N
06-Nov-2020,1.1,1.07,1.12,1.03,10.11,3.77%,7.791999999999999,N
09-Nov-2020,1.12,1.12,1.15,1.1,5.18,1.82%,6.095999999999999,N
10-Nov-2020,1.07,1.1,1.11,1.07,3.5,-4.46%,5.956999999999999,N
11-Nov-2020,1.06,1.05,1.09,1.04,2.77,-0.93%,6.034,N
12-Nov-2020,1.06,1.08,1.09,1.05,1.97,0.00%,5.879,N
13-Nov-2020,1.07,1.06,1.08,1.04,2.82,0.94%,5.066999999999999,N
16-Nov-2020,1.14,1.08,1.14,1.08,9.13,6.54%,5.519,N
17-Nov-2020,1.11,1.14,1.15,1.09,4.21,-2.63%,5.316,N
18-Nov-2020,1.11,1.12,1.13,1.1,1.92,0.00%,4.772,N
19-Nov-2020,1.0,1.05,1.06,0.995,20.86,-9.91%,6.247,N
20-Nov-2020,1.01,1.0,1.02,0.99,3.82,1.00%,5.617999999999999,N
23-Nov-2020,0.97,1.02,1.02,0.97,8.54,-3.96%,5.954,N
24-Nov-2020,0.965,0.97,0.985,0.96,3.56,-0.52%,5.96,N
25-Nov-2020,0.98,0.975,0.99,0.975,1.77,1.55%,5.86,N
26-Nov-2020,0.99,0.98,1.01,0.975,2.76,1.02%,5.939,N
