Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.59,0.59,0.59,0.58,0.6271,1.72%,,N
29-Sep-2020,0.585,0.59,0.59,0.57,0.3004,-0.85%,,N
30-Sep-2020,0.62,0.585,0.62,0.58,4.33,5.98%,,N
01-Oct-2020,0.605,0.62,0.62,0.595,1.29,-2.42%,,N
02-Oct-2020,0.595,0.605,0.615,0.59,1.94,-1.65%,,N
05-Oct-2020,0.615,0.605,0.615,0.595,1.47,3.36%,,N
06-Oct-2020,0.605,0.615,0.64,0.605,3.99,-1.63%,,N
07-Oct-2020,0.625,0.61,0.625,0.61,1.05,3.31%,,N
08-Oct-2020,0.62,0.625,0.635,0.615,0.6629999999999999,-0.80%,,N
09-Oct-2020,0.615,0.615,0.62,0.61,0.2999,-0.81%,1.5960400000000001,N
12-Oct-2020,0.61,0.62,0.62,0.61,1.39,-0.81%,1.67233,N
13-Oct-2020,0.645,0.605,0.645,0.6,3.23,5.74%,1.9652900000000002,N
14-Oct-2020,0.65,0.645,0.66,0.635,3.1,0.78%,1.8422900000000006,N
15-Oct-2020,0.65,0.65,0.655,0.64,1.19,0.00%,1.8322900000000009,N
16-Oct-2020,0.64,0.65,0.65,0.64,1.25,-1.54%,1.7632900000000007,N
19-Oct-2020,0.645,0.645,0.65,0.635,1.78,0.78%,1.7942900000000008,N
20-Oct-2020,0.645,0.645,0.645,0.63,2.31,0.00%,1.626290000000001,N
21-Oct-2020,0.635,0.645,0.645,0.625,1.46,-1.55%,1.6672900000000008,N
22-Oct-2020,0.685,0.64,0.71,0.64,12.17,7.87%,2.817990000000001,N
23-Oct-2020,0.66,0.69,0.71,0.65,7.53,-3.65%,3.5410000000000004,N
26-Oct-2020,0.685,0.675,0.755,0.635,29.15,3.79%,6.317,N
27-Oct-2020,0.66,0.695,0.695,0.65,4.66,-3.65%,6.459999999999999,N
28-Oct-2020,0.64,0.665,0.68,0.64,3.06,-3.03%,6.456,N
30-Oct-2020,0.615,0.64,0.645,0.605,4.78,-3.91%,6.815,N
02-Nov-2020,0.67,0.61,0.675,0.6,6.13,8.94%,7.303,N
03-Nov-2020,0.655,0.675,0.69,0.655,2.9,-2.24%,7.415000000000001,N
04-Nov-2020,0.655,0.67,0.67,0.64,2.34,0.00%,7.418000000000001,N
05-Nov-2020,0.7,0.665,0.705,0.655,9.95,6.87%,8.267000000000001,N
06-Nov-2020,0.69,0.705,0.705,0.68,3.53,-1.43%,7.403000000000001,N
09-Nov-2020,0.72,0.7,0.72,0.685,6.45,4.35%,7.295000000000002,N
10-Nov-2020,0.685,0.72,0.72,0.685,4.23,-4.86%,4.803000000000003,N
11-Nov-2020,0.695,0.69,0.705,0.68,2.42,1.46%,4.579000000000002,N
12-Nov-2020,0.7,0.7,0.7,0.68,2.4,0.72%,4.513000000000002,N
13-Nov-2020,0.735,0.695,0.74,0.69,7.84,5.00%,4.819000000000001,N
16-Nov-2020,0.725,0.745,0.745,0.71,3.0,-1.36%,4.506000000000001,N
17-Nov-2020,0.72,0.725,0.725,0.705,2.29,-0.69%,4.445000000000001,N
18-Nov-2020,0.775,0.725,0.78,0.72,10.02,7.64%,5.213000000000001,N
19-Nov-2020,0.785,0.775,0.8,0.765,6.05,1.29%,4.823,N
20-Nov-2020,0.825,0.785,0.85,0.775,11.38,5.10%,5.6080000000000005,N
23-Nov-2020,0.795,0.83,0.835,0.785,2.89,-3.64%,5.252000000000001,N
24-Nov-2020,0.785,0.8,0.81,0.76,4.05,-1.26%,5.234,N
25-Nov-2020,0.8,0.78,0.81,0.78,1.59,1.91%,5.151000000000001,N
26-Nov-2020,0.84,0.8,0.845,0.795,3.9,5.00%,5.301,N
