Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
29-Sep-2020,0.72,0.72,0.72,0.72,0.0134,2.86%,,N
30-Sep-2020,0.69,0.68,0.69,0.68,0.0145,-4.17%,,N
01-Oct-2020,0.68,0.69,0.69,0.68,0.0545,-1.45%,,N
02-Oct-2020,0.7,0.665,0.7,0.66,0.0132,2.94%,,N
05-Oct-2020,0.695,0.7,0.7,0.675,0.0316,-0.71%,,N
06-Oct-2020,0.7,0.67,0.7,0.665,0.1335,0.72%,,N
07-Oct-2020,0.7,0.69,0.7,0.69,0.05,0.00%,,N
08-Oct-2020,0.7,0.66,0.7,0.66,0.0055,0.00%,,N
09-Oct-2020,0.7,0.7,0.7,0.695,0.0887,0.00%,,N
12-Oct-2020,0.695,0.695,0.695,0.68,0.114,-0.71%,0.051890000000000006,N
13-Oct-2020,0.67,0.675,0.675,0.67,0.157,-3.60%,0.06625,N
14-Oct-2020,0.665,0.67,0.67,0.66,0.0765,-0.75%,0.07245000000000001,N
15-Oct-2020,0.66,0.665,0.665,0.64,0.1918,-0.75%,0.08618,N
16-Oct-2020,0.66,0.64,0.66,0.63,0.242,0.00%,0.10906,N
19-Oct-2020,0.65,0.65,0.655,0.64,0.2364,-1.52%,0.12954,N
20-Oct-2020,0.65,0.65,0.655,0.635,0.2157,0.00%,0.13776,N
21-Oct-2020,0.645,0.64,0.65,0.635,0.193,-0.77%,0.15206,N
22-Oct-2020,0.645,0.645,0.65,0.63,0.1342,0.00%,0.16493,N
23-Oct-2020,0.65,0.65,0.65,0.65,0.001,0.78%,0.15616,N
26-Oct-2020,0.645,0.645,0.645,0.645,0.01,-0.77%,0.14575999999999997,N
27-Oct-2020,0.63,0.635,0.635,0.63,0.013000000000000001,-2.33%,0.13135999999999998,N
28-Oct-2020,0.63,0.63,0.64,0.595,0.0563,0.00%,0.12933999999999996,N
30-Oct-2020,0.6,0.62,0.62,0.6,0.0867,-4.76%,0.11882999999999996,N
02-Nov-2020,0.6,0.6,0.6,0.6,0.0104,0.00%,0.09566999999999996,N
05-Nov-2020,0.64,0.6,0.64,0.6,0.0301,6.67%,0.07503999999999997,N
06-Nov-2020,0.605,0.65,0.65,0.605,0.1064,-5.47%,0.06410999999999997,N
09-Nov-2020,0.63,0.605,0.63,0.605,0.006999999999999999,4.13%,0.04550999999999998,N
10-Nov-2020,0.62,0.63,0.63,0.595,0.609,-1.59%,0.09298999999999999,Y
11-Nov-2020,0.6,0.61,0.61,0.6,0.022000000000000002,-3.23%,0.09508999999999998,N
12-Nov-2020,0.605,0.6,0.61,0.59,0.129,0.83%,0.10698999999999999,N
13-Nov-2020,0.605,0.605,0.605,0.605,0.005,0.00%,0.10618999999999998,N
16-Nov-2020,0.61,0.605,0.61,0.605,0.0224,0.83%,0.10279999999999997,N
17-Nov-2020,0.595,0.605,0.605,0.595,0.0517,-2.46%,0.09929999999999999,N
18-Nov-2020,0.605,0.6,0.605,0.6,0.053,1.68%,0.10355999999999999,N
19-Nov-2020,0.61,0.605,0.61,0.605,0.0198,0.83%,0.10252999999999998,N
20-Nov-2020,0.65,0.615,0.65,0.615,0.0175,6.56%,0.09363999999999999,N
23-Nov-2020,0.645,0.655,0.655,0.64,0.136,-0.77%,0.10654000000000001,N
24-Nov-2020,0.625,0.625,0.625,0.625,0.01,-3.10%,0.046640000000000015,N
25-Nov-2020,0.625,0.62,0.63,0.62,0.0121,0.00%,0.04565000000000001,N
26-Nov-2020,0.655,0.65,0.655,0.64,0.1698,4.80%,0.04973000000000001,N
