Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
07-Oct-2020,0.595,0.61,0.61,0.57,0.107,-12.50%,,N
08-Oct-2020,0.58,0.58,0.58,0.55,0.047,-2.52%,,N
14-Oct-2020,0.56,0.51,0.56,0.51,0.002,-3.45%,,N
15-Oct-2020,0.56,0.555,0.56,0.555,0.0122,0.00%,,N
21-Oct-2020,0.57,0.57,0.57,0.57,0.01,1.79%,,N
23-Oct-2020,0.57,0.57,0.57,0.57,0.024,0.00%,,N
26-Oct-2020,0.575,0.575,0.575,0.575,0.01,0.88%,,
27-Oct-2020,0.575,0.575,0.575,0.575,0.0088,0.00%,,N
02-Nov-2020,0.575,0.575,0.575,0.575,0.0091,0.00%,,N
05-Nov-2020,0.575,0.575,0.575,0.575,0.002,0.00%,0.023209999999999998,N
18-Nov-2020,0.65,0.58,0.65,0.58,0.0501,13.04%,,
19-Nov-2020,0.62,0.595,0.62,0.595,0.0146,-4.62%,0.014280000000000003,N
20-Nov-2020,0.625,0.625,0.625,0.625,0.0017,0.81%,0.014250000000000004,N
24-Nov-2020,0.585,0.585,0.585,0.585,-,-6.40%,,
