Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.66,0.65,0.685,0.645,1.18,1.54%,,N
29-Sep-2020,0.645,0.66,0.675,0.645,0.3896,-2.27%,,N
30-Sep-2020,0.7,0.65,0.7,0.65,2.9,8.53%,,N
01-Oct-2020,0.69,0.71,0.74,0.66,2.79,-1.43%,,N
02-Oct-2020,0.67,0.69,0.69,0.665,0.7392000000000001,-2.90%,,N
05-Oct-2020,0.695,0.67,0.705,0.67,0.9783,3.73%,,N
06-Oct-2020,0.685,0.695,0.705,0.675,0.7981,-1.44%,,N
07-Oct-2020,0.69,0.685,0.69,0.68,0.32380000000000003,0.73%,,N
08-Oct-2020,0.685,0.69,0.695,0.685,0.3281,-0.72%,,N
09-Oct-2020,0.69,0.69,0.695,0.685,0.6072000000000001,0.73%,1.10343,N
12-Oct-2020,0.685,0.69,0.69,0.68,0.9628,-0.72%,1.08171,N
13-Oct-2020,0.68,0.685,0.685,0.675,0.6939,-0.73%,1.11214,N
14-Oct-2020,0.68,0.675,0.685,0.675,0.4389,0.00%,0.86603,N
15-Oct-2020,0.74,0.68,0.8,0.68,5.98,8.82%,1.18503,Y
16-Oct-2020,0.74,0.74,0.76,0.725,1.53,0.00%,1.26411,N
19-Oct-2020,0.76,0.745,0.76,0.72,2.33,2.70%,1.3992799999999999,N
20-Oct-2020,0.805,0.775,0.87,0.77,10.21,5.92%,2.34047,N
21-Oct-2020,0.765,0.815,0.84,0.745,4.33,-4.97%,2.74109,N
22-Oct-2020,0.77,0.77,0.81,0.755,2.62,0.65%,2.97028,N
23-Oct-2020,0.74,0.77,0.77,0.74,1.39,-3.90%,3.04856,N
26-Oct-2020,0.795,0.74,0.835,0.7,8.33,7.43%,3.78528,N
27-Oct-2020,0.84,0.795,0.845,0.79,8.71,5.66%,4.58689,N
28-Oct-2020,0.815,0.83,0.83,0.795,3.27,-2.98%,4.870000000000001,N
30-Oct-2020,0.82,0.83,0.86,0.805,7.54,0.61%,5.026000000000001,N
02-Nov-2020,0.815,0.825,0.825,0.77,1.68,-0.61%,5.041,N
03-Nov-2020,0.84,0.815,0.85,0.815,4.54,3.07%,5.2620000000000005,N
04-Nov-2020,0.89,0.85,0.94,0.85,16.75,5.95%,5.916,N
05-Nov-2020,1.01,0.9,1.02,0.9,19.1,13.48%,7.393000000000001,N
06-Nov-2020,0.945,1.03,1.05,0.915,13.74,-6.44%,8.504999999999999,N
09-Nov-2020,0.92,0.955,0.96,0.905,10.17,-2.65%,9.383,N
10-Nov-2020,0.75,0.855,0.855,0.735,15.1,-18.48%,10.059999999999999,N
11-Nov-2020,0.72,0.75,0.805,0.72,8.04,-4.00%,9.992999999999999,N
12-Nov-2020,0.775,0.71,0.78,0.68,9.67,7.64%,10.633,N
13-Nov-2020,0.775,0.79,0.8,0.77,7.68,0.00%,10.646999999999998,N
16-Nov-2020,0.745,0.77,0.77,0.73,4.4,-3.87%,10.918999999999999,N
17-Nov-2020,0.71,0.735,0.74,0.68,5.49,-4.70%,11.013999999999998,N
18-Nov-2020,0.735,0.725,0.745,0.705,3.51,3.52%,9.689999999999998,N
19-Nov-2020,0.75,0.735,0.755,0.725,3.31,2.04%,8.110999999999999,N
20-Nov-2020,0.795,0.76,0.815,0.745,6.2,6.00%,7.356999999999999,N
23-Nov-2020,0.8,0.81,0.835,0.795,5.81,0.63%,6.920999999999999,N
24-Nov-2020,0.775,0.8,0.81,0.755,2.14,-3.13%,5.624999999999999,N
25-Nov-2020,0.775,0.77,0.785,0.765,1.44,0.00%,4.964999999999999,N
26-Nov-2020,0.755,0.78,0.78,0.755,2.87,-2.58%,4.284999999999998,N
