Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.455,0.455,0.47,0.455,0.040999999999999995,0.00%,,N
29-Sep-2020,0.47,0.455,0.47,0.455,0.0202,3.30%,,N
30-Sep-2020,0.47,0.465,0.47,0.46,0.0327,0.00%,,N
01-Oct-2020,0.46,0.46,0.46,0.46,0.03,-2.13%,,N
02-Oct-2020,0.46,0.46,0.47,0.455,0.3489,0.00%,,N
05-Oct-2020,0.46,0.46,0.46,0.46,0.015,0.00%,,N
06-Oct-2020,0.45,0.45,0.45,0.45,0.41,-2.17%,,N
07-Oct-2020,0.455,0.455,0.455,0.45,0.078,1.11%,,N
08-Oct-2020,0.445,0.45,0.455,0.445,0.6920000000000001,-2.20%,,N
09-Oct-2020,0.455,0.445,0.455,0.445,0.1038,2.25%,0.17715999999999998,N
12-Oct-2020,0.455,0.455,0.455,0.455,0.06409999999999999,0.00%,0.17947,N
13-Oct-2020,0.46,0.455,0.46,0.455,0.0395,1.10%,0.1814,N
14-Oct-2020,0.46,0.46,0.46,0.46,0.0345,0.00%,0.18158000000000002,N
15-Oct-2020,0.445,0.46,0.46,0.445,0.2244,-3.26%,0.20102000000000003,N
16-Oct-2020,0.455,0.45,0.455,0.45,0.0114,2.25%,0.16727000000000003,N
19-Oct-2020,0.465,0.465,0.465,0.465,0.002,2.20%,0.16597000000000003,N
20-Oct-2020,0.455,0.465,0.465,0.455,0.0005,-2.15%,0.12502000000000005,N
21-Oct-2020,0.465,0.46,0.465,0.46,0.0908,2.20%,0.12630000000000002,N
22-Oct-2020,0.525,0.465,0.62,0.46,2.52,12.90%,0.30910000000000004,Y
23-Oct-2020,0.5,0.52,0.52,0.49,0.2041,-4.76%,0.31913,N
26-Oct-2020,0.495,0.5,0.5,0.485,0.2138,-1.00%,0.3341,N
27-Oct-2020,0.495,0.485,0.525,0.485,0.3862,0.00%,0.36877000000000004,N
28-Oct-2020,0.51,0.495,0.515,0.49,0.239,3.03%,0.38922,N
30-Oct-2020,0.545,0.51,0.575,0.495,3.7,6.86%,0.73678,Y
02-Nov-2020,0.57,0.545,0.59,0.53,3.67,4.59%,1.10264,N
03-Nov-2020,0.53,0.585,0.585,0.52,1.21,-7.02%,1.2234399999999999,N
04-Nov-2020,0.535,0.525,0.57,0.525,0.4071,0.94%,1.2640999999999998,N
05-Nov-2020,0.54,0.54,0.54,0.525,0.267,0.93%,1.2817199999999997,N
06-Nov-2020,0.52,0.54,0.54,0.52,0.3259,-3.70%,1.0623099999999999,N
09-Nov-2020,0.535,0.535,0.535,0.525,0.4996,2.88%,1.0918599999999998,N
10-Nov-2020,0.535,0.54,0.54,0.53,0.3003,0.00%,1.1005099999999999,N
11-Nov-2020,0.555,0.545,0.565,0.54,0.4906,3.74%,1.1109499999999999,N
12-Nov-2020,0.585,0.565,0.585,0.565,0.9828,5.41%,1.1853299999999998,N
13-Nov-2020,0.58,0.59,0.59,0.55,0.451,-0.85%,0.8604299999999998,N
16-Nov-2020,0.575,0.585,0.585,0.565,0.30160000000000003,-0.86%,0.5235899999999999,N
17-Nov-2020,0.64,0.575,0.64,0.56,2.3,11.30%,0.6325899999999999,N
18-Nov-2020,0.645,0.65,0.665,0.62,1.87,0.78%,0.7788799999999998,N
19-Nov-2020,0.63,0.645,0.645,0.61,0.5859,-2.33%,0.81077,N
20-Nov-2020,0.695,0.64,0.705,0.63,3.5,10.32%,1.12818,N
23-Nov-2020,0.675,0.715,0.745,0.675,4.1,-2.88%,1.4882199999999999,N
24-Nov-2020,0.66,0.675,0.695,0.645,1.37,-2.22%,1.5951899999999999,N
25-Nov-2020,0.67,0.645,0.685,0.645,0.56,1.52%,1.6021299999999996,N
26-Nov-2020,0.655,0.68,0.68,0.64,0.8114,-2.24%,1.5849899999999997,N
