Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.58,0.575,0.58,0.575,0.06520000000000001,0.00%,,N
29-Sep-2020,0.58,0.58,0.58,0.575,0.1358,0.00%,,N
30-Sep-2020,0.585,0.58,0.585,0.58,0.1142,0.86%,,N
01-Oct-2020,0.58,0.585,0.585,0.58,0.1271,-0.85%,,N
02-Oct-2020,0.58,0.58,0.585,0.575,0.14959999999999998,0.00%,,N
05-Oct-2020,0.575,0.575,0.575,0.57,0.1406,-0.86%,,N
06-Oct-2020,0.575,0.575,0.58,0.575,0.2147,0.00%,,N
07-Oct-2020,0.575,0.575,0.575,0.575,0.1611,0.00%,,N
08-Oct-2020,0.57,0.575,0.575,0.57,0.2692,-0.87%,,N
09-Oct-2020,0.575,0.57,0.575,0.57,0.0247,0.88%,0.14021999999999998,N
12-Oct-2020,0.58,0.575,0.58,0.575,0.0712,0.87%,0.14082,N
13-Oct-2020,0.575,0.575,0.575,0.575,0.036000000000000004,-0.86%,0.13084,N
14-Oct-2020,0.575,0.57,0.575,0.565,0.3737,0.00%,0.15678999999999998,N
15-Oct-2020,0.57,0.575,0.575,0.565,0.1394,-0.87%,0.15802,N
16-Oct-2020,0.565,0.57,0.575,0.565,0.2324,-0.88%,0.16629999999999998,N
19-Oct-2020,0.565,0.565,0.565,0.565,0.0859,0.00%,0.16082999999999997,N
20-Oct-2020,0.57,0.565,0.57,0.565,0.17300000000000001,0.88%,0.15665999999999997,N
21-Oct-2020,0.565,0.575,0.575,0.565,0.2855,-0.88%,0.16909999999999997,N
22-Oct-2020,0.57,0.565,0.57,0.565,0.0402,0.88%,0.14619999999999997,N
23-Oct-2020,0.56,0.565,0.57,0.56,0.2262,-1.75%,0.16634999999999997,N
26-Oct-2020,0.56,0.56,0.56,0.56,0.0585,0.00%,0.16507999999999998,N
27-Oct-2020,0.56,0.56,0.56,0.56,0.0602,0.00%,0.16749999999999998,N
28-Oct-2020,0.555,0.555,0.56,0.555,0.0496,-0.89%,0.13509,N
30-Oct-2020,0.535,0.555,0.555,0.535,0.8490000000000001,-3.60%,0.20604999999999998,N
02-Nov-2020,0.55,0.535,0.55,0.525,0.6489,2.80%,0.24769999999999995,N
03-Nov-2020,0.535,0.54,0.54,0.535,0.0386,-2.73%,0.24296999999999996,N
04-Nov-2020,0.51,0.54,0.54,0.49,1.13,-4.67%,0.3386699999999999,N
05-Nov-2020,0.51,0.51,0.51,0.505,0.1166,0.00%,0.32177999999999995,N
06-Nov-2020,0.51,0.51,0.51,0.505,0.0741,0.00%,0.32516999999999996,N
09-Nov-2020,0.5,0.51,0.52,0.49,1.22,-1.96%,0.42454999999999987,N
10-Nov-2020,0.52,0.505,0.52,0.505,0.33399999999999996,4.00%,0.45209999999999984,N
11-Nov-2020,0.52,0.52,0.52,0.51,0.1598,0.00%,0.4620599999999998,N
12-Nov-2020,0.53,0.515,0.545,0.515,0.2519,1.92%,0.4822899999999998,N
13-Nov-2020,0.54,0.53,0.54,0.525,0.297,1.89%,0.42708999999999975,N
16-Nov-2020,0.55,0.545,0.56,0.535,0.4914,1.85%,0.4113399999999997,N
17-Nov-2020,0.58,0.56,0.585,0.56,0.5601,5.45%,0.46348999999999974,N
18-Nov-2020,0.575,0.585,0.585,0.565,0.2043,-0.86%,0.37091999999999975,N
19-Nov-2020,0.57,0.565,0.57,0.555,0.2436,-0.87%,0.38361999999999974,N
20-Nov-2020,0.58,0.58,0.58,0.575,0.15930000000000002,1.75%,0.3921399999999997,N
23-Nov-2020,0.58,0.58,0.585,0.575,0.4238,0.00%,0.3125199999999998,N
24-Nov-2020,0.55,0.58,0.59,0.55,0.7118,-4.35%,0.3502999999999998,N
25-Nov-2020,0.56,0.57,0.57,0.55,0.2621,1.82%,0.36052999999999974,N
26-Nov-2020,0.55,0.57,0.57,0.55,0.2194,-1.79%,0.3572799999999997,N
