Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.0,1.02,1.02,1.0,0.3628,-0.99%,,N
29-Sep-2020,1.0,1.0,1.01,0.995,2.99,0.00%,,N
30-Sep-2020,1.13,1.0,1.16,1.0,17.23,13.00%,,N
01-Oct-2020,1.01,1.17,1.21,1.01,16.32,-10.62%,,N
02-Oct-2020,1.03,1.03,1.04,1.0,3.19,1.98%,,N
05-Oct-2020,1.11,1.03,1.11,1.02,7.09,7.77%,,N
06-Oct-2020,1.05,1.14,1.15,1.03,7.58,-5.41%,,N
07-Oct-2020,1.05,1.05,1.09,1.05,2.67,0.00%,,N
08-Oct-2020,1.03,1.06,1.08,1.03,2.53,-1.90%,,N
09-Oct-2020,1.04,1.04,1.06,1.02,2.18,0.97%,6.2142800000000005,N
12-Oct-2020,1.02,1.03,1.03,1.01,5.31,-1.92%,6.7090000000000005,N
13-Oct-2020,1.03,1.03,1.07,1.01,5.08,0.98%,6.918000000000001,N
14-Oct-2020,1.06,1.03,1.07,1.02,4.71,2.91%,5.6659999999999995,N
15-Oct-2020,1.05,1.05,1.07,1.03,1.95,-0.94%,4.229,N
16-Oct-2020,1.03,1.05,1.05,1.02,1.71,-1.90%,4.081,N
19-Oct-2020,1.03,1.03,1.06,1.02,7.51,0.00%,4.123,N
20-Oct-2020,1.04,1.05,1.11,1.01,63.86,0.97%,9.751000000000001,Y
21-Oct-2020,1.0,1.06,1.09,0.995,55.03,-3.85%,14.987000000000004,N
22-Oct-2020,1.0,1.0,1.02,0.995,7.14,0.00%,15.448000000000002,N
23-Oct-2020,1.0,1.0,1.01,0.99,14.12,0.00%,16.642000000000003,N
26-Oct-2020,1.0,1.0,1.02,0.99,18.34,0.00%,17.945,N
27-Oct-2020,1.0,0.995,1.01,0.985,5.79,0.00%,18.016,N
28-Oct-2020,1.0,1.0,1.0,0.985,5.51,0.00%,18.095999999999997,N
30-Oct-2020,1.0,0.99,1.0,0.985,9.41,0.00%,18.842,N
02-Nov-2020,1.0,0.995,1.0,0.985,3.69,0.00%,19.04,N
03-Nov-2020,1.0,1.0,1.0,0.99,2.06,0.00%,18.494999999999997,N
04-Nov-2020,1.0,0.995,1.0,0.995,0.8519,0.00%,12.194189999999999,N
05-Nov-2020,1.05,1.01,1.05,1.01,6.46,5.00%,7.337189999999998,N
06-Nov-2020,1.05,1.05,1.08,1.03,7.72,0.00%,7.395189999999998,N
09-Nov-2020,1.06,1.08,1.08,1.04,4.05,0.95%,6.388189999999998,N
10-Nov-2020,1.01,1.05,1.05,1.0,3.04,-4.72%,4.858189999999998,N
11-Nov-2020,1.01,1.02,1.03,1.0,1.72,0.00%,4.451189999999998,N
12-Nov-2020,1.01,1.01,1.02,1.0,1.58,0.00%,4.058189999999998,N
13-Nov-2020,1.0,1.01,1.02,1.0,1.1,-0.99%,3.2271899999999976,N
16-Nov-2020,0.995,1.01,1.01,0.995,1.44,-0.50%,3.002189999999997,N
17-Nov-2020,1.02,1.0,1.06,1.0,6.77,2.51%,3.4731899999999967,N
18-Nov-2020,1.01,1.02,1.03,1.0,0.9238,-0.98%,3.4803799999999967,N
19-Nov-2020,1.01,1.01,1.02,1.0,1.23,0.00%,2.957379999999996,N
20-Nov-2020,1.04,1.01,1.06,1.01,10.65,2.97%,3.2503799999999963,N
23-Nov-2020,1.04,1.04,1.07,1.02,5.29,0.00%,3.3743799999999964,N
24-Nov-2020,1.01,1.02,1.05,1.01,1.08,-1.94%,3.178379999999996,N
25-Nov-2020,1.01,1.02,1.05,1.0,4.56,0.00%,3.462379999999997,N
26-Nov-2020,1.02,1.01,1.04,1.0,6.62,0.99%,3.9663799999999965,N
