Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.8,0.81,0.81,0.775,0.07379999999999999,0.00%,,N
29-Sep-2020,0.85,0.81,0.85,0.79,0.1272,6.25%,,N
30-Sep-2020,0.82,0.85,0.85,0.8,0.1695,-3.53%,,N
01-Oct-2020,0.81,0.81,0.82,0.805,0.08900000000000001,-1.22%,,N
02-Oct-2020,0.8,0.82,0.82,0.79,0.1081,-1.23%,,N
05-Oct-2020,0.8,0.81,0.81,0.8,0.049,0.00%,,N
06-Oct-2020,0.795,0.805,0.81,0.795,0.0548,-0.62%,,N
07-Oct-2020,0.805,0.8,0.805,0.8,0.022000000000000002,1.26%,,N
08-Oct-2020,0.8,0.81,0.81,0.8,0.019,-0.62%,,N
09-Oct-2020,0.8,0.81,0.81,0.8,0.0171,0.00%,0.07295000000000001,N
12-Oct-2020,0.81,0.8,0.81,0.8,0.0526,1.25%,0.07083000000000002,N
13-Oct-2020,0.905,0.81,0.905,0.81,0.3374,11.73%,0.09185000000000001,N
14-Oct-2020,1.2,0.93,1.2,0.93,1.94,32.60%,0.26890000000000003,Y
15-Oct-2020,1.12,1.24,1.25,1.06,1.27,-6.67%,0.387,N
16-Oct-2020,1.12,1.12,1.16,1.1,0.2796,0.00%,0.40415,N
19-Oct-2020,1.22,1.12,1.24,1.12,0.7634,8.93%,0.47558999999999996,N
20-Oct-2020,1.21,1.23,1.34,1.16,0.6621,-0.82%,0.5363199999999999,N
21-Oct-2020,1.17,1.25,1.25,1.16,0.2064,-3.31%,0.5547599999999999,N
22-Oct-2020,1.17,1.17,1.2,1.16,0.1377,0.00%,0.5666299999999999,N
23-Oct-2020,1.12,1.17,1.18,1.12,0.151,-4.27%,0.5800199999999999,N
26-Oct-2020,1.1,1.03,1.12,1.03,0.0565,-1.79%,0.5804099999999999,N
27-Oct-2020,1.18,1.09,1.18,1.09,0.0175,7.27%,0.5484199999999999,N
28-Oct-2020,1.12,1.16,1.16,1.12,0.0458,-5.08%,0.3589999999999999,N
30-Oct-2020,1.06,1.1,1.1,1.05,0.1359,-5.36%,0.24558999999999984,N
02-Nov-2020,1.04,1.03,1.04,1.03,0.011000000000000001,-1.89%,0.21872999999999987,N
03-Nov-2020,1.15,1.05,1.16,1.05,0.1145,10.58%,0.1538399999999999,N
04-Nov-2020,1.12,1.15,1.16,1.12,0.0521,-2.61%,0.0928399999999999,N
05-Nov-2020,1.2,1.14,1.25,1.14,0.086,7.14%,0.08079999999999989,N
06-Nov-2020,1.15,1.2,1.2,1.14,0.0783,-4.17%,0.07485999999999988,N
09-Nov-2020,1.15,1.15,1.19,1.14,0.1752,0.00%,0.07727999999999988,N
10-Nov-2020,1.14,1.15,1.18,1.14,0.0823,-0.87%,0.07985999999999989,N
11-Nov-2020,1.27,1.16,1.27,1.15,0.5477000000000001,11.40%,0.1328799999999999,N
12-Nov-2020,1.35,1.3,1.39,1.29,0.8191,6.30%,0.21020999999999992,N
13-Nov-2020,1.34,1.35,1.35,1.3,0.1918,-0.74%,0.21579999999999994,N
16-Nov-2020,1.31,1.32,1.33,1.27,0.1478,-2.24%,0.22947999999999996,N
17-Nov-2020,1.22,1.29,1.29,1.22,0.138,-6.87%,0.23182999999999993,N
18-Nov-2020,1.21,1.2,1.29,1.2,0.0697,-0.82%,0.23358999999999996,N
19-Nov-2020,1.26,1.21,1.29,1.21,0.0729,4.13%,0.23228,N
20-Nov-2020,1.25,1.26,1.29,1.25,0.0295,-0.79%,0.2274,N
23-Nov-2020,1.34,1.25,1.35,1.25,0.2544,7.20%,0.23532000000000003,N
24-Nov-2020,1.28,1.36,1.36,1.28,0.1323,-4.48%,0.24032,N
25-Nov-2020,1.32,1.26,1.32,1.26,0.0675,3.13%,0.19229999999999997,N
26-Nov-2020,1.3,1.32,1.32,1.27,0.0597,-1.52%,0.11635999999999998,N
