Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.0,1.0,1.0,1.0,0.002,-3.85%,,N
01-Oct-2020,0.93,0.93,0.93,0.93,0.001,-7.00%,,N
02-Oct-2020,0.975,0.995,1.0,0.92,0.0206,4.84%,,N
05-Oct-2020,0.98,0.98,0.98,0.98,0.0075,0.51%,,N
12-Oct-2020,0.98,0.98,0.98,0.98,0.003,0.00%,,N
13-Oct-2020,0.935,0.935,0.935,0.935,0.0003,-4.59%,,N
14-Oct-2020,0.925,0.95,0.95,0.925,0.0374,-1.07%,,N
15-Oct-2020,0.93,0.93,0.93,0.93,0.015,0.54%,,N
16-Oct-2020,0.93,0.93,0.93,0.93,0.002,0.00%,,N
19-Oct-2020,0.95,0.95,1.0,0.93,0.0216,2.15%,0.011040000000000001,N
20-Oct-2020,0.95,0.95,0.95,0.95,0.008,0.00%,0.01164,N
21-Oct-2020,0.95,0.95,0.95,0.95,0.005,0.00%,0.01204,N
23-Oct-2020,0.975,0.975,0.975,0.975,0.0005,2.63%,0.010029999999999999,N
26-Oct-2020,0.92,0.92,0.92,0.92,0.0077,-5.64%,,
27-Oct-2020,0.925,0.95,0.95,0.925,0.009000000000000001,0.54%,0.01065,N
28-Oct-2020,0.93,0.93,0.93,0.93,0.0095,0.54%,0.01157,N
30-Oct-2020,0.93,0.93,0.93,0.93,0.01,0.00%,0.008830000000000001,N
05-Nov-2020,0.93,0.93,0.93,0.93,0.002,0.00%,0.0075299999999999985,N
09-Nov-2020,0.93,0.93,0.93,0.93,0.02,0.00%,0.00933,N
11-Nov-2020,0.93,0.93,0.93,0.93,0.01,0.00%,,
12-Nov-2020,0.93,0.93,0.93,0.93,0.01,0.00%,,
16-Nov-2020,0.93,0.93,0.93,0.93,0.016,0.00%,,
17-Nov-2020,0.94,0.95,0.95,0.94,0.02,1.08%,,
18-Nov-2020,0.94,0.945,0.95,0.94,0.04,0.00%,,
19-Nov-2020,0.95,0.95,0.95,0.95,0.0050999999999999995,1.06%,,
20-Nov-2020,0.945,0.935,0.95,0.935,0.061,-0.53%,,
24-Nov-2020,0.93,0.93,0.93,0.93,-,-1.59%,,
25-Nov-2020,0.93,0.93,0.93,0.93,0.01,0.00%,,
26-Nov-2020,0.93,0.93,0.93,0.93,-,0.00%,,
