Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.11,1.06,1.11,1.06,0.1066,4.72%,,N
29-Sep-2020,1.1,1.12,1.13,1.1,0.1473,-0.90%,,N
30-Sep-2020,1.14,1.16,1.18,1.13,0.6003,3.64%,,N
01-Oct-2020,1.13,1.14,1.14,1.12,0.1149,-0.88%,,N
02-Oct-2020,1.12,1.17,1.17,1.11,0.1426,-0.88%,,N
05-Oct-2020,1.14,1.13,1.14,1.12,0.16699999999999998,1.79%,,N
06-Oct-2020,1.12,1.14,1.14,1.11,0.2188,-1.75%,,N
07-Oct-2020,1.14,1.13,1.14,1.11,0.1106,1.79%,,N
08-Oct-2020,1.14,1.14,1.15,1.13,0.1342,0.00%,,N
09-Oct-2020,1.14,1.12,1.14,1.12,0.0707,0.00%,0.18130000000000002,N
12-Oct-2020,1.16,1.15,1.16,1.14,0.1762,1.75%,0.18826,N
13-Oct-2020,1.16,1.15,1.16,1.14,0.0551,0.00%,0.17904,N
14-Oct-2020,1.16,1.16,1.16,1.14,0.12819999999999998,0.00%,0.13183000000000003,N
15-Oct-2020,1.16,1.16,1.17,1.15,0.0847,0.00%,0.12881000000000004,N
16-Oct-2020,1.19,1.17,1.19,1.17,0.2158,2.59%,0.13613000000000003,N
19-Oct-2020,1.22,1.19,1.23,1.19,0.5062,2.52%,0.17005,N
20-Oct-2020,1.18,1.22,1.24,1.18,0.2394,-3.28%,0.17211000000000004,N
21-Oct-2020,1.18,1.19,1.22,1.18,0.3302,0.00%,0.19407000000000002,N
22-Oct-2020,1.19,1.2,1.2,1.17,0.1335,0.85%,0.194,N
23-Oct-2020,1.18,1.2,1.22,1.18,0.212,-0.84%,0.20813,N
26-Oct-2020,1.16,1.18,1.19,1.16,0.1347,-1.69%,0.20398,N
27-Oct-2020,1.17,1.16,1.18,1.16,0.069,0.86%,0.20537,N
28-Oct-2020,1.32,1.18,1.34,1.18,1.72,12.82%,0.36455,N
30-Oct-2020,1.25,1.32,1.32,1.2,0.6457999999999999,-5.30%,0.42066,N
02-Nov-2020,1.25,1.26,1.26,1.2,0.1736,0.00%,0.41644000000000003,N
03-Nov-2020,1.3,1.26,1.36,1.25,0.9317,4.00%,0.4589900000000001,N
04-Nov-2020,1.45,1.32,1.52,1.3,2.2,11.54%,0.6550500000000001,N
05-Nov-2020,1.42,1.43,1.45,1.41,0.5395,-2.07%,0.6759800000000002,N
06-Nov-2020,1.37,1.42,1.42,1.36,0.4101,-3.52%,0.7036400000000003,N
09-Nov-2020,1.47,1.39,1.47,1.37,0.7167,7.30%,0.7541100000000003,N
10-Nov-2020,1.41,1.47,1.47,1.4,0.4213,-4.08%,0.7827700000000003,N
11-Nov-2020,1.42,1.41,1.45,1.4,0.5272,0.71%,0.8285900000000002,N
12-Nov-2020,1.41,1.44,1.45,1.4,0.35810000000000003,-0.70%,0.6924000000000002,N
13-Nov-2020,1.41,1.42,1.45,1.39,0.4525,0.00%,0.6730700000000003,N
16-Nov-2020,1.43,1.41,1.45,1.37,1.02,1.42%,0.7577100000000001,N
17-Nov-2020,1.46,1.44,1.48,1.43,0.8057000000000001,2.10%,0.7451100000000002,N
18-Nov-2020,1.52,1.47,1.53,1.47,1.17,4.11%,0.6421100000000002,N
19-Nov-2020,1.45,1.52,1.52,1.45,1.14,-4.61%,0.7021600000000001,N
20-Nov-2020,1.47,1.45,1.48,1.44,0.5649,1.38%,0.7176400000000001,N
23-Nov-2020,1.47,1.47,1.48,1.46,0.4051,0.00%,0.6864800000000001,N
24-Nov-2020,1.45,1.47,1.49,1.44,0.4036,-1.36%,0.6847100000000002,N
25-Nov-2020,1.46,1.46,1.47,1.44,0.132,0.69%,0.6451900000000002,N
26-Nov-2020,1.48,1.47,1.48,1.47,0.0601,1.37%,0.6153900000000001,N
