Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.51,0.5,0.51,0.5,0.2284,2.00%,,N
29-Sep-2020,0.51,0.51,0.515,0.5,0.6516000000000001,0.00%,,N
30-Sep-2020,0.51,0.51,0.51,0.505,0.6005,0.00%,,N
01-Oct-2020,0.515,0.495,0.52,0.495,0.4184,0.98%,,N
02-Oct-2020,0.505,0.515,0.52,0.505,0.7545,-1.94%,,N
05-Oct-2020,0.51,0.495,0.51,0.495,0.6733,0.99%,,N
06-Oct-2020,0.505,0.505,0.51,0.505,0.7696000000000001,-0.98%,,N
07-Oct-2020,0.505,0.505,0.51,0.505,0.61,0.00%,,N
08-Oct-2020,0.51,0.505,0.51,0.505,0.5907,0.99%,,N
09-Oct-2020,0.52,0.51,0.52,0.5,0.672,1.96%,0.5969000000000001,N
12-Oct-2020,0.515,0.525,0.535,0.515,1.64,-0.96%,0.7380600000000002,N
13-Oct-2020,0.51,0.51,0.52,0.505,0.7817999999999999,-0.97%,0.7510800000000002,N
14-Oct-2020,0.505,0.51,0.51,0.505,0.795,-0.98%,0.7705300000000002,N
15-Oct-2020,0.51,0.505,0.51,0.5,0.7871,0.99%,0.8074000000000001,N
16-Oct-2020,0.515,0.51,0.52,0.51,0.6865,0.98%,0.8006000000000002,N
19-Oct-2020,0.505,0.51,0.52,0.505,0.6882999999999999,-1.94%,0.8021000000000003,N
20-Oct-2020,0.51,0.505,0.52,0.505,0.6568999999999999,0.99%,0.7908300000000003,N
21-Oct-2020,0.515,0.505,0.52,0.505,0.5748,0.98%,0.7873100000000002,N
22-Oct-2020,0.505,0.515,0.52,0.505,0.6485,-1.94%,0.7930900000000001,N
23-Oct-2020,0.51,0.505,0.52,0.505,0.8801,0.99%,0.8139000000000001,N
26-Oct-2020,0.515,0.51,0.52,0.51,0.5252,0.98%,0.7024200000000002,N
27-Oct-2020,0.53,0.51,0.53,0.51,2.13,2.91%,0.8372400000000001,N
28-Oct-2020,0.53,0.53,0.535,0.52,1.55,0.00%,0.9127400000000001,N
30-Oct-2020,0.505,0.535,0.535,0.505,1.36,-4.72%,0.9700300000000001,N
02-Nov-2020,0.51,0.505,0.51,0.5,0.5539,0.99%,0.95677,N
03-Nov-2020,0.52,0.505,0.525,0.505,0.4135,1.96%,0.9292900000000002,N
04-Nov-2020,0.52,0.52,0.53,0.52,0.6995,0.00%,0.9335500000000001,N
05-Nov-2020,0.54,0.525,0.545,0.525,1.22,3.85%,0.9980700000000002,N
06-Nov-2020,0.535,0.545,0.55,0.535,0.9505,-0.93%,1.0282700000000002,N
09-Nov-2020,0.55,0.53,0.55,0.53,0.8641,2.80%,1.0266700000000002,N
10-Nov-2020,0.56,0.545,0.56,0.535,2.26,1.82%,1.2001500000000003,N
11-Nov-2020,0.595,0.57,0.605,0.57,3.53,6.25%,1.3401500000000002,N
12-Nov-2020,0.595,0.6,0.605,0.59,2.12,0.00%,1.3971500000000003,N
13-Nov-2020,0.59,0.59,0.595,0.585,0.8025,-0.84%,1.3414000000000004,N
16-Nov-2020,0.58,0.59,0.595,0.575,0.6157,-1.69%,1.3475800000000002,N
17-Nov-2020,0.56,0.57,0.585,0.56,0.8326,-3.45%,1.3894900000000003,N
18-Nov-2020,0.575,0.58,0.58,0.565,0.4034,2.68%,1.3598800000000002,N
19-Nov-2020,0.575,0.58,0.585,0.565,1.08,0.00%,1.3458800000000002,N
20-Nov-2020,0.575,0.575,0.585,0.565,2.06,0.00%,1.4568300000000003,N
23-Nov-2020,0.565,0.58,0.58,0.565,0.6617000000000001,-1.74%,1.4365900000000003,N
24-Nov-2020,0.57,0.565,0.57,0.555,1.54,0.88%,1.3645900000000002,N
25-Nov-2020,0.57,0.56,0.575,0.56,0.797,0.00%,1.0912900000000003,N
26-Nov-2020,0.575,0.57,0.58,0.565,0.8683,0.88%,0.9661200000000004,N
