Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
"Nov 26, 2020",0.54,0.53,0.54,0.515,0.4342,1.89%,,N
"Nov 25, 2020",0.53,0.51,0.54,0.51,0.2605,3.92%,,N
"Nov 24, 2020",0.51,0.545,0.565,0.51,0.3876,-7.27%,,N
"Nov 23, 2020",0.55,0.56,0.585,0.55,2.5,0.00%,,N
"Nov 20, 2020",0.55,0.515,0.55,0.51,0.9529,4.76%,,N
"Nov 19, 2020",0.525,0.54,0.54,0.525,0.395,-4.55%,,N
"Nov 18, 2020",0.55,0.59,0.59,0.545,2.86,-3.51%,,N
"Nov 17, 2020",0.57,0.495,0.575,0.47,2.86,15.15%,,N
"Nov 16, 2020",0.495,0.495,0.495,0.465,0.1342,2.06%,,N
"Nov 13, 2020",0.485,0.475,0.49,0.475,0.1103,1.04%,1.08947,N
"Nov 12, 2020",0.48,0.48,0.5,0.48,0.4919,3.23%,1.0952399999999998,N
"Nov 11, 2020",0.465,0.465,0.47,0.465,0.041100000000000005,-1.06%,1.0732999999999997,N
"Nov 10, 2020",0.47,0.49,0.49,0.47,0.6274,2.17%,1.0972799999999996,N
"Nov 09, 2020",0.46,0.45,0.46,0.45,0.0101,-6.12%,0.8482899999999995,N
"Nov 06, 2020",0.49,0.45,0.49,0.45,0.0101,11.36%,0.7540099999999995,N
"Nov 03, 2020",0.44,0.44,0.44,0.44,0.033,0.00%,0.7178099999999995,N
"Nov 02, 2020",0.44,0.44,0.44,0.44,0.0429,-2.22%,0.43609999999999954,N
"Oct 30, 2020",0.45,0.46,0.46,0.45,0.054000000000000006,-1.10%,0.15549999999999958,N
"Oct 28, 2020",0.455,0.46,0.46,0.455,0.0504,-1.09%,0.14711999999999956,N
"Oct 27, 2020",0.46,0.45,0.46,0.45,0.0161,3.37%,0.13769999999999954,N
"Oct 26, 2020",0.445,0.45,0.45,0.445,0.025,-5.32%,0.09100999999999955,N
