Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.675,0.675,0.675,0.675,0.01,0.75%,,N
29-Sep-2020,0.675,0.675,0.675,0.675,0.005,0.00%,,N
30-Sep-2020,0.68,0.685,0.685,0.68,0.0046,0.74%,,N
05-Oct-2020,0.66,0.66,0.66,0.66,0.052000000000000005,-2.94%,,N
06-Oct-2020,0.68,0.67,0.68,0.67,0.006999999999999999,3.03%,,N
07-Oct-2020,0.66,0.66,0.66,0.66,0.003,-2.94%,,N
08-Oct-2020,0.66,0.66,0.67,0.66,0.1151,0.00%,,N
14-Oct-2020,0.66,0.66,0.66,0.66,0.005,0.00%,,N
15-Oct-2020,0.65,0.65,0.65,0.65,0.05,-1.52%,,N
16-Oct-2020,0.67,0.67,0.67,0.67,0.01,3.08%,0.02617,N
19-Oct-2020,0.68,0.68,0.68,0.68,0.0102,1.49%,0.026189999999999998,N
20-Oct-2020,0.67,0.67,0.67,0.67,0.098,-1.47%,0.03549,N
21-Oct-2020,0.665,0.64,0.665,0.635,0.0031,-0.75%,0.035339999999999996,N
22-Oct-2020,0.66,0.66,0.66,0.66,0.0051,-0.75%,0.03065,N
23-Oct-2020,0.635,0.66,0.66,0.625,0.0536,-3.79%,0.035309999999999994,N
26-Oct-2020,0.625,0.65,0.65,0.625,0.0285,-1.57%,0.03786,N
28-Oct-2020,0.615,0.62,0.62,0.61,0.063,-1.60%,0.03265,N
30-Oct-2020,0.61,0.615,0.615,0.61,0.0475,-0.81%,0.0369,N
02-Nov-2020,0.595,0.6,0.605,0.595,0.0881,-2.46%,0.04071,N
03-Nov-2020,0.585,0.6,0.645,0.585,0.11,-1.68%,0.05071,N
04-Nov-2020,0.615,0.625,0.65,0.615,0.0518,5.13%,0.054869999999999995,N
05-Nov-2020,0.67,0.66,0.705,0.635,0.3506,8.94%,0.08013,N
06-Nov-2020,0.68,0.68,0.7,0.675,0.1151,1.49%,0.09133,N
09-Nov-2020,0.675,0.67,0.685,0.67,0.07759999999999999,-0.74%,0.09858,N
10-Nov-2020,0.685,0.68,0.685,0.675,0.0509,1.48%,0.09831,N
11-Nov-2020,0.68,0.7,0.7,0.675,0.042,-0.73%,0.09966,N
12-Nov-2020,0.695,0.695,0.695,0.69,0.07429999999999999,2.21%,0.10079,N
13-Nov-2020,0.7,0.69,0.7,0.685,0.1113,0.72%,0.10716999999999999,N
16-Nov-2020,0.695,0.695,0.7,0.695,0.0432,-0.71%,0.10267999999999997,N
17-Nov-2020,0.68,0.68,0.685,0.675,0.3846,-2.16%,0.13013999999999998,N
18-Nov-2020,0.68,0.675,0.68,0.67,0.04,0.00%,0.12895999999999996,N
19-Nov-2020,0.665,0.66,0.665,0.66,0.015,-2.21%,0.09539999999999996,N
20-Nov-2020,0.67,0.67,0.67,0.67,0.07,0.75%,0.09088999999999996,N
23-Nov-2020,0.675,0.67,0.675,0.67,0.031,0.75%,0.08622999999999996,N
24-Nov-2020,0.665,0.665,0.665,0.665,0.05,-1.48%,0.08613999999999997,N
25-Nov-2020,0.685,0.675,0.695,0.675,0.445,3.01%,0.12643999999999997,N
26-Nov-2020,0.685,0.695,0.7,0.68,0.1176,0.00%,0.13076999999999997,N
