Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.64,0.63,0.645,0.63,0.2631,1.59%,,N
29-Sep-2020,0.645,0.645,0.67,0.635,0.5103,0.78%,,N
30-Sep-2020,0.635,0.64,0.655,0.635,0.2331,-1.55%,,N
01-Oct-2020,0.63,0.635,0.64,0.63,0.1628,-0.79%,,N
02-Oct-2020,0.63,0.63,0.64,0.615,0.2905,0.00%,,N
05-Oct-2020,0.64,0.645,0.645,0.635,0.133,1.59%,,N
06-Oct-2020,0.64,0.645,0.665,0.64,0.2356,0.00%,,N
07-Oct-2020,0.64,0.635,0.645,0.63,0.1163,0.00%,,N
08-Oct-2020,0.64,0.645,0.655,0.64,0.0497,0.00%,,N
09-Oct-2020,0.645,0.64,0.645,0.64,0.0263,0.78%,0.20207000000000003,N
12-Oct-2020,0.645,0.655,0.655,0.645,0.1119,0.00%,0.18695,N
13-Oct-2020,0.655,0.65,0.655,0.65,0.1106,1.55%,0.14698,N
14-Oct-2020,0.65,0.65,0.65,0.645,0.16219999999999998,-0.76%,0.13989,N
15-Oct-2020,0.65,0.65,0.65,0.645,0.1046,0.00%,0.13406999999999997,N
16-Oct-2020,0.695,0.645,0.7,0.645,1.14,6.92%,0.21902,Y
19-Oct-2020,0.72,0.69,0.735,0.685,1.12,3.60%,0.31772,N
20-Oct-2020,0.695,0.715,0.72,0.68,0.3961,-3.47%,0.33377,N
21-Oct-2020,0.68,0.695,0.705,0.68,0.5046,-2.16%,0.37260000000000004,N
22-Oct-2020,0.7,0.675,0.7,0.675,0.4935,2.94%,0.41698,N
23-Oct-2020,0.715,0.71,0.75,0.7,4.43,2.14%,0.85735,Y
26-Oct-2020,0.71,0.72,0.735,0.7,0.897,-0.70%,0.9358599999999999,N
27-Oct-2020,0.71,0.705,0.715,0.705,0.2394,0.00%,0.9487399999999999,N
28-Oct-2020,0.7,0.7,0.71,0.7,0.3503,-1.41%,0.9675499999999999,N
30-Oct-2020,0.67,0.69,0.69,0.67,0.424,-4.29%,0.99949,N
02-Nov-2020,0.67,0.67,0.67,0.65,0.5046,0.00%,0.9359499999999998,N
03-Nov-2020,0.695,0.67,0.695,0.67,0.08800000000000001,3.73%,0.8327499999999997,N
04-Nov-2020,0.68,0.685,0.695,0.68,0.172,-2.16%,0.8103399999999997,N
05-Nov-2020,0.695,0.695,0.705,0.685,0.6721,2.21%,0.8270899999999998,N
06-Nov-2020,0.695,0.7,0.705,0.695,0.30460000000000004,0.00%,0.8081999999999999,N
09-Nov-2020,0.72,0.7,0.725,0.7,0.3546,3.60%,0.4006599999999999,N
10-Nov-2020,0.71,0.72,0.725,0.71,0.5719,-1.39%,0.36814999999999987,N
11-Nov-2020,0.71,0.71,0.715,0.705,0.2565,0.00%,0.3698599999999999,N
12-Nov-2020,0.725,0.705,0.725,0.705,0.4794,2.11%,0.38276999999999994,N
13-Nov-2020,0.73,0.725,0.735,0.715,0.3754,0.69%,0.3779099999999999,N
16-Nov-2020,0.73,0.73,0.74,0.725,0.6994,0.00%,0.39738999999999997,N
17-Nov-2020,0.73,0.735,0.735,0.72,0.3607,0.00%,0.42466,N
18-Nov-2020,0.725,0.725,0.725,0.715,0.2459,-0.68%,0.43205,N
19-Nov-2020,0.725,0.72,0.725,0.72,0.1777,0.00%,0.38261,N
20-Nov-2020,0.72,0.72,0.73,0.72,0.2045,-0.69%,0.37259999999999993,N
23-Nov-2020,0.705,0.715,0.72,0.7,0.2901,-2.08%,0.36615,N
24-Nov-2020,0.69,0.705,0.705,0.69,0.1709,-2.13%,0.32605,N
25-Nov-2020,0.7,0.69,0.7,0.685,0.2514,1.45%,0.32554,N
26-Nov-2020,0.67,0.66,0.685,0.66,0.5541,-4.29%,0.33301,N
