Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.03,1.03,1.05,1.02,0.5164,0.00%,,N
29-Sep-2020,1.02,1.03,1.03,0.995,2.1,-0.97%,,N
30-Sep-2020,0.98,1.01,1.01,0.98,1.96,-3.92%,,N
01-Oct-2020,0.95,0.965,0.97,0.945,0.7373999999999999,-3.06%,,N
02-Oct-2020,0.935,0.935,0.96,0.915,0.2814,-1.58%,,N
05-Oct-2020,0.915,0.915,0.93,0.91,0.30060000000000003,-2.14%,,N
06-Oct-2020,0.915,0.92,0.945,0.915,0.3683,0.00%,,N
07-Oct-2020,0.91,0.915,0.92,0.905,0.3052,-0.55%,,N
08-Oct-2020,0.915,0.905,0.93,0.905,0.2562,0.55%,,N
09-Oct-2020,0.91,0.91,0.91,0.905,0.2355,-0.55%,0.7061,N
12-Oct-2020,0.91,0.91,0.925,0.895,0.3378,0.00%,0.6882399999999999,N
13-Oct-2020,0.91,0.91,0.91,0.895,0.2308,0.00%,0.50132,N
14-Oct-2020,0.895,0.91,0.91,0.885,0.3582,-1.65%,0.34113999999999994,N
15-Oct-2020,0.87,0.89,0.895,0.865,0.8486,-2.79%,0.35225999999999996,N
16-Oct-2020,0.865,0.87,0.88,0.86,0.593,-0.57%,0.38342,N
19-Oct-2020,0.88,0.865,0.88,0.86,0.8109999999999999,1.73%,0.4344599999999999,N
20-Oct-2020,0.91,0.89,0.925,0.89,0.7676000000000001,3.41%,0.4743899999999999,N
21-Oct-2020,0.92,0.93,0.93,0.915,0.5426,1.10%,0.4981299999999999,N
22-Oct-2020,0.915,0.91,0.93,0.91,0.5082,-0.54%,0.52333,N
23-Oct-2020,0.89,0.91,0.925,0.89,0.3376,-2.73%,0.53354,N
26-Oct-2020,0.895,0.9,0.905,0.875,0.3603,0.56%,0.53579,N
27-Oct-2020,0.88,0.895,0.895,0.875,0.2646,-1.68%,0.5391699999999999,N
28-Oct-2020,0.875,0.87,0.88,0.87,0.1605,-0.57%,0.5193999999999999,N
30-Oct-2020,0.86,0.87,0.88,0.855,0.1418,-1.71%,0.4487199999999999,N
02-Nov-2020,0.83,0.855,0.855,0.82,0.8932,-3.49%,0.4787399999999999,N
03-Nov-2020,0.86,0.835,0.86,0.835,0.2556,3.61%,0.4231999999999999,N
04-Nov-2020,0.855,0.86,0.865,0.85,0.1423,-0.58%,0.36066999999999994,N
05-Nov-2020,0.875,0.865,0.88,0.855,0.3215,2.34%,0.3385599999999999,N
06-Nov-2020,0.89,0.885,0.89,0.865,0.2078,1.71%,0.30851999999999996,N
09-Nov-2020,0.885,0.9,0.9,0.885,0.13,-0.56%,0.2877599999999999,N
10-Nov-2020,0.895,0.89,0.9,0.875,1.16,1.13%,0.36772999999999995,N
11-Nov-2020,0.9,0.9,0.92,0.885,0.3044,0.56%,0.3717099999999999,N
12-Nov-2020,0.91,0.905,0.925,0.9,0.3158,1.11%,0.3872399999999999,N
13-Nov-2020,0.915,0.915,0.92,0.91,0.0864,0.55%,0.3816999999999999,N
16-Nov-2020,0.965,0.915,0.975,0.915,1.3,5.46%,0.42237999999999987,N
17-Nov-2020,0.955,0.975,0.975,0.935,0.7632000000000001,-1.04%,0.4731399999999999,N
18-Nov-2020,0.935,0.955,0.955,0.92,0.2702,-2.09%,0.4859299999999999,N
19-Nov-2020,0.95,0.945,0.95,0.91,0.6205,1.60%,0.5158299999999999,N
20-Nov-2020,0.94,0.925,0.95,0.925,0.2597,-1.05%,0.5210199999999998,N
23-Nov-2020,0.94,0.95,0.95,0.94,0.2294,0.00%,0.5309599999999999,N
24-Nov-2020,0.935,0.94,0.94,0.935,0.125,-0.53%,0.42745999999999984,N
25-Nov-2020,0.935,0.94,0.94,0.93,0.3912,0.00%,0.43613999999999986,N
26-Nov-2020,0.94,0.935,0.94,0.93,0.1836,0.53%,0.42291999999999985,N
