Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
16-Oct-2020,0.495,0.485,0.5,0.485,1.07,5.32%,,N
19-Oct-2020,0.5,0.49,0.5,0.49,0.473,1.01%,,N
20-Oct-2020,0.555,0.5,0.56,0.495,3.31,11.00%,,N
21-Oct-2020,0.555,0.585,0.585,0.54,10.2,0.00%,,N
22-Oct-2020,0.525,0.555,0.555,0.515,1.13,-5.41%,,N
23-Oct-2020,0.485,0.525,0.53,0.475,1.78,-7.62%,,N
26-Oct-2020,0.475,0.495,0.495,0.465,1.24,-2.06%,,N
27-Oct-2020,0.48,0.48,0.495,0.48,0.3324,1.05%,,N
28-Oct-2020,0.495,0.48,0.5,0.475,0.6949,3.13%,,N
30-Oct-2020,0.48,0.485,0.495,0.48,0.3671,-3.03%,2.05974,N
02-Nov-2020,0.48,0.47,0.48,0.47,0.2625,0.00%,1.97899,N
03-Nov-2020,0.49,0.475,0.495,0.475,0.319,2.08%,1.96359,N
04-Nov-2020,0.485,0.49,0.495,0.485,0.1346,-1.02%,1.64605,N
05-Nov-2020,0.515,0.49,0.53,0.49,1.14,6.19%,0.7400500000000001,N
06-Nov-2020,0.51,0.515,0.525,0.51,0.4709,-0.97%,0.6741400000000002,N
09-Nov-2020,0.51,0.51,0.51,0.5,0.2444,0.00%,0.52058,N
10-Nov-2020,0.535,0.51,0.555,0.51,3.38,4.90%,0.73458,N
11-Nov-2020,0.535,0.535,0.54,0.525,0.5948,0.00%,0.76082,N
12-Nov-2020,0.535,0.54,0.545,0.525,1.24,0.00%,0.81533,N
13-Nov-2020,0.53,0.535,0.535,0.52,0.5612999999999999,-0.93%,0.8347499999999999,N
16-Nov-2020,0.54,0.53,0.54,0.525,0.9482,1.89%,0.9033199999999999,N
17-Nov-2020,0.535,0.535,0.54,0.525,2.43,-0.93%,1.1144199999999997,N
18-Nov-2020,0.53,0.535,0.535,0.525,0.6025,-0.93%,1.1612099999999996,N
19-Nov-2020,0.525,0.53,0.535,0.52,1.14,-0.94%,1.1612099999999996,N
20-Nov-2020,0.53,0.525,0.535,0.525,0.551,0.95%,1.1692199999999997,N
23-Nov-2020,0.525,0.535,0.54,0.525,1.28,-0.94%,1.2727799999999996,N
24-Nov-2020,0.515,0.53,0.53,0.515,1.33,-1.90%,1.0677799999999995,N
25-Nov-2020,0.525,0.525,0.525,0.52,0.4051,1.94%,1.0488099999999996,N
26-Nov-2020,0.53,0.52,0.53,0.515,0.5832,0.95%,0.9831299999999995,N
