Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
16-Oct-2020,0.45,0.445,0.46,0.43,18.65,1.12%,,N
19-Oct-2020,0.46,0.45,0.47,0.445,18.24,2.22%,,N
20-Oct-2020,0.45,0.455,0.465,0.45,17.48,-2.17%,,N
21-Oct-2020,0.49,0.45,0.52,0.445,28.06,8.89%,,N
22-Oct-2020,0.47,0.49,0.5,0.465,12.17,-4.08%,,N
23-Oct-2020,0.465,0.47,0.505,0.46,18.26,-1.06%,,N
26-Oct-2020,0.47,0.465,0.475,0.45,19.46,1.08%,,N
27-Oct-2020,0.48,0.47,0.49,0.46,13.75,2.13%,,N
28-Oct-2020,0.46,0.48,0.49,0.45,20.4,-4.17%,,N
30-Oct-2020,0.44,0.455,0.48,0.43,22.54,-4.35%,18.901000000000003,N
02-Nov-2020,0.435,0.45,0.45,0.435,2.2,-1.14%,17.256,N
03-Nov-2020,0.465,0.43,0.485,0.43,20.71,6.90%,17.503,N
04-Nov-2020,0.54,0.46,0.555,0.455,29.35,16.13%,18.69,N
05-Nov-2020,0.565,0.54,0.57,0.525,36.69,4.63%,19.553,N
06-Nov-2020,0.555,0.565,0.58,0.535,17.81,-1.77%,20.117,N
09-Nov-2020,0.625,0.55,0.635,0.55,37.98,12.61%,22.089000000000002,N
10-Nov-2020,0.6,0.625,0.665,0.585,27.51,-4.00%,22.894,N
11-Nov-2020,0.525,0.595,0.615,0.495,28.23,-12.50%,24.342000000000002,N
12-Nov-2020,0.55,0.53,0.56,0.505,11.99,4.76%,23.501,N
13-Nov-2020,0.545,0.55,0.575,0.53,14.61,-0.91%,22.708000000000002,N
16-Nov-2020,0.6,0.55,0.605,0.545,18.29,10.09%,24.317,N
17-Nov-2020,0.535,0.6,0.6,0.525,11.67,-10.83%,23.413,N
18-Nov-2020,0.455,0.53,0.545,0.455,24.83,-14.95%,22.961,N
19-Nov-2020,0.46,0.45,0.495,0.435,17.42,1.10%,21.034,N
20-Nov-2020,0.53,0.46,0.545,0.455,28.61,15.22%,22.113999999999997,N
23-Nov-2020,0.535,0.53,0.56,0.515,12.25,0.94%,19.541,N
24-Nov-2020,0.5,0.535,0.54,0.5,5.13,-6.54%,17.303,N
25-Nov-2020,0.505,0.495,0.52,0.495,4.51,1.00%,14.931000000000001,N
26-Nov-2020,0.5,0.505,0.52,0.47,21.19,-0.99%,15.850999999999999,N
