Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
02-Oct-2020,2.11,2.13,2.15,2.11,0.3344,0.00%,,N
05-Oct-2020,2.16,2.11,2.16,2.11,0.285,2.37%,,N
06-Oct-2020,2.11,2.13,2.13,2.11,0.4115,-2.31%,,N
07-Oct-2020,2.11,2.11,2.13,2.1,0.2821,0.00%,,N
08-Oct-2020,2.09,2.12,2.13,2.09,0.5627000000000001,-0.95%,,N
09-Oct-2020,2.12,2.09,2.12,2.09,0.3625,1.44%,,N
12-Oct-2020,2.1,2.12,2.16,2.08,0.937,-0.94%,,N
13-Oct-2020,2.07,2.1,2.1,2.05,1.17,-1.43%,,N
14-Oct-2020,2.04,2.07,2.07,2.03,1.68,-1.45%,,N
15-Oct-2020,2.02,2.05,2.05,2.01,1.02,-0.98%,0.7045199999999999,N
16-Oct-2020,2.02,2.03,2.08,2.0,1.05,0.00%,0.7760800000000001,N
19-Oct-2020,2.02,2.02,2.02,2.0,0.9003,0.00%,0.8376100000000001,N
20-Oct-2020,2.02,2.02,2.03,2.0,0.5836,0.00%,0.8548200000000001,N
21-Oct-2020,2.01,2.0,2.02,2.0,0.2228,-0.50%,0.8488900000000001,N
22-Oct-2020,2.01,2.0,2.05,2.0,0.2696,0.00%,0.8195800000000002,N
23-Oct-2020,2.01,2.01,2.03,2.0,0.7056,0.00%,0.8538900000000001,N
26-Oct-2020,2.01,2.01,2.02,2.0,0.3217,0.00%,0.7923600000000002,N
27-Oct-2020,2.01,2.01,2.04,2.0,0.2021,0.00%,0.6955700000000002,N
28-Oct-2020,2.01,2.01,2.02,2.0,0.1358,0.00%,0.5411500000000002,N
30-Oct-2020,2.0,2.0,2.01,2.0,0.2886,-0.50%,0.46801000000000015,N
02-Nov-2020,1.95,2.0,2.01,1.95,1.2,-2.50%,0.48301000000000016,N
03-Nov-2020,1.98,1.96,1.99,1.96,0.2752,1.54%,0.4205000000000002,N
04-Nov-2020,2.0,2.0,2.01,1.99,0.2834,1.01%,0.3904800000000002,N
05-Nov-2020,2.03,2.0,2.03,2.0,0.599,1.50%,0.42810000000000015,N
06-Nov-2020,2.03,2.02,2.04,2.01,0.1846,0.00%,0.41960000000000014,N
09-Nov-2020,2.03,2.05,2.08,2.01,0.5720000000000001,0.00%,0.4062400000000002,N
10-Nov-2020,2.11,2.05,2.12,2.05,1.24,3.94%,0.49807000000000023,N
11-Nov-2020,2.12,2.11,2.13,2.08,0.3438,0.47%,0.5122400000000003,N
12-Nov-2020,2.13,2.11,2.14,2.11,0.807,0.47%,0.5793600000000003,N
13-Nov-2020,2.13,2.13,2.14,2.1,0.4614,0.00%,0.5966400000000004,N
