Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.7,1.65,1.74,1.65,0.3247,4.29%,,N
29-Sep-2020,1.7,1.71,1.72,1.65,0.165,0.00%,,N
30-Sep-2020,1.68,1.72,1.72,1.68,0.054200000000000005,-1.18%,,N
01-Oct-2020,1.68,1.67,1.69,1.66,0.0679,0.00%,,N
02-Oct-2020,1.67,1.68,1.68,1.66,0.1935,-0.60%,,N
05-Oct-2020,1.67,1.67,1.68,1.65,0.0742,0.00%,,N
06-Oct-2020,1.67,1.66,1.74,1.65,0.3282,0.00%,,N
07-Oct-2020,1.72,1.67,1.73,1.67,0.171,2.99%,,N
08-Oct-2020,1.76,1.74,1.82,1.74,1.16,2.33%,,N
09-Oct-2020,1.76,1.76,1.77,1.74,0.09,0.00%,0.26287,N
12-Oct-2020,1.77,1.76,1.8,1.75,0.2131,0.57%,0.25171,N
13-Oct-2020,1.73,1.76,1.76,1.72,0.2508,-2.26%,0.26028999999999997,N
14-Oct-2020,1.72,1.72,1.74,1.72,0.1802,-0.58%,0.27288999999999997,N
15-Oct-2020,1.71,1.74,1.76,1.71,0.2784,-0.58%,0.29394,N
16-Oct-2020,1.77,1.73,1.78,1.73,0.5947,3.51%,0.33406,N
19-Oct-2020,1.85,1.79,1.87,1.79,1.76,4.52%,0.50264,N
20-Oct-2020,1.78,1.85,1.86,1.78,0.7527999999999999,-3.78%,0.5450999999999999,N
21-Oct-2020,1.76,1.78,1.79,1.74,0.44799999999999995,-1.12%,0.5727999999999999,N
22-Oct-2020,1.75,1.75,1.76,1.74,0.2472,-0.57%,0.4815199999999999,N
23-Oct-2020,1.69,1.75,1.77,1.67,0.4273,-3.43%,0.5152499999999999,N
26-Oct-2020,1.68,1.7,1.7,1.65,0.35200000000000004,-0.59%,0.5291399999999999,N
27-Oct-2020,1.68,1.66,1.68,1.66,0.0268,0.00%,0.50674,N
28-Oct-2020,1.65,1.68,1.69,1.65,0.1962,-1.79%,0.5083399999999999,N
30-Oct-2020,1.62,1.65,1.65,1.61,0.4457,-1.82%,0.52507,N
02-Nov-2020,1.58,1.62,1.62,1.57,0.2164,-2.47%,0.48724000000000006,N
03-Nov-2020,1.64,1.6,1.64,1.59,0.2288,3.80%,0.3341200000000001,N
04-Nov-2020,1.68,1.64,1.71,1.64,0.1502,2.44%,0.2738600000000001,N
05-Nov-2020,1.72,1.68,1.73,1.68,0.1104,2.38%,0.24010000000000006,N
06-Nov-2020,1.73,1.73,1.73,1.71,0.2142,0.58%,0.23680000000000007,N
09-Nov-2020,1.75,1.75,1.76,1.73,0.2895,1.16%,0.22302000000000008,N
10-Nov-2020,1.73,1.76,1.77,1.7,0.21,-1.14%,0.2088200000000001,N
11-Nov-2020,1.74,1.74,1.76,1.73,0.1255,0.58%,0.2186900000000001,N
12-Nov-2020,1.81,1.74,1.82,1.73,0.5601,4.02%,0.2550800000000001,N
13-Nov-2020,1.76,1.79,1.79,1.75,0.2732,-2.76%,0.23783000000000007,N
16-Nov-2020,1.82,1.8,1.89,1.77,1.05,3.41%,0.3211900000000001,N
17-Nov-2020,1.84,1.84,1.85,1.78,0.4353,1.10%,0.34184000000000003,N
18-Nov-2020,1.81,1.84,1.84,1.79,0.2046,-1.63%,0.3472800000000001,N
19-Nov-2020,1.78,1.81,1.82,1.78,0.2228,-1.66%,0.35852000000000006,N
20-Nov-2020,1.85,1.82,1.86,1.8,0.8086,3.93%,0.41796000000000005,N
23-Nov-2020,1.72,1.75,1.77,1.7,1.47,-7.03%,0.53601,N
24-Nov-2020,1.84,1.73,1.91,1.71,6.65,6.98%,1.18001,Y
25-Nov-2020,1.75,1.81,1.84,1.75,2.66,-4.89%,1.43346,N
26-Nov-2020,1.73,1.76,1.77,1.72,0.6915,-1.14%,1.4465999999999999,N
