Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.63,0.62,0.65,0.605,14.16,10.53%,,N
29-Sep-2020,0.605,0.635,0.64,0.59,2.86,-3.97%,,N
30-Sep-2020,0.62,0.615,0.635,0.615,1.45,2.48%,,N
01-Oct-2020,0.665,0.625,0.665,0.61,3.1,7.26%,,N
02-Oct-2020,0.665,0.67,0.69,0.66,7.5,0.00%,,N
05-Oct-2020,0.675,0.675,0.685,0.67,4.65,1.50%,,N
06-Oct-2020,0.65,0.675,0.685,0.635,2.64,-3.70%,,N
07-Oct-2020,0.63,0.655,0.66,0.625,2.31,-3.08%,,N
08-Oct-2020,0.645,0.635,0.65,0.63,1.67,2.38%,,N
09-Oct-2020,0.685,0.645,0.695,0.63,6.85,6.20%,4.719,N
12-Oct-2020,0.72,0.7,0.75,0.7,10.41,5.11%,4.344000000000001,N
13-Oct-2020,0.71,0.72,0.73,0.7,4.33,-1.39%,4.491000000000001,N
14-Oct-2020,0.77,0.71,0.77,0.685,19.1,8.45%,6.256000000000002,N
15-Oct-2020,0.765,0.77,0.815,0.74,10.89,-0.65%,7.035000000000002,N
16-Oct-2020,0.775,0.765,0.785,0.76,3.29,1.31%,6.6140000000000025,N
19-Oct-2020,0.785,0.78,0.79,0.77,3.47,1.29%,6.496000000000002,N
20-Oct-2020,0.755,0.785,0.785,0.745,4.94,-3.82%,6.726000000000002,N
21-Oct-2020,0.755,0.765,0.77,0.725,3.0,0.00%,6.795000000000002,N
22-Oct-2020,0.755,0.755,0.765,0.74,1.35,0.00%,6.763000000000001,N
23-Oct-2020,0.735,0.74,0.755,0.72,1.84,-2.65%,6.262000000000001,N
26-Oct-2020,0.72,0.735,0.755,0.7,1.63,-2.04%,5.384000000000002,N
27-Oct-2020,0.745,0.715,0.75,0.715,1.1,3.47%,5.061000000000002,N
28-Oct-2020,0.735,0.745,0.755,0.725,0.7367999999999999,-1.34%,3.224680000000002,N
30-Oct-2020,0.72,0.725,0.73,0.705,1.99,-2.04%,2.3346800000000023,N
02-Nov-2020,0.715,0.715,0.73,0.705,1.79,-0.69%,2.1846800000000024,N
03-Nov-2020,0.725,0.72,0.75,0.72,1.72,1.40%,2.009680000000002,N
04-Nov-2020,0.72,0.725,0.76,0.715,2.85,-0.69%,1.8006800000000023,N
05-Nov-2020,0.735,0.725,0.745,0.72,1.44,2.08%,1.6446800000000024,N
06-Nov-2020,0.745,0.74,0.755,0.72,3.58,1.36%,1.8676800000000022,N
09-Nov-2020,0.79,0.75,0.79,0.75,6.48,6.04%,2.331680000000002,N
10-Nov-2020,0.75,0.795,0.795,0.74,4.15,-5.06%,2.583680000000002,N
11-Nov-2020,0.75,0.74,0.775,0.74,2.19,0.00%,2.692680000000002,N
12-Nov-2020,0.76,0.75,0.765,0.75,0.9736,1.33%,2.7163600000000026,N
13-Nov-2020,0.735,0.765,0.775,0.735,3.7,-3.29%,2.8873600000000024,N
16-Nov-2020,0.75,0.745,0.765,0.74,4.62,2.04%,3.1703600000000023,N
17-Nov-2020,0.74,0.75,0.75,0.73,3.38,-1.33%,3.3363600000000027,N
18-Nov-2020,0.735,0.74,0.755,0.73,4.66,-0.68%,3.5173600000000027,N
19-Nov-2020,0.73,0.735,0.755,0.73,5.73,-0.68%,3.946360000000003,N
20-Nov-2020,0.725,0.735,0.735,0.715,5.83,-0.68%,4.171360000000003,N
23-Nov-2020,0.715,0.725,0.73,0.7,7.95,-1.38%,4.318360000000003,N
24-Nov-2020,0.72,0.715,0.72,0.68,5.97,0.70%,4.500360000000002,N
25-Nov-2020,0.7,0.72,0.735,0.7,3.15,-2.78%,4.596360000000002,N
26-Nov-2020,0.715,0.7,0.72,0.7,1.92,2.14%,4.691000000000003,N
