Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.74,0.735,0.75,0.735,0.7038,1.37%,,N
29-Sep-2020,0.745,0.75,0.755,0.74,0.4082,0.68%,,N
30-Sep-2020,0.8,0.755,0.83,0.755,5.1,7.38%,,N
01-Oct-2020,0.81,0.82,0.82,0.79,3.29,1.25%,,N
02-Oct-2020,0.82,0.82,0.84,0.805,2.28,1.23%,,N
05-Oct-2020,0.83,0.82,0.835,0.815,2.17,1.22%,,N
06-Oct-2020,0.815,0.84,0.85,0.81,4.4,-1.81%,,N
07-Oct-2020,0.805,0.81,0.825,0.805,1.23,-1.23%,,N
08-Oct-2020,0.79,0.815,0.815,0.78,1.84,-1.86%,,N
09-Oct-2020,0.785,0.795,0.805,0.785,1.58,-0.63%,2.3001999999999994,N
12-Oct-2020,0.8,0.79,0.8,0.79,1.31,1.91%,2.3608199999999995,N
13-Oct-2020,0.78,0.805,0.805,0.775,1.38,-2.50%,2.4579999999999993,N
14-Oct-2020,0.78,0.78,0.79,0.775,0.8119,0.00%,2.029189999999999,N
15-Oct-2020,0.78,0.78,0.78,0.77,0.6035,0.00%,1.7605399999999993,N
16-Oct-2020,0.79,0.78,0.795,0.78,0.6412,1.28%,1.5966599999999995,N
19-Oct-2020,0.78,0.8,0.8,0.775,1.27,-1.27%,1.5066599999999997,N
20-Oct-2020,0.79,0.78,0.795,0.775,0.8867,1.28%,1.1553299999999995,N
21-Oct-2020,0.865,0.79,0.895,0.785,16.05,9.49%,2.6373299999999995,Y
22-Oct-2020,0.88,0.88,0.955,0.87,30.54,1.73%,5.507329999999999,Y
23-Oct-2020,0.86,0.885,0.92,0.84,11.3,-2.27%,6.479329999999999,N
26-Oct-2020,0.87,0.9,0.905,0.865,5.94,1.16%,6.942329999999998,N
27-Oct-2020,0.87,0.865,0.88,0.86,2.84,0.00%,7.088329999999999,N
28-Oct-2020,0.865,0.87,0.87,0.85,1.6,-0.57%,7.167139999999999,N
30-Oct-2020,0.85,0.865,0.865,0.845,2.47,-1.73%,7.353789999999999,N
02-Nov-2020,0.855,0.85,0.865,0.845,1.02,0.59%,7.3916699999999995,N
03-Nov-2020,0.885,0.86,0.895,0.86,2.52,3.51%,7.5166699999999995,N
04-Nov-2020,0.885,0.895,0.905,0.885,4.34,0.00%,7.861999999999999,N
05-Nov-2020,0.905,0.89,0.915,0.885,8.93,2.26%,7.149999999999999,N
06-Nov-2020,0.91,0.905,0.925,0.9,12.06,0.55%,5.301999999999999,N
09-Nov-2020,0.78,0.815,0.815,0.775,4.76,-14.29%,4.647999999999999,N
10-Nov-2020,0.79,0.79,0.795,0.765,5.46,1.28%,4.6,N
11-Nov-2020,0.785,0.79,0.805,0.78,4.12,-0.63%,4.727999999999999,N
12-Nov-2020,0.78,0.785,0.79,0.78,0.9663,-0.64%,4.664629999999998,N
13-Nov-2020,0.77,0.78,0.78,0.77,1.75,-1.28%,4.592629999999998,N
16-Nov-2020,0.785,0.77,0.795,0.77,5.32,1.95%,5.022629999999998,N
17-Nov-2020,0.79,0.79,0.805,0.785,4.52,0.64%,5.222629999999997,N
18-Nov-2020,0.78,0.785,0.785,0.775,1.12,-1.27%,4.900629999999997,N
19-Nov-2020,0.77,0.775,0.78,0.77,0.9236,-1.28%,4.0999899999999965,N
20-Nov-2020,0.775,0.77,0.78,0.77,1.56,0.65%,3.0499899999999966,N
23-Nov-2020,0.78,0.775,0.795,0.775,4.76,0.65%,3.0499899999999966,N
24-Nov-2020,0.775,0.78,0.79,0.77,1.93,-0.64%,2.696989999999997,N
25-Nov-2020,0.8,0.78,0.83,0.78,13.18,3.23%,3.602989999999997,N
26-Nov-2020,0.8,0.805,0.81,0.785,3.84,0.00%,3.8903599999999976,N
