Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
05-Oct-2020,0.11,0.11,0.11,0.11,0.013000000000000001,0.00%,,N
06-Oct-2020,0.115,0.11,0.115,0.11,0.15319999999999998,4.55%,,N
07-Oct-2020,0.105,0.105,0.105,0.105,0.065,-8.70%,,N
09-Oct-2020,0.115,0.105,0.115,0.105,0.027100000000000003,9.52%,,N
12-Oct-2020,0.105,0.105,0.105,0.105,0.1031,-8.70%,,N
14-Oct-2020,0.105,0.105,0.105,0.105,0.052000000000000005,0.00%,,N
16-Oct-2020,0.115,0.115,0.115,0.115,0.0001,9.52%,,N
20-Oct-2020,0.105,0.105,0.105,0.105,0.005900000000000001,-8.70%,,N
21-Oct-2020,0.13,0.105,0.155,0.105,0.9235,23.81%,,N
22-Oct-2020,0.31,0.135,0.395,0.135,35.68,138.46%,3.70229,Y
23-Oct-2020,0.225,0.325,0.36,0.215,7.67,-27.42%,4.46799,N
26-Oct-2020,0.2,0.225,0.235,0.18,2.64,-11.11%,4.716670000000001,N
27-Oct-2020,0.2,0.185,0.25,0.185,4.55,0.00%,5.165170000000001,N
28-Oct-2020,0.295,0.205,0.31,0.2,17.27,47.50%,6.88946,N
30-Oct-2020,0.595,0.295,0.595,0.255,71.94,101.69%,14.073149999999998,Y
02-Nov-2020,0.835,0.58,0.875,0.495,87.51,40.34%,22.818949999999997,N
03-Nov-2020,0.62,0.83,0.875,0.6,23.39,-25.75%,25.15794,N
04-Nov-2020,0.64,0.62,0.86,0.62,36.07,3.23%,28.76435,N
05-Nov-2020,0.625,0.675,0.71,0.615,14.02,-2.34%,30.074,N
06-Nov-2020,0.495,0.625,0.625,0.48,17.75,-20.80%,28.281,N
09-Nov-2020,0.65,0.505,0.7,0.48,85.87,31.31%,36.101,N
10-Nov-2020,0.58,0.655,0.655,0.57,8.21,-10.77%,36.658,N
11-Nov-2020,0.6,0.625,0.695,0.59,47.08,3.45%,40.910999999999994,N
12-Nov-2020,0.595,0.61,0.63,0.575,6.15,-0.83%,39.79899999999999,N
13-Nov-2020,0.6,0.595,0.62,0.58,5.3,0.84%,33.135,N
16-Nov-2020,0.59,0.61,0.665,0.585,26.56,-1.67%,27.04,N
17-Nov-2020,0.6,0.595,0.645,0.585,21.95,1.69%,26.895999999999997,N
18-Nov-2020,0.6,0.6,0.625,0.59,3.7,0.00%,23.659,N
19-Nov-2020,0.585,0.595,0.62,0.585,7.31,-2.50%,22.987999999999996,N
20-Nov-2020,0.545,0.59,0.6,0.53,7.01,-6.84%,21.913999999999994,N
23-Nov-2020,0.525,0.545,0.58,0.52,7.06,-3.67%,14.032999999999996,N
24-Nov-2020,0.485,0.53,0.54,0.475,5.11,-7.62%,13.722999999999995,N
25-Nov-2020,0.445,0.49,0.495,0.435,5.12,-8.25%,9.526999999999997,N
