Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.56,0.56,0.56,0.56,0.0005,-3.45%,,N
29-Sep-2020,0.555,0.57,0.57,0.555,0.1191,-0.89%,,N
30-Sep-2020,0.54,0.57,0.57,0.54,0.1771,-2.70%,,N
01-Oct-2020,0.54,0.54,0.555,0.54,0.0453,0.00%,,N
02-Oct-2020,0.54,0.54,0.54,0.535,0.0576,0.00%,,N
05-Oct-2020,0.545,0.54,0.55,0.54,0.0756,0.93%,,N
06-Oct-2020,0.545,0.545,0.555,0.545,0.045,0.00%,,N
07-Oct-2020,0.565,0.54,0.565,0.54,0.0852,3.67%,,N
08-Oct-2020,0.555,0.555,0.555,0.555,0.0003,-1.77%,,N
09-Oct-2020,0.6,0.555,0.605,0.55,0.5732999999999999,8.11%,0.11789999999999998,N
12-Oct-2020,0.6,0.605,0.615,0.6,0.3548,0.00%,0.15333,N
13-Oct-2020,0.615,0.585,0.615,0.585,0.0257,2.50%,0.14399,N
14-Oct-2020,0.6,0.605,0.615,0.6,0.1166,-2.44%,0.13794,N
15-Oct-2020,0.5760000000000001,0.585,0.585,0.5760000000000001,0.08660999999999999,-1.67%,0.142071,N
16-Oct-2020,0.5710000000000001,0.5760000000000001,0.5760000000000001,0.5710000000000001,0.055560000000000005,-0.85%,0.14186700000000002,N
19-Oct-2020,0.556,0.5710000000000001,0.5710000000000001,0.556,0.16134,-2.56%,0.150441,N
20-Oct-2020,0.6,0.5660000000000001,0.605,0.5660000000000001,0.64288,7.89%,0.210229,N
21-Oct-2020,0.615,0.605,0.649,0.605,1.48,2.44%,0.349709,N
22-Oct-2020,0.59,0.615,0.615,0.59,0.18676,-3.97%,0.368355,N
23-Oct-2020,0.5660000000000001,0.59,0.59,0.5660000000000001,0.20561999999999997,-4.13%,0.331587,N
26-Oct-2020,0.546,0.561,0.561,0.546,0.25369,-3.45%,0.32147600000000004,N
27-Oct-2020,0.5660000000000001,0.556,0.5660000000000001,0.556,0.0408,3.57%,0.32298600000000005,N
28-Oct-2020,0.546,0.546,0.561,0.541,0.18819,-3.45%,0.330145,N
30-Oct-2020,0.537,0.546,0.546,0.527,0.20859,-1.79%,0.34234300000000006,N
02-Nov-2020,0.522,0.527,0.537,0.517,0.06591,-2.73%,0.34337800000000007,N
03-Nov-2020,0.527,0.522,0.537,0.522,0.05699,0.93%,0.3329430000000001,N
04-Nov-2020,0.546,0.522,0.546,0.522,0.03219,3.70%,0.27187400000000006,N
05-Nov-2020,0.551,0.546,0.551,0.546,0.1024,0.89%,0.13411400000000007,N
06-Nov-2020,0.5660000000000001,0.551,0.5660000000000001,0.551,0.19137,2.65%,0.13457500000000006,N
09-Nov-2020,0.5660000000000001,0.5660000000000001,0.5710000000000001,0.556,0.20715,0.00%,0.13472800000000007,N
10-Nov-2020,0.5710000000000001,0.556,0.5710000000000001,0.546,0.1067,0.86%,0.12002900000000008,N
11-Nov-2020,0.561,0.5760000000000001,0.58,0.561,0.65303,-1.71%,0.18125200000000008,N
12-Nov-2020,0.57,0.565,0.57,0.565,0.2326,1.61%,0.18569300000000005,N
13-Nov-2020,0.57,0.57,0.57,0.565,0.5447000000000001,0.00%,0.21930400000000008,N
16-Nov-2020,0.57,0.56,0.57,0.56,0.0347,0.00%,0.21618300000000007,N
17-Nov-2020,0.575,0.57,0.58,0.565,0.31710000000000005,0.88%,0.24219400000000008,N
18-Nov-2020,0.59,0.585,0.6,0.58,0.4101,2.61%,0.27998500000000004,N
19-Nov-2020,0.625,0.595,0.67,0.595,0.7662,5.93%,0.3463650000000001,N
20-Nov-2020,0.62,0.625,0.625,0.61,0.1385,-0.80%,0.3410780000000001,N
23-Nov-2020,0.61,0.63,0.63,0.61,0.031,-1.61%,0.3234630000000001,N
24-Nov-2020,0.605,0.61,0.62,0.6,0.2439,-0.82%,0.3371830000000001,N
25-Nov-2020,0.59,0.6,0.6,0.59,0.028999999999999998,-2.48%,0.2747800000000001,N
26-Nov-2020,0.595,0.62,0.62,0.595,0.0087,0.85%,0.25239000000000006,N
