Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.735,0.735,0.735,0.73,0.1211,0.00%,,N
29-Sep-2020,0.74,0.735,0.74,0.735,0.3746,0.68%,,N
30-Sep-2020,0.73,0.74,0.745,0.73,0.9093,-1.35%,,N
01-Oct-2020,0.735,0.735,0.74,0.735,0.4313,0.68%,,N
02-Oct-2020,0.735,0.735,0.74,0.735,0.2537,0.00%,,N
05-Oct-2020,0.72,0.73,0.74,0.72,0.4562,-2.04%,,N
06-Oct-2020,0.73,0.725,0.73,0.725,0.3564,1.39%,,N
07-Oct-2020,0.73,0.73,0.73,0.725,0.489,0.00%,,N
08-Oct-2020,0.735,0.73,0.735,0.73,0.5071,0.68%,,N
09-Oct-2020,0.745,0.74,0.745,0.73,0.6648,1.36%,0.4563499999999999,N
12-Oct-2020,0.75,0.755,0.76,0.75,1.56,0.67%,0.60024,N
13-Oct-2020,0.75,0.76,0.76,0.75,0.9786,0.00%,0.66064,N
14-Oct-2020,0.755,0.75,0.76,0.75,0.6284,0.67%,0.63255,N
15-Oct-2020,0.75,0.755,0.755,0.75,0.8281000000000001,-0.66%,0.67223,N
16-Oct-2020,0.76,0.75,0.76,0.75,0.1203,1.33%,0.65889,N
19-Oct-2020,0.755,0.76,0.76,0.75,0.4439,-0.66%,0.65766,N
20-Oct-2020,0.75,0.755,0.755,0.75,0.1296,-0.66%,0.63498,N
21-Oct-2020,0.76,0.755,0.76,0.75,0.3147,1.33%,0.61755,N
22-Oct-2020,0.755,0.75,0.76,0.75,0.1066,-0.66%,0.5775,N
23-Oct-2020,0.75,0.755,0.755,0.75,0.2852,-0.66%,0.53954,N
26-Oct-2020,0.75,0.755,0.755,0.745,1.46,0.00%,0.5295400000000001,N
27-Oct-2020,0.75,0.75,0.76,0.75,0.2237,0.00%,0.45405000000000006,N
28-Oct-2020,0.75,0.75,0.76,0.75,0.332,0.00%,0.42441000000000006,N
30-Oct-2020,0.745,0.755,0.755,0.745,2.73,-0.67%,0.6146,N
02-Nov-2020,0.745,0.75,0.75,0.745,0.4102,0.00%,0.6435899999999999,N
03-Nov-2020,0.75,0.745,0.75,0.745,0.0516,0.67%,0.6043599999999999,N
04-Nov-2020,0.755,0.75,0.755,0.745,0.2213,0.67%,0.6135299999999999,N
05-Nov-2020,0.755,0.745,0.755,0.745,0.307,0.00%,0.61276,N
06-Nov-2020,0.76,0.755,0.765,0.745,0.6111,0.66%,0.66321,N
09-Nov-2020,0.775,0.765,0.775,0.755,0.2102,1.97%,0.65571,N
10-Nov-2020,0.785,0.78,0.795,0.775,0.5618,1.29%,0.56589,N
11-Nov-2020,0.795,0.78,0.795,0.775,0.28800000000000003,1.27%,0.57232,N
12-Nov-2020,0.795,0.79,0.8,0.785,0.26899999999999996,0.00%,0.5660200000000001,N
13-Nov-2020,0.78,0.795,0.795,0.78,0.2032,-1.89%,0.31334000000000006,N
16-Nov-2020,0.795,0.785,0.805,0.78,0.5936,1.92%,0.33168000000000003,N
17-Nov-2020,0.805,0.8,0.815,0.795,0.8277,1.26%,0.40929000000000004,N
18-Nov-2020,0.78,0.8,0.81,0.775,1.46,-3.11%,0.53316,N
19-Nov-2020,0.8,0.78,0.8,0.78,0.4516,2.56%,0.54762,N
20-Nov-2020,0.795,0.8,0.8,0.79,0.1193,-0.62%,0.4984399999999999,N
23-Nov-2020,0.795,0.79,0.805,0.79,0.2737,0.00%,0.5047899999999998,N
24-Nov-2020,0.785,0.795,0.8,0.785,0.28,-1.26%,0.47660999999999987,N
25-Nov-2020,0.79,0.785,0.795,0.78,0.1116,0.64%,0.4589699999999999,N
26-Nov-2020,0.79,0.795,0.795,0.785,0.3147,0.00%,0.4635399999999999,N
