Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.68,0.68,0.68,0.68,0.155,0.00%,,N
29-Sep-2020,0.67,0.7,0.7,0.655,1.17,-1.47%,,N
30-Sep-2020,0.685,0.66,0.685,0.64,0.6025,2.24%,,N
01-Oct-2020,0.63,0.66,0.66,0.63,0.7941,-8.03%,,N
02-Oct-2020,0.67,0.63,0.72,0.625,0.8865,6.35%,,N
05-Oct-2020,0.64,0.635,0.64,0.63,0.095,-4.48%,,N
06-Oct-2020,0.625,0.63,0.635,0.625,1.2,-2.34%,,N
07-Oct-2020,0.69,0.64,0.7,0.64,0.5902999999999999,10.40%,,N
08-Oct-2020,0.66,0.69,0.7,0.66,0.2218,-4.35%,,N
09-Oct-2020,0.635,0.635,0.635,0.635,0.0011,-3.79%,0.5716300000000001,N
12-Oct-2020,0.635,0.63,0.635,0.63,0.12,0.00%,0.56813,N
13-Oct-2020,0.63,0.635,0.635,0.63,0.65,-0.79%,0.5161300000000001,N
14-Oct-2020,0.63,0.63,0.65,0.63,0.21899999999999997,0.00%,0.4777800000000001,N
15-Oct-2020,0.64,0.63,0.64,0.625,0.2451,1.59%,0.42288000000000003,N
16-Oct-2020,0.63,0.63,0.63,0.63,0.015,-1.56%,0.33573000000000003,N
19-Oct-2020,0.635,0.625,0.635,0.625,0.2096,0.79%,0.34719,N
20-Oct-2020,0.635,0.63,0.635,0.63,0.1947,0.00%,0.24666000000000005,N
21-Oct-2020,0.63,0.63,0.63,0.63,0.035,-0.79%,0.19113000000000008,N
22-Oct-2020,0.63,0.63,0.63,0.63,0.245,0.00%,0.19345000000000007,N
23-Oct-2020,0.635,0.635,0.635,0.63,0.114,0.79%,0.20474000000000006,N
28-Oct-2020,0.63,0.63,0.63,0.63,0.001,-0.79%,0.19284000000000004,N
30-Oct-2020,0.63,0.63,0.63,0.63,0.069,0.00%,0.13474000000000003,N
02-Nov-2020,0.63,0.63,0.63,0.63,0.03,0.00%,0.11584000000000003,N
03-Nov-2020,0.63,0.63,0.63,0.63,0.0602,0.00%,0.09735000000000003,N
04-Nov-2020,0.63,0.63,0.63,0.63,0.08,0.00%,0.10385000000000004,N
05-Nov-2020,0.64,0.64,0.64,0.64,0.03,1.59%,0.08589000000000005,N
06-Nov-2020,0.64,0.63,0.64,0.63,0.046,0.00%,0.07102000000000006,N
09-Nov-2020,0.64,0.64,0.64,0.64,0.01,0.00%,0.06852000000000005,N
10-Nov-2020,0.64,0.635,0.64,0.635,0.027999999999999997,0.00%,0.04682000000000005,N
11-Nov-2020,0.66,0.64,0.7,0.635,0.134,3.13%,0.04882000000000005,N
12-Nov-2020,0.66,0.66,0.665,0.66,0.065,0.00%,0.05522000000000006,N
13-Nov-2020,0.665,0.665,0.665,0.665,0.005,0.76%,0.04882000000000006,N
16-Nov-2020,0.655,0.635,0.655,0.635,0.033,-1.50%,0.04912000000000005,N
17-Nov-2020,0.645,0.645,0.645,0.635,0.051,-1.53%,0.04820000000000006,N
18-Nov-2020,0.655,0.65,0.655,0.65,0.023,1.55%,0.04250000000000005,N
19-Nov-2020,0.64,0.65,0.65,0.64,0.0301,-2.29%,0.04251000000000006,N
20-Nov-2020,0.65,0.65,0.65,0.65,0.02,1.56%,0.039910000000000063,N
23-Nov-2020,0.645,0.645,0.645,0.64,0.0532,-0.77%,0.04423000000000006,N
25-Nov-2020,0.635,0.635,0.635,0.635,0.003,-1.55%,0.04173000000000006,N
26-Nov-2020,0.635,0.64,0.64,0.635,0.06,0.00%,0.034330000000000055,N
