Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
29-Sep-2020,1.13,1.06,1.13,1.06,0.002,0.00%,,N
30-Sep-2020,1.12,1.06,1.12,1.06,0.0051,-0.88%,,N
01-Oct-2020,1.12,1.04,1.12,1.04,0.003,0.00%,,N
07-Oct-2020,1.04,1.04,1.04,1.04,0.0048,-7.14%,,N
15-Oct-2020,1.13,1.1,1.13,1.1,0.013000000000000001,8.65%,,N
03-Nov-2020,1.09,1.04,1.09,1.04,0.0394,-3.54%,,N
04-Nov-2020,1.11,1.1,1.11,1.1,0.003,1.83%,,N
16-Nov-2020,1.13,1.11,1.13,1.11,0.012,1.80%,,N
19-Nov-2020,1.13,1.05,1.13,1.02,0.0351,0.00%,,N
20-Nov-2020,1.08,1.05,1.08,1.05,0.018000000000000002,-4.42%,0.013540000000000002,N
24-Nov-2020,1.07,1.03,1.07,1.03,0.003,-0.93%,0.013640000000000003,N
25-Nov-2020,1.1,1.09,1.1,1.09,0.002,2.80%,0.013330000000000003,N
