Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
30-Sep-2020,1.03,1.03,1.03,1.03,0.019,0.00%,,N
01-Oct-2020,1.05,1.03,1.14,1.03,0.1605,1.94%,,N
05-Oct-2020,1.03,1.03,1.03,1.03,0.018000000000000002,-1.90%,,N
06-Oct-2020,1.16,1.06,1.16,1.06,1.56,12.62%,,N
07-Oct-2020,1.05,1.18,1.18,1.04,0.1198,-9.48%,,N
08-Oct-2020,1.03,1.05,1.05,1.03,0.0433,-1.90%,,N
09-Oct-2020,1.03,1.03,1.03,1.03,0.0035,0.00%,,N
12-Oct-2020,1.03,1.04,1.04,1.03,0.071,0.00%,,N
13-Oct-2020,1.03,1.05,1.05,1.03,0.008,0.00%,,N
14-Oct-2020,1.03,1.05,1.05,1.03,0.1107,0.00%,0.21137999999999998,N
15-Oct-2020,1.03,1.03,1.04,1.02,0.2457,0.00%,0.23404999999999995,N
16-Oct-2020,1.02,1.03,1.03,1.02,0.1601,-0.97%,0.23400999999999997,N
19-Oct-2020,1.02,1.03,1.03,1.02,0.1215,0.00%,0.24436,N
20-Oct-2020,1.03,1.03,1.03,1.02,0.2495,0.98%,0.11330999999999998,N
21-Oct-2020,1.02,1.03,1.03,1.02,0.4145,-0.97%,0.14277999999999996,N
23-Oct-2020,1.02,1.02,1.02,1.02,0.0365,0.00%,0.14209999999999998,N
27-Oct-2020,0.51,0.51,0.51,0.505,0.6386000000000001,0.00%,0.20561,N
28-Oct-2020,1.02,1.02,1.02,1.02,0.0449,0.00%,0.20299999999999999,N
30-Oct-2020,1.02,1.02,1.02,1.02,0.02,0.00%,0.2042,N
03-Nov-2020,0.51,0.515,0.52,0.51,0.6472,0.00%,0.25784999999999997,N
04-Nov-2020,0.51,0.515,0.515,0.51,0.084,0.00%,0.24167999999999998,N
05-Nov-2020,0.525,0.51,0.525,0.505,0.45799999999999996,2.94%,0.27147,N
06-Nov-2020,1.02,1.05,1.05,1.02,0.0996,-2.86%,0.26927999999999996,N
09-Nov-2020,1.02,1.03,1.03,1.02,0.0248,0.00%,0.24680999999999997,N
10-Nov-2020,1.02,1.02,1.02,1.02,0.0081,0.00%,0.20617000000000002,N
11-Nov-2020,0.53,0.515,0.53,0.51,18.24,3.92%,2.0265199999999997,Y
12-Nov-2020,1.08,1.07,1.19,1.07,0.5927,1.89%,2.02193,N
13-Nov-2020,1.23,1.1,1.3,1.08,21.19,13.89%,4.13644,Y
16-Nov-2020,0.615,0.625,0.64,0.61,24.23,0.00%,6.5574400000000015,N
17-Nov-2020,0.61,0.61,0.615,0.595,2.86,-0.81%,6.778720000000002,N
18-Nov-2020,0.63,0.61,0.725,0.61,15.82,3.28%,8.35232,N
19-Nov-2020,1.33,1.26,1.38,1.25,3.63,5.56%,8.66952,N
20-Nov-2020,0.69,0.665,0.7,0.645,8.25,3.76%,9.48456,N
23-Nov-2020,0.685,0.67,0.69,0.66,2.38,-0.72%,9.72008,N
24-Nov-2020,0.685,0.685,0.705,0.67,3.66,0.00%,10.08527,N
25-Nov-2020,0.665,0.685,0.695,0.665,8.85,-2.92%,9.14627,N
26-Nov-2020,0.595,0.6,0.61,0.585,1.83,-10.53%,9.27,N
