Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.83,0.83,0.83,0.83,0.014,0.61%,,N
29-Sep-2020,0.83,0.82,0.83,0.82,0.031,0.00%,,N
30-Sep-2020,0.83,0.83,0.83,0.83,0.005,0.00%,,N
01-Oct-2020,0.84,0.84,0.84,0.835,0.0043,1.20%,,N
02-Oct-2020,0.84,0.84,0.84,0.84,0.004200000000000001,0.00%,,N
05-Oct-2020,0.84,0.845,0.845,0.84,0.0108,0.00%,,N
06-Oct-2020,0.85,0.84,0.85,0.84,0.0297,1.19%,,N
07-Oct-2020,0.86,0.85,0.865,0.85,0.0755,1.18%,,N
08-Oct-2020,0.84,0.845,0.845,0.84,0.0208,-2.33%,,N
09-Oct-2020,0.82,0.84,0.84,0.82,0.0111,-2.38%,0.020640000000000002,N
12-Oct-2020,0.83,0.83,0.83,0.83,0.0113,1.22%,0.02037,N
13-Oct-2020,0.83,0.835,0.835,0.83,0.05,0.00%,0.02227,N
14-Oct-2020,0.85,0.84,0.85,0.84,0.0231,2.41%,0.02408,N
15-Oct-2020,0.84,0.84,0.84,0.84,0.001,-1.18%,0.02375,N
16-Oct-2020,0.855,0.85,0.855,0.85,0.0065,1.79%,0.02398,N
19-Oct-2020,0.83,0.83,0.83,0.83,0.0096,-2.92%,0.02386,N
20-Oct-2020,0.82,0.83,0.83,0.82,0.05,-1.20%,0.02589,N
21-Oct-2020,0.825,0.825,0.825,0.825,0.0027,0.61%,0.018609999999999998,N
23-Oct-2020,0.83,0.83,0.83,0.83,0.003,0.61%,0.016829999999999994,N
26-Oct-2020,0.84,0.82,0.84,0.82,0.0228,1.20%,,
27-Oct-2020,0.83,0.83,0.83,0.83,0.005,-1.19%,0.01736999999999999,N
30-Oct-2020,0.83,0.82,0.83,0.82,0.0228,0.00%,0.014649999999999996,N
02-Nov-2020,0.84,0.84,0.84,0.84,0.004,1.20%,,
03-Nov-2020,0.815,0.82,0.82,0.815,0.0101,-2.98%,0.013649999999999995,N
04-Nov-2020,0.84,0.84,0.84,0.84,0.015,3.07%,,
05-Nov-2020,0.845,0.845,0.845,0.845,0.002,0.60%,0.013739999999999995,N
06-Nov-2020,0.85,0.85,0.85,0.85,0.0002,0.59%,0.008759999999999997,N
09-Nov-2020,0.87,0.82,0.87,0.815,0.024,2.35%,0.01089,N
10-Nov-2020,0.865,0.82,0.865,0.82,0.0133,-0.57%,0.011919999999999995,N
11-Nov-2020,0.85,0.86,0.86,0.85,0.0573,-1.73%,,
12-Nov-2020,0.85,0.85,0.85,0.85,0.0246,0.00%,,
13-Nov-2020,0.86,0.85,0.86,0.85,0.0165,1.18%,,
16-Nov-2020,0.82,0.825,0.825,0.82,0.008199999999999999,-4.65%,,
17-Nov-2020,0.83,0.83,0.855,0.83,0.1184,1.22%,,
19-Nov-2020,0.86,0.86,0.86,0.86,0.002,3.61%,,
20-Nov-2020,0.85,0.86,0.86,0.84,0.0205,-1.16%,,
23-Nov-2020,0.865,0.85,0.865,0.85,0.09620000000000001,1.76%,,
24-Nov-2020,0.86,0.84,0.87,0.84,0.0867,-0.58%,,
25-Nov-2020,0.845,0.86,0.86,0.845,0.0534,-1.74%,0.04838,N
26-Nov-2020,0.84,0.84,0.84,0.84,-,-0.59%,,
