Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.63,0.62,0.64,0.615,0.2235,0.00%,,N
29-Sep-2020,0.63,0.63,0.64,0.62,0.1489,0.00%,,N
30-Sep-2020,0.63,0.63,0.635,0.62,0.07970000000000001,0.00%,,N
01-Oct-2020,0.635,0.63,0.635,0.615,0.1421,0.79%,,N
02-Oct-2020,0.62,0.635,0.635,0.615,0.1782,-2.36%,,N
05-Oct-2020,0.62,0.61,0.62,0.595,0.161,0.00%,,N
06-Oct-2020,0.62,0.61,0.62,0.595,0.1416,0.00%,,N
07-Oct-2020,0.605,0.62,0.62,0.6,0.07809999999999999,-2.42%,,N
08-Oct-2020,0.635,0.605,0.64,0.6,0.2747,4.96%,,N
09-Oct-2020,0.66,0.645,0.67,0.64,0.7231000000000001,3.94%,0.21509,N
12-Oct-2020,0.66,0.665,0.67,0.655,0.5145,0.00%,0.24419,N
13-Oct-2020,0.665,0.665,0.665,0.655,0.6676,0.76%,0.29606,N
14-Oct-2020,0.68,0.665,0.685,0.66,1.21,2.26%,0.40909000000000006,N
15-Oct-2020,0.69,0.685,0.695,0.68,0.6067,1.47%,0.45555,N
16-Oct-2020,0.7,0.695,0.705,0.69,2.15,1.45%,0.65273,N
19-Oct-2020,0.705,0.705,0.715,0.7,0.9983,0.71%,0.7364600000000001,N
20-Oct-2020,0.7,0.705,0.71,0.685,1.49,-0.71%,0.8713000000000001,N
21-Oct-2020,0.69,0.705,0.71,0.665,0.5404,-1.43%,0.9175300000000002,N
22-Oct-2020,0.685,0.69,0.71,0.665,0.9302,-0.72%,0.9830800000000002,N
23-Oct-2020,0.665,0.69,0.69,0.64,1.37,-2.92%,1.04777,N
26-Oct-2020,0.655,0.67,0.675,0.635,0.997,-1.50%,1.09602,N
27-Oct-2020,0.62,0.65,0.65,0.615,0.4899,-5.34%,1.0782500000000002,N
28-Oct-2020,0.62,0.63,0.64,0.61,0.6381,0.00%,1.0210599999999999,N
30-Oct-2020,0.6,0.62,0.645,0.58,0.9637,-3.23%,1.05676,N
02-Nov-2020,0.6,0.59,0.6,0.57,0.3312,0.00%,0.8748799999999999,N
03-Nov-2020,0.6,0.6,0.64,0.58,1.38,0.00%,0.9130499999999998,N
04-Nov-2020,0.605,0.59,0.62,0.585,0.4031,0.83%,0.8043599999999997,N
05-Nov-2020,0.6,0.62,0.645,0.595,1.55,-0.83%,0.9053199999999999,N
06-Nov-2020,0.6,0.615,0.615,0.595,1.37,0.00%,0.9492999999999998,N
09-Nov-2020,0.605,0.605,0.605,0.595,1.78,0.83%,0.9902999999999998,N
10-Nov-2020,0.6,0.605,0.605,0.595,1.54,-0.83%,1.0445999999999998,N
11-Nov-2020,0.6,0.6,0.6,0.59,0.9016,0.00%,1.0857699999999997,N
12-Nov-2020,0.605,0.6,0.61,0.595,1.13,0.83%,1.1349599999999997,N
13-Nov-2020,0.615,0.605,0.615,0.6,1.45,1.65%,1.1835899999999997,N
16-Nov-2020,0.615,0.62,0.62,0.61,0.7689,0.00%,1.2273599999999996,N
17-Nov-2020,0.615,0.615,0.62,0.605,0.7384,0.00%,1.1631999999999998,N
18-Nov-2020,0.615,0.61,0.615,0.6,0.7381,0.00%,1.1966999999999997,N
19-Nov-2020,0.585,0.605,0.61,0.585,1.9,-4.88%,1.2316999999999996,N
20-Nov-2020,0.6,0.6,0.6,0.585,1.28,2.56%,1.2226999999999997,N
23-Nov-2020,0.6,0.6,0.6,0.595,0.6447999999999999,0.00%,1.1091799999999998,N
24-Nov-2020,0.59,0.595,0.595,0.59,0.1714,-0.84%,0.9723199999999999,N
25-Nov-2020,0.595,0.59,0.595,0.585,0.0926,0.00%,0.8914199999999998,N
26-Nov-2020,0.6,0.59,0.6,0.585,0.7365,0.84%,0.8520699999999998,N
