Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.54,1.56,1.56,1.54,0.2082,-1.28%,,N
29-Sep-2020,1.54,1.54,1.55,1.53,1.27,0.00%,,N
30-Sep-2020,1.54,1.54,1.55,1.52,0.31410000000000005,0.00%,,N
01-Oct-2020,1.53,1.52,1.54,1.52,0.0384,-0.65%,,N
02-Oct-2020,1.52,1.54,1.54,1.51,0.2146,-0.65%,,N
05-Oct-2020,1.5,1.5,1.52,1.5,0.0088,-1.32%,,N
06-Oct-2020,1.51,1.51,1.53,1.5,0.5635,0.67%,,N
07-Oct-2020,1.51,1.5,1.52,1.5,0.0253,0.00%,,N
08-Oct-2020,1.53,1.52,1.55,1.52,0.3936,1.32%,,N
09-Oct-2020,1.5,1.52,1.52,1.49,0.5584,-1.96%,0.35949,N
12-Oct-2020,1.49,1.5,1.5,1.49,0.046700000000000005,-0.67%,0.34334,N
13-Oct-2020,1.5,1.5,1.5,1.5,0.0888,0.67%,0.22521999999999998,N
14-Oct-2020,1.48,1.51,1.51,1.48,0.1894,-1.33%,0.21274999999999994,N
15-Oct-2020,1.48,1.49,1.5,1.47,0.212,0.00%,0.23010999999999995,N
16-Oct-2020,1.41,1.47,1.47,1.38,1.1,-4.73%,0.31865,N
19-Oct-2020,1.41,1.4,1.41,1.38,0.3703,0.00%,0.35479999999999995,N
20-Oct-2020,1.39,1.41,1.41,1.37,0.5799,-1.42%,0.35644,N
21-Oct-2020,1.39,1.39,1.4,1.38,0.0405,0.00%,0.35795999999999994,N
22-Oct-2020,1.4,1.38,1.41,1.37,0.1957,0.72%,0.33816999999999997,N
23-Oct-2020,1.4,1.42,1.42,1.37,1.03,0.00%,0.38533,N
26-Oct-2020,1.39,1.4,1.4,1.38,0.2105,-0.71%,0.4017099999999999,N
27-Oct-2020,1.38,1.41,1.41,1.37,0.8418,-0.72%,0.47700999999999993,N
28-Oct-2020,1.4,1.39,1.4,1.38,0.8995,1.45%,0.54802,N
30-Oct-2020,1.39,1.38,1.39,1.38,0.2892,-0.71%,0.5557399999999999,N
02-Nov-2020,1.38,1.4,1.4,1.36,0.25,-0.72%,0.47074,N
03-Nov-2020,1.37,1.37,1.37,1.35,0.3529,-0.72%,0.469,N
04-Nov-2020,1.38,1.37,1.38,1.36,0.071,0.73%,0.41810999999999987,N
05-Nov-2020,1.46,1.35,1.46,1.35,0.4567,5.80%,0.45972999999999986,N
06-Nov-2020,1.43,1.46,1.46,1.38,0.1925,-2.05%,0.4594099999999998,N
09-Nov-2020,1.38,1.43,1.43,1.37,0.1152,-3.50%,0.36792999999999976,N
10-Nov-2020,1.43,1.4,1.46,1.39,3.26,3.62%,0.6728799999999998,N
11-Nov-2020,1.43,1.44,1.44,1.41,0.8947,0.00%,0.6781699999999998,N
12-Nov-2020,1.45,1.44,1.45,1.44,0.3606,1.40%,0.6242799999999998,N
13-Nov-2020,1.47,1.45,1.47,1.45,0.30839999999999995,1.38%,0.6261999999999998,N
16-Nov-2020,1.47,1.48,1.49,1.46,0.2025,0.00%,0.6214499999999997,N
17-Nov-2020,1.47,1.5,1.5,1.47,0.2236,0.00%,0.6085199999999997,N
18-Nov-2020,1.5,1.47,1.5,1.46,0.1396,2.04%,0.6153799999999998,N
19-Nov-2020,1.49,1.49,1.49,1.47,0.13340000000000002,-0.67%,0.5830499999999998,N
20-Nov-2020,1.5,1.49,1.5,1.48,0.0625,0.67%,0.5700499999999998,N
23-Nov-2020,1.5,1.5,1.5,1.49,0.1928,0.00%,0.5778099999999998,N
24-Nov-2020,1.49,1.5,1.5,1.48,0.0765,0.00%,0.2594599999999999,N
25-Nov-2020,1.5,1.5,1.5,1.5,0.7447999999999999,0.67%,0.24446999999999983,N
26-Nov-2020,1.51,1.5,1.51,1.5,0.5366000000000001,0.67%,0.26206999999999986,N
