Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.935,0.92,0.935,0.92,0.0031,2.19%,,N
29-Sep-2020,0.94,0.94,0.94,0.94,0.002,0.53%,,N
30-Sep-2020,0.93,0.93,0.93,0.93,0.012,-1.06%,,N
01-Oct-2020,0.92,0.92,0.92,0.92,0.006,-1.08%,,N
02-Oct-2020,0.925,0.935,0.935,0.925,0.006,0.54%,,N
05-Oct-2020,0.905,0.91,0.91,0.905,0.008,-2.16%,,N
06-Oct-2020,0.905,0.905,0.905,0.905,0.0056,0.00%,,N
08-Oct-2020,0.91,0.91,0.91,0.91,0.001,0.55%,,N
12-Oct-2020,0.91,0.91,0.91,0.91,0.0004,0.00%,,N
13-Oct-2020,0.915,0.915,0.915,0.915,0.0065,0.55%,0.00506,N
14-Oct-2020,0.905,0.91,0.915,0.905,0.068,-1.09%,0.011550000000000001,Y
15-Oct-2020,0.905,0.9,0.905,0.9,0.0098,0.00%,0.012329999999999999,N
16-Oct-2020,0.905,0.92,0.92,0.905,0.0404,0.00%,0.015169999999999998,N
19-Oct-2020,0.9,0.92,0.92,0.895,0.0341,-0.55%,0.017979999999999996,N
20-Oct-2020,0.9,0.85,0.9,0.85,0.005,0.00%,0.017879999999999997,N
26-Oct-2020,0.895,0.895,0.895,0.895,0.002,-0.56%,0.017279999999999997,N
27-Oct-2020,0.91,0.89,0.91,0.86,0.0229,1.68%,0.019009999999999996,N
30-Oct-2020,0.865,0.87,0.87,0.855,0.01,-4.95%,0.019909999999999997,N
02-Nov-2020,0.825,0.825,0.825,0.825,0.002,-4.62%,0.020069999999999998,N
03-Nov-2020,0.845,0.85,0.85,0.845,0.18,2.42%,0.037419999999999995,N
04-Nov-2020,0.845,0.845,0.85,0.84,0.054000000000000006,0.00%,0.03601999999999999,N
05-Nov-2020,0.835,0.83,0.835,0.83,0.0135,-1.18%,0.03638999999999999,N
06-Nov-2020,0.88,0.845,0.88,0.845,0.15109999999999998,5.39%,0.04745999999999999,N
09-Nov-2020,0.86,0.86,0.86,0.86,0.001,-2.27%,0.04414999999999999,N
10-Nov-2020,0.91,0.86,0.91,0.86,0.0175,5.81%,0.04539999999999999,N
11-Nov-2020,0.93,0.91,0.94,0.86,0.0692,2.20%,0.052119999999999986,N
12-Nov-2020,0.88,0.88,0.88,0.88,0.0001,-5.38%,0.04983999999999999,N
13-Nov-2020,0.86,0.88,0.88,0.86,0.001,-2.27%,0.04893999999999999,N
16-Nov-2020,0.87,0.87,0.87,0.87,0.035,1.16%,0.05223999999999999,N
17-Nov-2020,0.9,0.87,0.9,0.87,0.013999999999999999,3.45%,0.03563999999999999,N
18-Nov-2020,0.92,0.9,0.92,0.9,0.0494,2.22%,0.03517999999999999,N
19-Nov-2020,0.905,0.9,0.905,0.89,0.0126,-1.63%,0.03508999999999999,N
20-Nov-2020,0.935,0.9,0.935,0.9,0.0327,3.31%,0.02324999999999999,N
23-Nov-2020,0.92,0.915,0.92,0.915,0.0924,-1.60%,0.03238999999999999,N
24-Nov-2020,0.91,0.91,0.91,0.91,0.022000000000000002,-1.09%,0.032839999999999994,N
25-Nov-2020,0.905,0.91,0.91,0.905,0.0014,-0.55%,0.026059999999999993,N
26-Nov-2020,0.935,0.905,0.94,0.905,0.1247,3.31%,0.03852,N
