Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.795,0.805,0.81,0.79,2.21,-1.24%,,N
29-Sep-2020,0.815,0.815,0.825,0.8,1.54,2.52%,,N
30-Sep-2020,0.81,0.83,0.835,0.805,1.45,-0.61%,,N
01-Oct-2020,0.81,0.805,0.835,0.8,1.68,0.00%,,N
02-Oct-2020,0.87,0.82,0.92,0.81,7.09,7.41%,,N
05-Oct-2020,0.84,0.87,0.87,0.83,1.8,-3.45%,,N
06-Oct-2020,0.825,0.86,0.87,0.825,2.08,-1.79%,,N
07-Oct-2020,0.825,0.81,0.83,0.8,1.42,0.00%,,N
08-Oct-2020,0.83,0.83,0.85,0.82,0.9415,0.61%,,N
09-Oct-2020,0.86,0.835,0.87,0.835,3.37,3.61%,2.3581500000000006,N
12-Oct-2020,0.865,0.875,0.9,0.865,4.28,0.58%,2.5651500000000005,N
13-Oct-2020,0.855,0.865,0.865,0.835,1.67,-1.16%,2.578150000000001,N
14-Oct-2020,0.845,0.84,0.85,0.83,1.37,-1.17%,2.570150000000001,N
15-Oct-2020,0.845,0.845,0.88,0.83,3.41,0.00%,2.743150000000001,N
16-Oct-2020,0.85,0.855,0.86,0.84,1.26,0.59%,2.160150000000001,N
19-Oct-2020,0.85,0.845,0.85,0.835,1.29,0.00%,2.109150000000001,N
20-Oct-2020,0.84,0.84,0.845,0.83,1.71,-1.18%,2.0721500000000015,N
21-Oct-2020,0.855,0.845,0.86,0.835,3.32,1.79%,2.262150000000001,N
22-Oct-2020,0.85,0.87,0.875,0.84,3.1,-0.58%,2.478000000000001,N
23-Oct-2020,0.83,0.845,0.845,0.83,1.25,-2.35%,2.266000000000001,N
26-Oct-2020,0.81,0.83,0.83,0.805,1.78,-2.41%,2.016000000000001,N
27-Oct-2020,0.815,0.81,0.83,0.81,0.5043,0.62%,1.899430000000001,N
28-Oct-2020,0.815,0.815,0.82,0.805,1.25,0.00%,1.8874300000000008,N
30-Oct-2020,0.78,0.8,0.8,0.775,2.22,-4.29%,1.7684300000000008,N
02-Nov-2020,0.765,0.78,0.78,0.76,1.09,-1.92%,1.7514300000000005,N
03-Nov-2020,0.805,0.855,0.86,0.8,2.46,5.23%,1.8684300000000007,N
04-Nov-2020,0.81,0.825,0.83,0.8,0.9714,0.62%,1.7945700000000007,N
05-Nov-2020,0.815,0.815,0.82,0.81,0.8523,0.62%,1.5478000000000005,N
06-Nov-2020,0.85,0.845,0.86,0.835,4.76,4.29%,1.7138000000000004,N
09-Nov-2020,0.885,0.87,0.89,0.86,5.49,4.12%,2.137800000000001,N
10-Nov-2020,0.82,0.8,0.83,0.78,3.95,-7.34%,2.3548000000000004,N
11-Nov-2020,0.815,0.825,0.83,0.815,1.15,-0.61%,2.4193700000000002,N
12-Nov-2020,0.805,0.81,0.82,0.805,1.09,-1.23%,2.4033700000000002,N
13-Nov-2020,0.81,0.805,0.815,0.805,1.09,0.62%,2.2903700000000002,N
16-Nov-2020,0.81,0.815,0.82,0.8,1.42,0.00%,2.32337,N
17-Nov-2020,0.805,0.815,0.815,0.795,1.58,-0.62%,2.2353700000000005,N
18-Nov-2020,0.805,0.805,0.805,0.795,0.7285,0.00%,2.2110800000000004,N
19-Nov-2020,0.79,0.8,0.8,0.79,0.6369,-1.86%,2.1895400000000005,N
20-Nov-2020,0.825,0.795,0.84,0.79,2.65,4.43%,1.9785400000000002,N
23-Nov-2020,0.805,0.825,0.825,0.805,0.8979,-2.42%,1.5193300000000003,N
24-Nov-2020,0.79,0.8,0.8,0.785,1.32,-1.86%,1.2563300000000002,N
25-Nov-2020,0.79,0.785,0.795,0.775,1.32,0.00%,1.27333,N
26-Nov-2020,0.785,0.79,0.795,0.785,0.4837,-0.63%,1.2127000000000003,N
