Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.65,0.65,0.65,0.645,0.1397,1.56%,,N
29-Sep-2020,0.645,0.65,0.65,0.645,0.0478,-0.77%,,N
30-Sep-2020,0.64,0.645,0.645,0.64,0.0593,-0.78%,,N
01-Oct-2020,0.64,0.64,0.645,0.64,0.026000000000000002,0.00%,,N
02-Oct-2020,0.645,0.64,0.65,0.64,0.1674,0.78%,,N
05-Oct-2020,0.645,0.645,0.645,0.635,0.1603,0.00%,,N
06-Oct-2020,0.645,0.645,0.65,0.635,0.2217,0.00%,,N
07-Oct-2020,0.64,0.65,0.65,0.64,0.1702,-0.78%,,N
08-Oct-2020,0.65,0.645,0.68,0.645,1.45,1.56%,,N
09-Oct-2020,0.66,0.66,0.66,0.655,0.1477,1.54%,0.25901,N
12-Oct-2020,0.66,0.65,0.665,0.65,0.3744,0.00%,0.28248,N
13-Oct-2020,0.66,0.66,0.675,0.655,0.2209,0.00%,0.29979,N
14-Oct-2020,0.66,0.67,0.67,0.655,0.0823,0.00%,0.30209,N
15-Oct-2020,0.665,0.66,0.665,0.655,0.2083,0.76%,0.32032000000000005,N
16-Oct-2020,0.665,0.67,0.67,0.65,0.191,0.00%,0.32267999999999997,N
19-Oct-2020,0.685,0.665,0.695,0.665,2.14,3.01%,0.52065,N
20-Oct-2020,0.67,0.69,0.69,0.67,0.6494,-2.19%,0.5634199999999999,N
21-Oct-2020,0.66,0.68,0.685,0.655,0.7261,-1.49%,0.6190099999999998,N
22-Oct-2020,0.66,0.67,0.67,0.655,0.1332,0.00%,0.4873299999999999,N
23-Oct-2020,0.645,0.665,0.665,0.645,0.4417,-2.27%,0.5167299999999998,N
26-Oct-2020,0.635,0.645,0.65,0.63,0.4452,-1.55%,0.5238099999999999,N
27-Oct-2020,0.635,0.64,0.65,0.635,0.1293,0.00%,0.5146499999999998,N
28-Oct-2020,0.635,0.655,0.655,0.62,0.31360000000000005,0.00%,0.5377799999999998,N
30-Oct-2020,0.63,0.625,0.635,0.605,0.452,-0.79%,0.5621499999999997,N
02-Nov-2020,0.61,0.61,0.635,0.6,0.30060000000000003,-3.17%,0.5731099999999998,N
03-Nov-2020,0.63,0.62,0.63,0.615,0.1382,3.28%,0.3729299999999998,N
04-Nov-2020,0.635,0.63,0.64,0.63,0.1171,0.79%,0.3196999999999998,N
05-Nov-2020,0.645,0.64,0.65,0.635,0.1431,1.57%,0.2613999999999998,N
06-Nov-2020,0.64,0.64,0.64,0.635,0.061,-0.78%,0.2541799999999998,N
09-Nov-2020,0.645,0.64,0.66,0.64,0.4608,0.78%,0.2560899999999998,N
10-Nov-2020,0.65,0.645,0.655,0.64,0.3841,0.78%,0.2499799999999998,N
11-Nov-2020,0.68,0.65,0.68,0.65,1.73,4.62%,0.41004999999999986,N
12-Nov-2020,0.71,0.68,0.72,0.68,3.68,4.41%,0.7466899999999999,N
13-Nov-2020,0.7,0.715,0.72,0.695,0.9273,-1.41%,0.7942199999999998,N
16-Nov-2020,0.695,0.705,0.725,0.695,1.42,-0.71%,0.9061599999999999,N
17-Nov-2020,0.7,0.7,0.7,0.68,0.82,0.72%,0.97434,N
18-Nov-2020,0.7,0.7,0.705,0.695,0.2516,0.00%,0.9877899999999998,N
19-Nov-2020,0.695,0.695,0.705,0.69,0.5007,-0.71%,1.0235499999999997,N
20-Nov-2020,0.73,0.7,0.73,0.7,3.95,5.04%,1.4124499999999998,N
23-Nov-2020,0.72,0.73,0.735,0.72,0.9177,-1.37%,1.4581399999999998,N
24-Nov-2020,1.02,0.76,1.02,0.75,86.46,41.67%,10.065729999999999,Y
25-Nov-2020,0.94,1.02,1.12,0.915,76.6,-7.84%,17.55273,N
26-Nov-2020,0.95,0.945,0.995,0.915,18.6,1.06%,19.044729999999998,N
