Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.18,1.19,1.21,1.16,1.91,-0.84%,,N
29-Sep-2020,1.18,1.2,1.2,1.18,0.3941,0.00%,,N
30-Sep-2020,1.18,1.19,1.2,1.17,0.6409,0.00%,,N
01-Oct-2020,1.19,1.18,1.19,1.17,0.5166000000000001,0.85%,,N
02-Oct-2020,1.17,1.18,1.18,1.16,1.17,-1.68%,,N
05-Oct-2020,1.17,1.17,1.18,1.16,0.3292,0.00%,,N
06-Oct-2020,1.17,1.17,1.18,1.16,0.7823,0.00%,,N
07-Oct-2020,1.24,1.17,1.24,1.17,2.01,5.98%,,N
08-Oct-2020,1.21,1.25,1.26,1.21,0.8505,-2.42%,,N
09-Oct-2020,1.2,1.2,1.22,1.2,0.2318,-0.83%,0.88354,N
12-Oct-2020,1.18,1.21,1.21,1.18,0.674,-1.67%,0.75994,N
13-Oct-2020,1.17,1.18,1.2,1.17,1.09,-0.85%,0.8295299999999999,N
14-Oct-2020,1.18,1.17,1.19,1.17,0.6559999999999999,0.85%,0.83104,N
15-Oct-2020,1.18,1.19,1.2,1.17,0.6562,0.00%,0.845,N
16-Oct-2020,1.18,1.19,1.19,1.18,0.6637000000000001,0.00%,0.79437,N
19-Oct-2020,1.17,1.18,1.2,1.17,0.8749,-0.85%,0.84894,N
20-Oct-2020,1.17,1.17,1.18,1.16,1.33,0.00%,0.90371,N
21-Oct-2020,1.16,1.17,1.18,1.15,3.0,-0.85%,1.00271,N
22-Oct-2020,1.14,1.16,1.16,1.14,1.26,-1.72%,1.04366,N
23-Oct-2020,1.14,1.14,1.17,1.14,3.45,0.00%,1.3654800000000002,N
26-Oct-2020,1.12,1.15,1.15,1.1,2.78,-1.75%,1.5760800000000004,N
27-Oct-2020,1.14,1.11,1.14,1.1,1.08,1.79%,1.5750800000000003,N
28-Oct-2020,1.12,1.13,1.13,1.11,0.5055,-1.75%,1.5600300000000002,N
30-Oct-2020,1.07,1.12,1.12,1.06,2.26,-4.46%,1.7204100000000004,N
02-Nov-2020,1.04,1.07,1.07,1.01,2.07,-2.80%,1.8610400000000005,N
03-Nov-2020,1.05,1.03,1.07,1.03,1.41,0.96%,1.9145500000000006,N
04-Nov-2020,1.09,1.07,1.11,1.06,1.97,3.81%,1.9785500000000007,N
05-Nov-2020,1.17,1.11,1.17,1.11,3.37,7.34%,2.0155500000000006,N
06-Nov-2020,1.2,1.2,1.21,1.16,4.99,2.56%,2.3885500000000004,N
09-Nov-2020,1.23,1.19,1.26,1.16,8.19,2.50%,2.8625500000000006,N
10-Nov-2020,1.2,1.24,1.25,1.19,3.54,-2.44%,2.9385500000000007,N
11-Nov-2020,1.2,1.21,1.22,1.2,1.67,0.00%,2.9975500000000013,N
12-Nov-2020,1.18,1.2,1.2,1.17,1.68,-1.67%,3.115000000000001,N
13-Nov-2020,1.19,1.19,1.2,1.16,0.6685,0.85%,2.9558500000000008,N
16-Nov-2020,1.22,1.19,1.26,1.19,6.09,2.52%,3.3578500000000013,N
17-Nov-2020,1.3,1.24,1.31,1.23,9.4,6.56%,4.156850000000001,N
18-Nov-2020,1.26,1.3,1.31,1.25,4.45,-3.08%,4.4048500000000015,N
19-Nov-2020,1.26,1.26,1.26,1.23,1.47,0.00%,4.214850000000002,N
20-Nov-2020,1.28,1.27,1.31,1.25,4.4,1.59%,4.155850000000002,N
23-Nov-2020,1.28,1.28,1.29,1.26,1.25,0.00%,3.461850000000002,N
24-Nov-2020,1.25,1.28,1.28,1.24,2.43,-1.57%,3.350850000000002,N
25-Nov-2020,1.24,1.25,1.26,1.23,1.16,-0.80%,3.2998500000000015,N
26-Nov-2020,1.26,1.25,1.27,1.23,1.58,1.61%,3.2898500000000013,N
