Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.615,0.59,0.615,0.59,0.0328,4.24%,,N
29-Sep-2020,0.615,0.615,0.615,0.615,0.021,0.00%,,N
01-Oct-2020,0.59,0.59,0.59,0.59,0.002,-4.07%,,N
02-Oct-2020,0.63,0.63,0.63,0.63,0.002,6.78%,,N
14-Oct-2020,0.61,0.61,0.61,0.61,0.0006,-3.17%,,N
15-Oct-2020,0.61,0.61,0.61,0.61,0.0166,0.00%,,N
16-Oct-2020,0.63,0.61,0.63,0.61,0.0245,3.28%,,N
20-Oct-2020,0.6,0.6,0.6,0.6,0.022000000000000002,-4.76%,,N
22-Oct-2020,0.6,0.6,0.6,0.6,0.027999999999999997,0.00%,,N
23-Oct-2020,0.6,0.6,0.6,0.6,0.005,0.00%,0.015450000000000002,N
26-Oct-2020,0.61,0.61,0.61,0.61,0.001,1.67%,0.012270000000000003,N
28-Oct-2020,0.61,0.61,0.61,0.61,0.0051,0.00%,0.010680000000000002,N
05-Nov-2020,0.61,0.61,0.61,0.61,0.0044,0.00%,0.010920000000000003,N
09-Nov-2020,0.6,0.6,0.6,0.6,0.0187,-1.64%,0.01259,N
10-Nov-2020,0.6,0.6,0.6,0.6,0.012,0.00%,0.013730000000000003,N
11-Nov-2020,0.595,0.6,0.6,0.595,0.044000000000000004,-0.83%,0.016470000000000005,N
12-Nov-2020,0.6,0.6,0.6,0.6,0.046,0.84%,0.018620000000000005,N
13-Nov-2020,0.6,0.6,0.6,0.6,0.005,0.00%,0.016920000000000008,N
16-Nov-2020,0.6,0.6,0.6,0.6,0.0116,0.00%,0.015280000000000007,N
17-Nov-2020,0.605,0.6,0.605,0.6,0.013999999999999999,0.83%,0.016180000000000007,N
18-Nov-2020,0.61,0.6,0.61,0.595,0.2355,0.83%,0.039630000000000006,Y
19-Nov-2020,0.61,0.61,0.61,0.61,0.005,0.00%,0.03962,N
20-Nov-2020,0.63,0.61,0.63,0.61,0.023,3.28%,0.04148,N
24-Nov-2020,0.61,0.61,0.61,0.61,0.0339,-3.17%,0.043000000000000003,N
25-Nov-2020,0.625,0.625,0.625,0.625,0.0038,2.46%,0.04218000000000001,N
26-Nov-2020,0.62,0.625,0.645,0.615,0.3034,-0.80%,0.06812,N
