Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.92,0.92,0.92,0.9,0.1377,2.22%,,N
29-Sep-2020,0.91,0.92,0.95,0.905,0.3027,-1.09%,,N
30-Sep-2020,0.91,0.91,0.92,0.905,0.1137,0.00%,,N
01-Oct-2020,0.9,0.91,0.915,0.9,0.1652,-1.10%,,N
02-Oct-2020,0.905,0.925,0.925,0.9,0.15780000000000002,0.56%,,N
05-Oct-2020,0.88,0.91,0.91,0.875,0.5097,-2.76%,,N
06-Oct-2020,0.855,0.89,0.91,0.855,0.7875,-2.84%,,N
07-Oct-2020,0.875,0.87,0.895,0.865,0.165,2.34%,,N
08-Oct-2020,0.9,0.905,0.905,0.875,0.3959,2.86%,,N
09-Oct-2020,0.915,0.89,0.93,0.89,0.4561,1.67%,0.31913,N
12-Oct-2020,0.95,0.94,0.96,0.93,0.4117,3.83%,0.34653000000000006,N
13-Oct-2020,0.93,0.95,0.95,0.925,0.1018,-2.11%,0.32644,N
14-Oct-2020,0.92,0.93,0.93,0.91,0.1921,-1.08%,0.33428,N
15-Oct-2020,0.94,0.915,0.94,0.915,0.1888,2.17%,0.33664,N
16-Oct-2020,0.93,0.925,0.945,0.925,0.31410000000000005,-1.06%,0.35227,N
19-Oct-2020,1.02,0.95,1.03,0.95,1.6,9.68%,0.46129999999999993,N
20-Oct-2020,1.0,1.04,1.05,1.0,0.9854,-1.96%,0.48109,N
21-Oct-2020,0.985,1.0,1.02,0.98,0.3725,-1.50%,0.50184,N
22-Oct-2020,0.99,1.0,1.02,0.99,0.2574,0.51%,0.4879899999999999,N
23-Oct-2020,0.96,1.0,1.0,0.955,0.3529,-3.03%,0.47766999999999993,N
26-Oct-2020,0.945,0.96,0.96,0.935,0.2055,-1.56%,0.4570499999999999,N
27-Oct-2020,0.945,0.945,0.945,0.935,0.14809999999999998,0.00%,0.46168,N
28-Oct-2020,0.925,0.945,0.945,0.92,0.312,-2.12%,0.47367,N
30-Oct-2020,0.9,0.92,0.92,0.9,0.452,-2.70%,0.49999000000000005,N
02-Nov-2020,0.905,0.9,0.92,0.895,0.1521,0.56%,0.48379000000000005,N
03-Nov-2020,0.92,0.93,0.93,0.92,0.0363,1.66%,0.32742,N
04-Nov-2020,0.93,0.92,0.94,0.92,0.1243,1.09%,0.24131,N
05-Nov-2020,0.95,0.935,0.96,0.935,0.34700000000000003,2.15%,0.23876,N
06-Nov-2020,0.925,0.965,0.965,0.925,0.26880000000000004,-2.63%,0.2399,N
09-Nov-2020,0.915,0.925,0.935,0.915,0.3921,-1.08%,0.24382,N
10-Nov-2020,0.935,0.915,0.96,0.915,0.713,2.19%,0.29457000000000005,N
11-Nov-2020,0.925,0.94,0.94,0.925,0.2523,-1.07%,0.30499000000000004,N
12-Nov-2020,0.935,0.925,0.94,0.925,0.1455,1.08%,0.2883400000000001,N
13-Nov-2020,0.945,0.94,0.945,0.93,0.3163,1.07%,0.27477000000000007,N
16-Nov-2020,0.94,0.945,0.945,0.93,0.2992,-0.53%,0.28948000000000007,N
17-Nov-2020,0.935,0.945,0.945,0.935,0.26780000000000004,-0.53%,0.31263000000000013,N
18-Nov-2020,0.93,0.935,0.95,0.925,0.4523,-0.53%,0.3454300000000002,N
19-Nov-2020,0.92,0.935,0.935,0.92,0.2153,-1.08%,0.33226000000000017,N
20-Nov-2020,0.93,0.94,0.94,0.92,0.2449,1.09%,0.32987000000000016,N
23-Nov-2020,0.925,0.92,0.935,0.92,0.1273,-0.54%,0.30339000000000016,N
24-Nov-2020,0.97,0.93,0.97,0.92,0.7049,4.86%,0.3025800000000001,N
25-Nov-2020,0.94,0.97,0.97,0.93,0.3643,-3.09%,0.3137800000000001,N
26-Nov-2020,0.945,0.935,0.945,0.935,0.1172,0.53%,0.3109500000000001,N
