Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.85,0.85,0.85,0.85,0.047700000000000006,0.00%,,N
30-Sep-2020,0.92,0.92,0.92,0.92,0.0002,8.24%,,N
02-Oct-2020,0.915,0.915,0.915,0.915,0.0001,-0.54%,,N
13-Oct-2020,0.8,0.8,0.8,0.8,0.006999999999999999,-12.57%,,N
14-Oct-2020,0.88,0.88,0.88,0.88,0.0041,10.00%,,N
26-Oct-2020,0.875,0.875,0.875,0.875,0.03,-0.57%,,N
28-Oct-2020,0.78,0.8,0.8,0.78,0.0368,-10.86%,,N
30-Oct-2020,0.775,0.775,0.775,0.775,0.0158,-0.64%,,N
02-Nov-2020,0.82,0.8,0.82,0.8,0.016800000000000002,5.81%,,N
03-Nov-2020,0.79,0.795,0.795,0.79,0.08199999999999999,-3.66%,0.024050000000000002,N
04-Nov-2020,0.86,0.86,0.86,0.86,0.011000000000000001,8.86%,0.02038,N
05-Nov-2020,0.89,0.88,0.89,0.88,0.0513,3.49%,0.025490000000000002,N
06-Nov-2020,0.9,0.89,0.9,0.89,0.027000000000000003,1.12%,0.028180000000000004,N
11-Nov-2020,0.95,0.9,0.95,0.9,0.028999999999999998,5.56%,0.030380000000000008,N
16-Nov-2020,0.9,0.9,0.9,0.9,0.001,-5.26%,0.030070000000000006,N
17-Nov-2020,1.0,1.0,1.0,1.0,0.01,11.11%,0.028070000000000005,N
23-Nov-2020,0.95,1.0,1.0,0.95,0.04,-5.00%,0.028390000000000006,N
