Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.595,0.58,0.595,0.565,0.9147,0.85%,,N
29-Sep-2020,0.605,0.595,0.61,0.57,10.27,1.68%,,N
30-Sep-2020,0.58,0.605,0.61,0.58,2.4,-4.13%,,N
01-Oct-2020,0.58,0.58,0.585,0.575,0.8619,0.00%,,N
02-Oct-2020,0.59,0.575,0.59,0.575,2.56,1.72%,,N
05-Oct-2020,0.58,0.595,0.595,0.58,1.17,-1.69%,,N
06-Oct-2020,0.585,0.585,0.59,0.58,0.3209,0.86%,,N
07-Oct-2020,0.575,0.58,0.595,0.575,1.2,-1.71%,,N
08-Oct-2020,0.575,0.57,0.58,0.57,0.3322,0.00%,,N
09-Oct-2020,0.57,0.575,0.585,0.57,2.02,-0.87%,2.2049700000000003,N
12-Oct-2020,0.58,0.57,0.59,0.565,6.7,1.75%,2.7835,N
13-Oct-2020,0.57,0.575,0.58,0.56,6.26,-1.72%,2.3825,N
14-Oct-2020,0.565,0.565,0.575,0.56,7.26,-0.88%,2.8685,N
15-Oct-2020,0.575,0.56,0.575,0.56,5.0,1.77%,3.2823100000000003,N
16-Oct-2020,0.6,0.565,0.6,0.565,11.89,4.35%,4.215310000000001,N
19-Oct-2020,0.59,0.6,0.605,0.585,2.24,-1.67%,4.32231,N
20-Oct-2020,0.58,0.58,0.595,0.575,3.7,-1.69%,4.660220000000001,N
21-Oct-2020,0.57,0.585,0.585,0.56,5.33,-1.72%,5.07322,N
22-Oct-2020,0.55,0.575,0.575,0.55,10.44,-3.51%,6.084,N
23-Oct-2020,0.55,0.555,0.56,0.55,3.99,0.00%,6.281,N
26-Oct-2020,0.555,0.55,0.555,0.545,0.7706000000000001,0.91%,5.688059999999999,N
27-Oct-2020,0.555,0.555,0.565,0.55,2.67,0.00%,5.32906,N
28-Oct-2020,0.55,0.555,0.565,0.545,2.07,-0.90%,4.81006,N
30-Oct-2020,0.54,0.55,0.555,0.54,2.47,-1.82%,4.55706,N
02-Nov-2020,0.535,0.54,0.54,0.535,0.8635,-0.93%,3.45441,N
03-Nov-2020,0.545,0.54,0.545,0.54,1.39,1.87%,3.36941,N
04-Nov-2020,0.545,0.545,0.545,0.545,0.5675,0.00%,3.05616,N
05-Nov-2020,0.565,0.55,0.575,0.545,4.47,3.67%,2.970160000000001,N
06-Nov-2020,0.575,0.565,0.58,0.565,0.6457999999999999,1.77%,1.990740000000001,N
09-Nov-2020,0.575,0.575,0.585,0.57,2.79,0.00%,1.8707400000000007,N
10-Nov-2020,0.585,0.58,0.595,0.58,3.44,1.74%,2.1376800000000005,N
11-Nov-2020,0.595,0.585,0.595,0.585,0.9656,1.71%,1.9672400000000003,N
12-Nov-2020,0.58,0.59,0.59,0.575,6.3,-2.52%,2.3902400000000004,N
13-Nov-2020,0.595,0.58,0.595,0.57,2.62,2.59%,2.4052400000000005,N
16-Nov-2020,0.585,0.585,0.595,0.58,2.65,-1.68%,2.5838900000000007,N
17-Nov-2020,0.6,0.595,0.605,0.585,10.05,2.56%,3.449890000000001,N
18-Nov-2020,0.59,0.6,0.6,0.585,3.02,-1.67%,3.6951400000000008,N
19-Nov-2020,0.58,0.585,0.595,0.58,3.68,-1.69%,3.6161400000000006,N
20-Nov-2020,0.575,0.585,0.585,0.575,5.62,-0.86%,4.1135600000000005,N
23-Nov-2020,0.57,0.575,0.585,0.565,8.04,-0.87%,4.63856,N
24-Nov-2020,0.56,0.575,0.58,0.56,5.13,-1.75%,4.8075600000000005,N
25-Nov-2020,0.58,0.565,0.58,0.565,3.34,3.57%,5.045000000000001,N
26-Nov-2020,0.575,0.57,0.575,0.565,3.52,-0.86%,4.767000000000001,N
