Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
"Nov 26, 2020",0.53,0.495,0.535,0.495,0.4166,8.16%,,N
"Nov 25, 2020",0.49,0.49,0.495,0.49,0.1519,-1.01%,,N
"Nov 24, 2020",0.495,0.485,0.495,0.485,0.4122,2.06%,,N
"Nov 23, 2020",0.485,0.47,0.515,0.47,1.37,6.59%,,N
"Nov 20, 2020",0.455,0.46,0.46,0.44,0.0648,-2.15%,,N
"Nov 19, 2020",0.465,0.47,0.47,0.455,0.1826,3.33%,,N
"Nov 18, 2020",0.45,0.46,0.47,0.45,0.1375,-4.26%,,N
"Nov 17, 2020",0.47,0.465,0.47,0.46,0.2191,1.08%,,N
"Nov 16, 2020",0.465,0.455,0.475,0.455,0.4071,5.68%,,N
"Nov 13, 2020",0.44,0.43,0.44,0.43,0.0425,2.33%,0.34043000000000007,N
"Nov 12, 2020",0.43,0.455,0.455,0.43,0.008,-5.49%,0.29957000000000006,N
"Nov 11, 2020",0.455,0.445,0.455,0.43,0.207,3.41%,0.3050800000000001,N
"Nov 10, 2020",0.44,0.42,0.44,0.42,0.1922,0.00%,0.2830800000000001,N
"Nov 06, 2020",0.44,0.44,0.445,0.44,0.265,-1.12%,0.1725800000000001,N
"Nov 05, 2020",0.445,0.42,0.445,0.41,0.129,5.95%,0.1790000000000001,N
"Nov 04, 2020",0.42,0.42,0.42,0.42,0.023,0.00%,0.16304000000000007,N
"Nov 03, 2020",0.42,0.42,0.42,0.42,0.0398,0.00%,0.15327000000000007,N
"Nov 02, 2020",0.42,0.42,0.42,0.42,0.006999999999999999,0.00%,0.13206000000000007,N
"Oct 30, 2020",0.42,0.42,0.42,0.42,0.0095,-4.55%,0.09230000000000008,N
"Oct 26, 2020",0.44,0.445,0.445,0.44,0.0025,-1.12%,0.08830000000000007,N
