Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,1.37,1.38,1.39,1.37,1.39,-1.44%,,N
29-Sep-2020,1.39,1.38,1.39,1.35,3.5,1.46%,,N
30-Sep-2020,1.37,1.39,1.39,1.36,1.7,-1.44%,,N
01-Oct-2020,1.37,1.38,1.38,1.36,1.91,0.00%,,N
02-Oct-2020,1.37,1.37,1.38,1.35,3.01,0.00%,,N
05-Oct-2020,1.38,1.38,1.38,1.36,1.53,0.73%,,N
06-Oct-2020,1.38,1.38,1.38,1.36,2.06,0.00%,,N
07-Oct-2020,1.4,1.38,1.4,1.37,1.45,1.45%,,N
08-Oct-2020,1.4,1.4,1.4,1.38,1.05,0.00%,,N
09-Oct-2020,1.39,1.4,1.4,1.39,1.73,-0.71%,1.9330000000000003,N
12-Oct-2020,1.39,1.39,1.39,1.38,0.6496000000000001,0.00%,1.8589600000000002,N
13-Oct-2020,1.37,1.38,1.38,1.37,1.98,-1.44%,1.70696,N
14-Oct-2020,1.37,1.38,1.38,1.36,3.25,0.00%,1.8619600000000003,N
15-Oct-2020,1.37,1.37,1.37,1.36,2.02,0.00%,1.8729600000000002,N
16-Oct-2020,1.37,1.37,1.38,1.36,0.9453,0.00%,1.6664900000000002,N
19-Oct-2020,1.38,1.37,1.38,1.36,4.01,0.73%,1.91449,N
20-Oct-2020,1.38,1.38,1.39,1.37,2.63,0.00%,1.97149,N
21-Oct-2020,1.38,1.38,1.38,1.36,2.3,0.00%,2.05649,N
22-Oct-2020,1.38,1.38,1.39,1.37,1.62,0.00%,2.11349,N
23-Oct-2020,1.38,1.38,1.38,1.36,3.88,0.00%,2.32849,N
26-Oct-2020,1.38,1.38,1.38,1.36,1.65,0.00%,2.42853,N
27-Oct-2020,1.35,1.38,1.38,1.35,6.96,-2.17%,2.92653,N
28-Oct-2020,1.35,1.35,1.36,1.34,3.58,0.00%,2.95953,N
30-Oct-2020,1.34,1.35,1.35,1.33,2.2,-0.74%,2.9775300000000002,N
02-Nov-2020,1.34,1.35,1.35,1.33,2.64,0.00%,3.1470000000000002,N
03-Nov-2020,1.34,1.33,1.35,1.33,1.55,0.00%,2.9010000000000007,N
04-Nov-2020,1.32,1.33,1.35,1.31,3.94,-1.49%,3.0320000000000005,N
05-Nov-2020,1.25,1.27,1.29,1.25,4.8,-5.30%,3.282000000000001,N
06-Nov-2020,1.28,1.26,1.29,1.26,1.9,2.40%,3.310000000000001,N
09-Nov-2020,1.24,1.28,1.29,1.24,5.26,-3.12%,3.4480000000000004,N
10-Nov-2020,1.26,1.25,1.27,1.24,4.08,1.61%,3.6910000000000003,N
11-Nov-2020,1.23,1.27,1.28,1.23,7.12,-2.38%,3.707,N
12-Nov-2020,1.26,1.24,1.27,1.22,5.84,2.44%,3.933,N
13-Nov-2020,1.24,1.26,1.27,1.24,4.54,-1.59%,4.167,N
16-Nov-2020,1.27,1.25,1.28,1.25,5.12,2.42%,4.414999999999999,N
17-Nov-2020,1.35,1.27,1.35,1.27,10.81,6.30%,5.340999999999999,N
18-Nov-2020,1.32,1.35,1.35,1.3,7.79,-2.22%,5.726,N
19-Nov-2020,1.32,1.32,1.32,1.3,6.35,0.00%,5.881,N
20-Nov-2020,1.33,1.32,1.33,1.31,4.44,0.76%,6.135,N
23-Nov-2020,1.35,1.33,1.36,1.32,4.02,1.50%,6.011000000000001,N
24-Nov-2020,1.33,1.36,1.36,1.33,2.51,-1.48%,5.854000000000001,N
25-Nov-2020,1.3,1.34,1.35,1.3,2.84,-2.26%,5.426000000000001,N
26-Nov-2020,1.33,1.31,1.33,1.3,1.13,2.31%,4.955000000000001,N
