Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.57,0.6,0.62,0.55,2.68,-5.00%,,N
29-Sep-2020,0.56,0.57,0.58,0.555,1.2,-1.75%,,N
30-Sep-2020,0.53,0.56,0.56,0.525,1.93,-5.36%,,N
01-Oct-2020,0.555,0.53,0.57,0.515,1.01,4.72%,,N
02-Oct-2020,0.52,0.555,0.56,0.52,1.41,-6.31%,,N
05-Oct-2020,0.53,0.52,0.535,0.51,0.9455,1.92%,,N
06-Oct-2020,0.56,0.53,0.565,0.53,1.67,5.66%,,N
07-Oct-2020,0.545,0.565,0.575,0.545,1.33,-2.68%,,N
08-Oct-2020,0.54,0.545,0.545,0.52,0.6434,-0.92%,,N
09-Oct-2020,0.53,0.53,0.54,0.53,0.4838,-1.85%,1.33027,N
12-Oct-2020,0.545,0.545,0.545,0.53,0.4624,2.83%,1.10851,N
13-Oct-2020,0.555,0.55,0.56,0.535,0.2506,1.83%,1.01357,N
14-Oct-2020,0.59,0.63,0.645,0.58,4.05,6.31%,1.22557,N
15-Oct-2020,0.55,0.585,0.585,0.55,0.7623,-6.78%,1.2008,N
16-Oct-2020,0.56,0.56,0.56,0.545,0.6684,1.82%,1.12664,N
19-Oct-2020,0.575,0.57,0.575,0.56,0.3282,2.68%,1.06491,N
20-Oct-2020,0.58,0.57,0.58,0.555,0.318,0.87%,0.92971,N
21-Oct-2020,0.59,0.58,0.6,0.575,0.7322000000000001,1.72%,0.8699300000000001,N
22-Oct-2020,0.59,0.59,0.6,0.585,0.2709,0.00%,0.8326800000000001,N
23-Oct-2020,0.57,0.59,0.595,0.57,0.7253999999999999,-3.39%,0.85684,N
26-Oct-2020,0.565,0.56,0.575,0.55,0.4658,-0.88%,0.8571799999999999,N
27-Oct-2020,0.565,0.555,0.565,0.555,0.0398,0.00%,0.8360999999999998,N
28-Oct-2020,0.56,0.555,0.56,0.55,0.1121,-0.88%,0.44230999999999987,N
30-Oct-2020,0.545,0.55,0.56,0.54,0.455,-2.68%,0.41157999999999995,N
02-Nov-2020,0.53,0.545,0.545,0.53,0.4147,-2.75%,0.3862099999999999,N
03-Nov-2020,0.58,0.535,0.59,0.535,0.4843,9.43%,0.40181999999999995,N
04-Nov-2020,0.56,0.59,0.59,0.555,0.2532,-3.45%,0.3953399999999999,N
05-Nov-2020,0.58,0.58,0.585,0.57,0.1656,3.57%,0.33867999999999987,N
06-Nov-2020,0.58,0.59,0.59,0.575,0.5008,0.00%,0.3616699999999998,N
09-Nov-2020,0.57,0.575,0.58,0.57,0.0915,-1.72%,0.2982799999999998,N
10-Nov-2020,0.58,0.565,0.58,0.55,0.3813,1.75%,0.2898299999999998,N
11-Nov-2020,0.585,0.58,0.585,0.57,0.3334,0.86%,0.3191899999999998,N
12-Nov-2020,0.59,0.575,0.59,0.575,0.3927,0.85%,0.34724999999999984,N
13-Nov-2020,0.58,0.59,0.59,0.58,0.1839,-1.69%,0.3201399999999998,N
16-Nov-2020,0.645,0.585,0.645,0.57,2.07,11.21%,0.4856699999999998,N
17-Nov-2020,0.635,0.64,0.655,0.63,0.8199,-1.55%,0.5192299999999997,N
18-Nov-2020,0.64,0.63,0.64,0.62,0.4833,0.79%,0.5422399999999998,N
19-Nov-2020,0.64,0.63,0.64,0.615,0.4623,0.00%,0.5719099999999997,N
20-Nov-2020,0.62,0.635,0.635,0.615,0.5107,-3.12%,0.5728999999999997,N
23-Nov-2020,0.635,0.63,0.64,0.61,0.5375,2.42%,0.6174999999999997,N
24-Nov-2020,0.625,0.63,0.63,0.6,1.55,-1.57%,0.7343699999999996,N
25-Nov-2020,0.62,0.625,0.625,0.61,0.2915,-1.59%,0.7301799999999996,N
26-Nov-2020,0.62,0.61,0.63,0.605,0.5720000000000001,0.00%,0.7481099999999997,N
