Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.975,1.0,1.02,0.975,2.18,-1.52%,,N
29-Sep-2020,0.975,0.995,0.995,0.97,1.5,0.00%,,N
30-Sep-2020,0.95,0.98,0.98,0.95,2.26,-2.56%,,N
01-Oct-2020,0.97,0.96,0.975,0.955,2.78,2.11%,,N
02-Oct-2020,0.935,0.96,0.97,0.925,3.5,-3.61%,,N
05-Oct-2020,0.955,0.955,0.965,0.945,2.88,2.14%,,N
06-Oct-2020,0.945,0.955,0.975,0.945,2.52,-1.05%,,N
07-Oct-2020,0.97,0.95,0.975,0.945,2.98,2.65%,,N
08-Oct-2020,0.98,0.985,0.995,0.97,3.75,1.03%,,N
09-Oct-2020,0.985,0.98,0.99,0.97,2.34,0.51%,2.6689999999999996,N
12-Oct-2020,0.99,0.995,1.02,0.975,5.72,0.51%,3.0229999999999997,N
13-Oct-2020,0.97,0.98,0.99,0.96,7.73,-2.02%,3.6459999999999995,N
14-Oct-2020,0.995,0.975,0.995,0.97,4.0,2.58%,3.8199999999999994,N
15-Oct-2020,0.985,0.995,0.995,0.975,2.76,-1.01%,3.817999999999999,N
16-Oct-2020,0.995,0.985,0.995,0.98,2.26,1.02%,3.693999999999999,N
19-Oct-2020,0.98,0.99,0.99,0.97,1.96,-1.51%,3.601999999999999,N
20-Oct-2020,0.97,0.975,0.975,0.955,4.85,-1.02%,3.8349999999999986,N
21-Oct-2020,0.96,0.975,0.975,0.955,3.1,-1.03%,3.846999999999999,N
22-Oct-2020,0.97,0.96,0.97,0.955,2.67,1.04%,3.7389999999999994,N
23-Oct-2020,0.96,0.97,0.98,0.955,4.05,-1.03%,3.9099999999999993,N
26-Oct-2020,0.95,0.96,0.975,0.935,2.81,-1.04%,3.6189999999999998,N
27-Oct-2020,0.96,0.965,0.97,0.955,1.12,1.05%,2.9579999999999993,N
28-Oct-2020,0.96,0.965,0.97,0.95,1.8,0.00%,2.7379999999999995,N
30-Oct-2020,0.935,0.96,0.96,0.93,1.79,-2.60%,2.6409999999999996,N
02-Nov-2020,0.935,0.935,0.935,0.92,1.03,0.00%,2.518,N
03-Nov-2020,0.945,0.935,0.945,0.935,1.39,1.07%,2.461,N
04-Nov-2020,0.965,0.95,0.97,0.945,1.8,2.12%,2.156,N
05-Nov-2020,1.02,0.965,1.02,0.965,10.05,5.70%,2.851,N
06-Nov-2020,1.02,1.03,1.04,1.01,3.35,0.00%,2.9190000000000005,N
09-Nov-2020,1.02,1.03,1.04,1.01,2.7,0.00%,2.7840000000000003,N
10-Nov-2020,1.08,1.03,1.08,1.02,7.1,5.88%,3.213,N
11-Nov-2020,1.06,1.09,1.1,1.04,3.87,-1.85%,3.4880000000000004,N
12-Nov-2020,1.06,1.07,1.08,1.04,2.0,0.00%,3.5080000000000005,N
13-Nov-2020,1.1,1.07,1.12,1.05,6.55,3.77%,3.9840000000000004,N
16-Nov-2020,1.09,1.11,1.14,1.09,5.02,-0.91%,4.383,N
17-Nov-2020,1.1,1.11,1.13,1.07,3.72,0.92%,4.616,N
18-Nov-2020,1.1,1.11,1.12,1.09,2.74,0.00%,4.71,N
19-Nov-2020,1.11,1.13,1.14,1.09,13.53,0.91%,5.058,N
20-Nov-2020,1.1,1.11,1.13,1.09,5.75,-0.90%,5.298,N
23-Nov-2020,1.1,1.11,1.11,1.08,1.87,0.00%,5.214999999999999,N
24-Nov-2020,1.05,1.1,1.1,1.04,4.72,-4.55%,4.9769999999999985,N
25-Nov-2020,1.05,1.05,1.06,1.04,3.28,0.00%,4.917999999999999,N
26-Nov-2020,1.06,1.05,1.06,1.03,3.48,0.95%,5.065999999999999,N
