Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.705,0.705,0.73,0.7,3.16,2.17%,,N
29-Sep-2020,0.695,0.715,0.715,0.69,1.63,-1.42%,,N
30-Sep-2020,0.7,0.705,0.715,0.685,1.57,0.72%,,N
01-Oct-2020,0.78,0.705,0.78,0.705,6.85,11.43%,,N
02-Oct-2020,0.785,0.79,0.81,0.745,11.41,0.64%,,N
05-Oct-2020,0.835,0.8,0.845,0.8,8.77,6.37%,,N
06-Oct-2020,0.8,0.845,0.85,0.77,5.84,-4.19%,,N
07-Oct-2020,0.805,0.785,0.815,0.785,2.07,0.62%,,N
08-Oct-2020,0.81,0.81,0.825,0.795,2.67,0.62%,,N
09-Oct-2020,0.84,0.82,0.88,0.81,13.16,3.70%,5.713000000000001,N
12-Oct-2020,0.865,0.855,0.91,0.855,23.68,2.98%,7.765000000000001,N
13-Oct-2020,0.865,0.875,0.89,0.865,5.01,0.00%,8.103000000000002,N
14-Oct-2020,0.895,0.875,0.915,0.865,14.65,3.47%,9.411000000000003,N
15-Oct-2020,0.88,0.9,0.91,0.875,5.27,-1.68%,9.253000000000004,N
16-Oct-2020,0.875,0.885,0.895,0.86,3.99,-0.57%,8.511000000000003,N
19-Oct-2020,0.915,0.885,0.935,0.875,16.75,4.57%,9.309000000000003,N
20-Oct-2020,0.92,0.915,0.96,0.9,16.5,0.55%,10.375000000000004,N
21-Oct-2020,0.905,0.92,0.935,0.88,5.3,-1.63%,10.698000000000004,N
22-Oct-2020,0.885,0.9,0.91,0.86,3.34,-2.21%,10.765000000000004,N
23-Oct-2020,0.83,0.885,0.89,0.83,5.22,-6.21%,9.971000000000004,N
26-Oct-2020,0.81,0.84,0.855,0.78,4.44,-2.41%,8.047000000000002,N
27-Oct-2020,0.82,0.81,0.835,0.81,2.23,1.23%,7.769000000000003,N
28-Oct-2020,0.8,0.825,0.825,0.795,2.38,-2.44%,6.542000000000002,N
30-Oct-2020,0.82,0.795,0.825,0.76,9.51,2.50%,6.966000000000003,N
02-Nov-2020,0.8,0.82,0.825,0.79,5.85,-2.44%,7.152000000000003,N
03-Nov-2020,0.8,0.8,0.815,0.79,2.91,0.00%,5.7680000000000025,N
04-Nov-2020,0.855,0.805,0.86,0.8,11.01,6.88%,5.219000000000003,N
05-Nov-2020,0.895,0.87,0.925,0.86,29.25,4.68%,7.6140000000000025,N
06-Nov-2020,0.9,0.9,0.92,0.88,9.73,0.56%,8.253000000000004,N
09-Nov-2020,0.905,0.91,0.94,0.895,11.83,0.56%,8.914000000000003,N
10-Nov-2020,0.85,0.86,0.88,0.81,8.55,-6.08%,9.325000000000003,N
11-Nov-2020,0.83,0.85,0.85,0.81,3.54,-2.35%,9.456000000000003,N
12-Nov-2020,0.82,0.83,0.845,0.82,2.15,-1.20%,9.433000000000003,N
13-Nov-2020,0.82,0.82,0.85,0.815,1.91,0.00%,8.673000000000004,N
16-Nov-2020,0.78,0.825,0.825,0.78,4.3,-4.88%,8.518000000000004,N
17-Nov-2020,0.78,0.78,0.78,0.695,9.09,0.00%,9.136000000000005,N
18-Nov-2020,0.76,0.78,0.795,0.76,2.11,-2.56%,8.246000000000004,N
19-Nov-2020,0.755,0.755,0.775,0.745,1.72,-0.66%,5.493000000000004,N
20-Nov-2020,0.785,0.775,0.81,0.755,4.99,3.97%,5.019000000000004,N
23-Nov-2020,0.745,0.795,0.795,0.74,3.16,-5.10%,4.152000000000004,N
24-Nov-2020,0.73,0.74,0.75,0.73,1.63,-2.01%,3.4600000000000035,N
25-Nov-2020,0.73,0.73,0.75,0.73,1.06,0.00%,3.212000000000004,N
26-Nov-2020,0.745,0.73,0.75,0.725,1.34,2.05%,3.1310000000000047,N
