Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.81,0.815,0.815,0.81,0.0466,0.00%,,N
29-Sep-2020,0.81,0.81,0.81,0.81,0.1869,0.00%,,N
30-Sep-2020,0.81,0.81,0.81,0.8,0.0722,0.00%,,N
01-Oct-2020,0.81,0.8,0.81,0.8,0.06459999999999999,0.00%,,N
02-Oct-2020,0.8,0.81,0.82,0.8,0.1237,-1.23%,,N
05-Oct-2020,0.815,0.8,0.82,0.8,0.3315,1.87%,,N
06-Oct-2020,0.8,0.81,0.81,0.8,0.2734,-1.84%,,N
07-Oct-2020,0.82,0.805,0.82,0.805,0.096,2.50%,,N
08-Oct-2020,0.825,0.815,0.825,0.81,0.1162,0.61%,,N
09-Oct-2020,0.825,0.82,0.825,0.815,0.027999999999999997,0.00%,0.13391000000000003,N
12-Oct-2020,0.81,0.81,0.81,0.81,0.043,-1.82%,0.13355,N
13-Oct-2020,0.805,0.805,0.81,0.805,0.0526,-0.62%,0.12012,N
14-Oct-2020,0.8,0.8,0.8,0.8,0.0997,-0.62%,0.12287,N
15-Oct-2020,0.815,0.8,0.815,0.8,0.158,1.87%,0.13221,N
16-Oct-2020,0.86,0.815,0.895,0.81,0.7082999999999999,5.52%,0.19066999999999998,N
19-Oct-2020,0.88,0.88,0.88,0.865,0.5622,2.33%,0.21373999999999996,N
20-Oct-2020,0.87,0.875,0.875,0.86,0.2622,-1.14%,0.21261999999999995,N
21-Oct-2020,0.87,0.88,0.88,0.85,0.1986,0.00%,0.2228799999999999,N
22-Oct-2020,0.875,0.88,0.88,0.85,0.1797,0.57%,0.2292299999999999,N
23-Oct-2020,0.825,0.875,0.875,0.825,0.6354,-5.71%,0.2899699999999999,N
26-Oct-2020,0.82,0.825,0.825,0.815,0.1143,-0.61%,0.29709999999999986,N
27-Oct-2020,0.84,0.815,0.845,0.815,0.2025,2.44%,0.31208999999999987,N
28-Oct-2020,0.83,0.83,0.84,0.83,0.16140000000000002,-1.19%,0.3182599999999999,N
30-Oct-2020,0.81,0.82,0.825,0.805,0.159,-2.41%,0.31835999999999987,N
02-Nov-2020,0.825,0.835,0.835,0.805,0.0352,1.85%,0.2510499999999999,N
03-Nov-2020,0.81,0.805,0.815,0.805,0.0851,-1.82%,0.20333999999999994,N
04-Nov-2020,0.82,0.83,0.835,0.815,0.1432,1.23%,0.19143999999999997,N
05-Nov-2020,0.84,0.825,0.845,0.825,0.2885,2.44%,0.20042999999999997,N
06-Nov-2020,0.845,0.85,0.855,0.83,0.26830000000000004,0.60%,0.20928999999999998,N
09-Nov-2020,0.845,0.845,0.845,0.835,0.1187,0.00%,0.15761999999999998,N
10-Nov-2020,0.86,0.845,0.86,0.835,0.3456,1.78%,0.18074999999999997,N
11-Nov-2020,0.845,0.86,0.86,0.845,0.1014,-1.74%,0.17063999999999996,N
12-Nov-2020,0.875,0.845,0.88,0.845,0.4571,3.55%,0.20020999999999994,N
13-Nov-2020,0.87,0.875,0.9,0.87,0.4544,-0.57%,0.22974999999999998,N
16-Nov-2020,0.87,0.875,0.89,0.87,0.6667000000000001,0.00%,0.2929,N
17-Nov-2020,0.835,0.85,0.85,0.825,0.221,-4.02%,0.30649,N
18-Nov-2020,0.825,0.835,0.835,0.825,0.17300000000000001,-1.20%,0.30946999999999997,N
19-Nov-2020,0.82,0.825,0.84,0.82,0.129,-0.61%,0.29351999999999995,N
20-Nov-2020,0.83,0.82,0.84,0.82,0.3005,1.22%,0.29673999999999995,N
23-Nov-2020,0.845,0.84,0.85,0.83,0.2397,1.81%,0.30883999999999995,N
24-Nov-2020,0.82,0.85,0.86,0.82,0.12300000000000001,-2.96%,0.28657999999999995,N
25-Nov-2020,0.84,0.825,0.85,0.825,0.15109999999999998,2.44%,0.29155,N
26-Nov-2020,0.85,0.835,0.85,0.835,0.2786,1.19%,0.27369999999999994,N
