Date,Price,Open,High,Low,Vol.,Change %,Volume Moving Average,Volume Spike
28-Sep-2020,0.9,0.9,0.9,0.9,0.0018,-1.64%,,N
29-Sep-2020,0.9,0.9,0.9,0.9,0.0532,0.00%,,N
30-Sep-2020,0.895,0.895,0.895,0.895,0.004,-0.56%,,N
01-Oct-2020,0.9,0.9,0.9,0.9,0.002,0.56%,,N
05-Oct-2020,0.9,0.905,0.905,0.9,0.0053,0.00%,,N
06-Oct-2020,0.9,0.9,0.9,0.9,0.02,0.00%,,N
07-Oct-2020,0.965,0.965,0.965,0.965,0.005,7.22%,,N
16-Oct-2020,0.905,0.905,0.905,0.9,0.011,-6.22%,,N
19-Oct-2020,0.905,0.9,0.905,0.9,0.023,0.00%,,
20-Oct-2020,0.92,0.905,0.92,0.905,0.0016,1.66%,,
21-Oct-2020,0.91,0.91,0.91,0.91,0.001,-1.09%,,
22-Oct-2020,0.905,0.905,0.905,0.905,0.003,-0.55%,,
23-Oct-2020,0.905,0.91,0.93,0.905,0.0232,0.00%,,
27-Oct-2020,0.91,0.905,0.91,0.905,0.006,0.55%,,
28-Oct-2020,0.93,0.905,0.93,0.9,0.021,2.20%,,
30-Oct-2020,0.905,0.93,0.93,0.905,0.003,-2.69%,,
02-Nov-2020,0.91,0.915,0.915,0.91,0.01,0.55%,,
04-Nov-2020,0.905,0.905,0.905,0.905,0.003,-0.55%,0.00948,N
05-Nov-2020,0.91,0.91,0.91,0.91,0.002,0.55%,,
09-Nov-2020,0.91,0.91,0.91,0.91,0.021,0.00%,0.00932,N
10-Nov-2020,0.91,0.91,0.91,0.91,0.002,0.00%,,
13-Nov-2020,0.915,0.915,0.915,0.915,0.006,0.55%,,
16-Nov-2020,0.905,0.915,0.915,0.905,0.0023,-1.09%,,
17-Nov-2020,0.91,0.9,0.91,0.9,0.02,0.55%,,
18-Nov-2020,0.91,0.915,0.915,0.91,0.01,0.00%,,
19-Nov-2020,0.915,0.915,0.915,0.915,0.003,0.55%,,
23-Nov-2020,0.915,0.915,0.915,0.915,-,0.00%,,
24-Nov-2020,0.91,0.91,0.91,0.905,0.037,-0.55%,,
25-Nov-2020,0.93,0.93,0.93,0.93,0.002,2.20%,,
26-Nov-2020,0.95,0.93,0.95,0.93,0.054,2.15%,,
